"Date","Price","Open","High","Low","Change %"
"12/31/2021","1.88","1.849","1.8873","1.8427","1.44%"
"12/30/2021","1.8533","1.8673","1.8689","1.8514","-0.95%"
"12/29/2021","1.8711","1.891","1.9026","1.8664","-1.03%"
"12/28/2021","1.8905","1.8614","1.8968","1.8551","1.75%"
"12/27/2021","1.8579","1.8448","1.8673","1.8401","0.98%"
"12/24/2021","1.8399","1.8489","1.8604","1.839","-0.74%"
"12/23/2021","1.8537","1.8437","1.8619","1.836","0.73%"
"12/22/2021","1.8403","1.8375","1.8417","1.8273","0.38%"
"12/21/2021","1.8335","1.8148","1.8374","1.8133","0.87%"
"12/20/2021","1.8176","1.8243","1.8257","1.8061","-0.09%"
"12/17/2021","1.8194","1.8174","1.8275","1.8135","0.11%"
"12/16/2021","1.8174","1.8207","1.8284","1.8133","-0.33%"
"12/15/2021","1.8233","1.857","1.8642","1.8142","-1.68%"
"12/14/2021","1.8545","1.8427","1.8608","1.8212","0.50%"
"12/13/2021","1.8452","1.8574","1.8712","1.8447","-0.60%"
"12/10/2021","1.8564","1.8537","1.8601","1.8533","0.47%"
"12/09/2021","1.8477","1.8045","1.8535","1.7917","2.69%"
"12/08/2021","1.7993","1.8102","1.8174","1.7988","-0.60%"
"12/07/2021","1.8102","1.8697","1.8853","1.8076","-3.17%"
"12/06/2021","1.8695","1.8886","1.8926","1.8497","-1.58%"
"12/03/2021","1.8995","1.9121","1.9176","1.8855","-0.75%"
"12/02/2021","1.9139","1.8855","1.922","1.8821","0.94%"
"12/01/2021","1.896","1.8718","1.9138","1.8699","1.46%"
"11/30/2021","1.8687","1.9007","1.9031","1.8634","-1.57%"
"11/29/2021","1.8986","1.94","1.9537","1.8983","-2.05%"
"11/26/2021","1.9385","1.9469","1.9479","1.9288","-0.35%"
"11/25/2021","1.9452","1.9849","1.9873","1.9434","-1.85%"
"11/24/2021","1.9818","1.9614","1.9902","1.9583","0.95%"
"11/23/2021","1.9631","1.9679","1.9705","1.9593","-0.31%"
"11/22/2021","1.9693","1.9604","1.9844","1.9577","0.46%"
"11/19/2021","1.9602","1.9608","1.9701","1.943","-0.29%"
"11/18/2021","1.9659","1.9533","1.9828","1.9389","0.37%"
"11/17/2021","1.9586","1.9286","1.9661","1.9177","1.12%"
"11/16/2021","1.9369","1.9211","1.9465","1.915","0.69%"
"11/15/2021","1.9236","1.9478","1.9679","1.9055","-0.88%"
"11/12/2021","1.9406","1.9258","1.9522","1.9209","0.45%"
"11/11/2021","1.932","1.9495","1.9593","1.9261","-0.80%"
"11/10/2021","1.9476","1.9548","1.9579","1.9439","-0.17%"
"11/09/2021","1.951","1.9502","1.9565","1.9217","-0.06%"
"11/08/2021","1.9521","1.9438","1.9583","1.9323","0.60%"
"11/05/2021","1.9405","1.9404","1.9618","1.9281","0.09%"
"11/04/2021","1.9387","1.91","1.9404","1.9024","1.50%"
"11/03/2021","1.91","1.9087","1.922","1.8975","0.23%"
"11/02/2021","1.9055","1.8515","1.9163","1.8505","2.80%"
"11/01/2021","1.8536","1.8498","1.8578","1.8448","0.01%"
"10/29/2021","1.8535","1.876","1.8779","1.8469","-1.22%"
"10/28/2021","1.8763","1.8591","1.8786","1.8492","1.15%"
"10/27/2021","1.855","1.8625","1.89","1.8412","-0.36%"
"10/26/2021","1.8618","1.85","1.8745","1.8424","0.67%"
"10/25/2021","1.8494","1.8496","1.8689","1.8303","0.20%"
"10/22/2021","1.8457","1.8532","1.8563","1.8391","-0.31%"
"10/21/2021","1.8514","1.859","1.8721","1.8422","-0.44%"
"10/20/2021","1.8595","1.8592","1.8667","1.8562","0.38%"
"10/19/2021","1.8526","1.8808","1.8829","1.8427","-1.03%"
"10/18/2021","1.8718","1.8571","1.8887","1.8471","1.20%"
"10/15/2021","1.8497","1.8153","1.8697","1.8107","2.14%"
"10/14/2021","1.811","1.8144","1.8234","1.8036","-0.32%"
"10/13/2021","1.8168","1.8245","1.83","1.8157","-0.50%"
"10/12/2021","1.826","1.85","1.8507","1.822","-1.21%"
"10/11/2021","1.8484","1.8828","1.8841","1.8418","-2.19%"
"10/08/2021","1.8898","1.9248","1.9447","1.8849","-1.65%"
"10/07/2021","1.9216","1.9401","1.9406","1.9085","-0.86%"
"10/06/2021","1.9383","1.9357","1.9593","1.9309","0.32%"
"10/05/2021","1.932","1.9337","1.9386","1.9299","-0.03%"
"10/04/2021","1.9325","1.9182","1.9346","1.8922","0.35%"
"10/01/2021","1.9259","1.9451","1.9484","1.9202","-0.87%"
"09/30/2021","1.9428","1.9235","1.956","1.9087","1.12%"
