"Date","Price","Open","High","Low","Change %"
"12/31/2021","2.6003","2.6428","2.6429","2.5767","-1.41%"
"12/30/2021","2.6374","2.6516","2.6516","2.6233","-0.30%"
"12/29/2021","2.6453","2.6517","2.6608","2.6445","-0.45%"
"12/28/2021","2.6573","2.6382","2.6765","2.6262","0.62%"
"12/27/2021","2.6409","2.6711","2.6734","2.633","-1.25%"
"12/24/2021","2.6742","2.7011","2.7046","2.6532","-0.99%"
"12/23/2021","2.7008","2.6809","2.7071","2.6776","0.62%"
"12/22/2021","2.6843","2.6916","2.6988","2.6802","-0.15%"
"12/21/2021","2.6882","2.7099","2.7185","2.6831","-0.73%"
"12/20/2021","2.7081","2.7224","2.725","2.6974","-0.66%"
"12/17/2021","2.726","2.7045","2.7403","2.6971","0.87%"
"12/16/2021","2.7024","2.6981","2.703","2.6974","0.15%"
"12/15/2021","2.6984","2.7029","2.7166","2.6923","-0.07%"
"12/14/2021","2.7001","2.6731","2.704","2.6625","1.06%"
"12/13/2021","2.6719","2.6855","2.6997","2.6668","-0.41%"
"12/10/2021","2.6828","2.6654","2.6975","2.6645","0.78%"
"12/09/2021","2.662","2.7012","2.7039","2.6518","-1.42%"
"12/08/2021","2.7003","2.6962","2.7067","2.6848","0.21%"
"12/07/2021","2.6945","2.6635","2.6954","2.6605","0.93%"
"12/06/2021","2.6698","2.6821","2.6988","2.6675","-0.61%"
"12/03/2021","2.6862","2.7176","2.7332","2.6728","-1.18%"
"12/02/2021","2.7184","2.7008","2.7319","2.6955","0.53%"
"12/01/2021","2.7041","2.6985","2.7065","2.6852","0.35%"
"11/30/2021","2.6947","2.653","2.7081","2.6397","1.63%"
"11/29/2021","2.6516","2.6721","2.6748","2.647","-0.62%"
"11/26/2021","2.6682","2.6638","2.6811","2.6533","0.47%"
"11/25/2021","2.6557","2.6556","2.6575","2.6423","0.23%"
"11/24/2021","2.6496","2.6225","2.6508","2.6189","1.08%"
"11/23/2021","2.6214","2.6156","2.6279","2.61","0.06%"
"11/22/2021","2.6197","2.5933","2.6316","2.5865","0.76%"
"11/19/2021","2.5998","2.5913","2.6071","2.5829","0.36%"
"11/18/2021","2.5906","2.5876","2.5969","2.5838","0.26%"
"11/17/2021","2.5838","2.5858","2.598","2.5693","-0.07%"
"11/16/2021","2.5856","2.5658","2.5948","2.5619","0.75%"
"11/15/2021","2.5662","2.5913","2.5917","2.5489","-0.77%"
"11/12/2021","2.586","2.5625","2.6062","2.5613","1.07%"
"11/11/2021","2.5586","2.5306","2.5592","2.5107","1.00%"
"11/10/2021","2.5332","2.5474","2.558","2.5323","-0.76%"
"11/09/2021","2.5525","2.5718","2.5806","2.5341","-0.64%"
"11/08/2021","2.5688","2.5713","2.5775","2.5546","0.30%"
"11/05/2021","2.5612","2.5594","2.5645","2.5556","-0.06%"
"11/04/2021","2.5627","2.5657","2.5683","2.5598","0.14%"
"11/03/2021","2.559","2.5239","2.5625","2.4893","1.16%"
"11/02/2021","2.5295","2.5259","2.5366","2.5244","0.51%"
"11/01/2021","2.5167","2.4674","2.5287","2.4643","1.84%"
"10/29/2021","2.4713","2.4666","2.4799","2.4565","0.38%"
"10/28/2021","2.4619","2.4948","2.5133","2.4599","-1.45%"
"10/27/2021","2.4981","2.4955","2.5027","2.4817","0.35%"
"10/26/2021","2.4893","2.4901","2.4959","2.4832","0.16%"
"10/25/2021","2.4853","2.5049","2.5125","2.4747","-0.75%"
"10/22/2021","2.5041","2.4769","2.5106","2.4762","0.91%"
"10/21/2021","2.4814","2.442","2.4818","2.4385","1.37%"
"10/20/2021","2.4478","2.4249","2.4557","2.4173","1.10%"
"10/19/2021","2.4212","2.4179","2.4359","2.4078","0.04%"
"10/18/2021","2.4203","2.4105","2.4368","2.4007","0.30%"
"10/15/2021","2.4131","2.3845","2.4212","2.3823","1.25%"
"10/14/2021","2.3833","2.3491","2.384","2.346","1.22%"
"10/13/2021","2.3546","2.3355","2.3692","2.3254","0.72%"
"10/12/2021","2.3378","2.3851","2.3989","2.3369","-1.76%"
"10/11/2021","2.3798","2.3811","2.4053","2.3723","-0.32%"
"10/08/2021","2.3874","2.371","2.3971","2.3674","0.33%"
"10/07/2021","2.3796","2.4213","2.4352","2.3696","-1.72%"
"10/06/2021","2.4213","2.4257","2.4435","2.414","-0.36%"
"10/05/2021","2.43","2.4385","2.4442","2.4235","-0.09%"
"10/04/2021","2.4322","2.4696","2.4739","2.4248","-1.36%"
"10/01/2021","2.4658","2.4479","2.4907","2.4408","0.41%"
"09/30/2021","2.4558","2.4915","2.4953","2.446","-1.39%"
"09/29/2021","2.4905","2.4543","2.4949","2.4431","1.65%"
"09/28/2021","2.45","2.4521","2.4701","2.444","-0.25%"
"09/27/2021","2.4563","2.4764","2.4899","2.4482","-0.40%"
"09/24/2021","2.466","2.4691","2.4696","2.4606","-0.04%"
"09/23/2021","2.4669","2.4525","2.4724","2.446","0.64%"
"09/22/2021","2.4512","2.4576","2.4656","2.4456","-0.26%"
"09/21/2021","2.4576","2.448","2.4596","2.4424","0.33%"
"09/20/2021","2.4494","2.4407","2.4597","2.4404","0.39%"
"09/17/2021","2.4398","2.4396","2.4602","2.4249","0.52%"
"09/16/2021","2.4272","2.4159","2.4303","2.4032","0.51%"
"09/15/2021","2.4149","2.4533","2.4539","2.3907","-1.33%"
"09/14/2021","2.4474","2.4631","2.4639","2.4396","-0.70%"
"09/13/2021","2.4647","2.4404","2.4852","2.4369","0.86%"
"09/10/2021","2.4438","2.4449","2.4513","2.4253","-0.14%"
"09/09/2021","2.4473","2.4421","2.4606","2.4344","0.12%"
"09/08/2021","2.4443","2.4338","2.4499","2.432","0.20%"
"09/07/2021","2.4395","2.4264","2.4413","2.4207","0.45%"
"09/06/2021","2.4286","2.4053","2.432","2.4031","0.95%"
"09/03/2021","2.4056","2.412","2.4309","2.4013","-0.45%"
"09/02/2021","2.4165","2.3902","2.4226","2.382","0.90%"
"09/01/2021","2.3948","2.4072","2.408","2.3893","-0.31%"
"08/31/2021","2.4023","2.4108","2.4144","2.3846","-0.06%"
"08/30/2021","2.4037","2.3945","2.4115","2.3889","0.57%"
"08/27/2021","2.39","2.3548","2.3973","2.3429","1.61%"
"08/26/2021","2.3522","2.3906","2.3991","2.3445","-1.51%"
"08/25/2021","2.3882","2.3906","2.3955","2.3875","-0.18%"
"08/24/2021","2.3924","2.3578","2.4043","2.335","1.51%"
"08/23/2021","2.3568","2.3586","2.3658","2.3492","-0.18%"
"08/20/2021","2.3611","2.3909","2.4076","2.3567","-1.43%"
"08/19/2021","2.3953","2.3836","2.4091","2.3665","0.47%"
"08/18/2021","2.3842","2.3618","2.3859","2.3536","1.22%"
"08/17/2021","2.3555","2.3549","2.3681","2.3547","0.01%"
"08/16/2021","2.3553","2.3628","2.364","2.345","-0.50%"
"08/13/2021","2.367","2.3641","2.3742","2.3604","0.10%"
"08/12/2021","2.3645","2.3491","2.3728","2.3484","0.69%"
"08/11/2021","2.3484","2.3466","2.3543","2.3379","0.18%"
"08/10/2021","2.3441","2.3154","2.3482","2.3044","1.48%"
"08/09/2021","2.31","2.3238","2.3259","2.3049","-0.52%"
"08/06/2021","2.322","2.322","2.3245","2.318","-0.26%"
