"Date","Price","Open","High","Low","Change %"
"12/31/2021","1.8592","1.8492","1.8703","1.848","0.46%"
"12/30/2021","1.8507","1.8411","1.854","1.8398","0.63%"
"12/29/2021","1.8392","1.8233","1.8431","1.7923","0.79%"
"12/28/2021","1.8247","1.8196","1.826","1.8142","0.30%"
"12/27/2021","1.8193","1.8575","1.8649","1.7991","-1.95%"
"12/24/2021","1.8556","1.8705","1.8855","1.8519","-0.53%"
"12/23/2021","1.8654","1.8515","1.8836","1.8495","0.86%"
"12/22/2021","1.8495","1.8562","1.8648","1.8487","0.01%"
"12/21/2021","1.8494","1.8179","1.8546","1.8066","1.18%"
"12/20/2021","1.8278","1.8343","1.8408","1.8235","-0.10%"
"12/17/2021","1.8297","1.8184","1.8355","1.8069","0.79%"
"12/16/2021","1.8154","1.8126","1.8267","1.812","0.40%"
"12/15/2021","1.8081","1.8165","1.8242","1.8016","-0.13%"
"12/14/2021","1.8106","1.8215","1.8328","1.8073","-0.81%"
"12/13/2021","1.8254","1.8165","1.8432","1.8118","0.29%"
"12/10/2021","1.8201","1.8169","1.8267","1.8113","0.32%"
"12/09/2021","1.8142","1.7899","1.8188","1.7801","1.24%"
"12/08/2021","1.7921","1.8012","1.8198","1.781","-0.66%"
"12/07/2021","1.804","1.8116","1.8149","1.8038","-0.22%"
"12/06/2021","1.8079","1.8398","1.8402","1.7963","-1.63%"
"12/03/2021","1.8379","1.8569","1.8706","1.8286","-1.38%"
"12/02/2021","1.8635","1.8757","1.8761","1.8613","-0.76%"
"12/01/2021","1.8777","1.8857","1.9073","1.872","-0.69%"
"11/30/2021","1.8907","1.8958","1.9091","1.8806","-0.65%"
"11/29/2021","1.9031","1.9144","1.9259","1.8959","-0.65%"
"11/26/2021","1.9156","1.9053","1.921","1.9026","0.11%"
"11/25/2021","1.9136","1.8753","1.9307","1.8729","1.72%"
"11/24/2021","1.8813","1.8985","1.9005","1.8632","-1.15%"
"11/23/2021","1.9032","1.9196","1.9211","1.8982","-0.98%"
"11/22/2021","1.922","1.9073","1.9538","1.8987","0.84%"
"11/19/2021","1.906","1.8973","1.9062","1.8847","0.40%"
"11/18/2021","1.8984","1.8689","1.9063","1.8534","1.41%"
"11/17/2021","1.8719","1.8606","1.8735","1.8483","0.30%"
"11/16/2021","1.8664","1.8638","1.8712","1.8589","0.16%"
"11/15/2021","1.8634","1.8569","1.8738","1.8566","0.60%"
"11/12/2021","1.8522","1.8682","1.8729","1.8409","-0.48%"
"11/11/2021","1.8612","1.9152","1.9153","1.8559","-2.68%"
"11/10/2021","1.9124","1.9298","1.9322","1.902","-0.82%"
"11/09/2021","1.9281","1.8936","1.9432","1.8805","1.96%"
"11/08/2021","1.8911","1.8757","1.9168","1.874","0.85%"
"11/05/2021","1.8752","1.8439","1.879","1.8415","1.41%"
"11/04/2021","1.8491","1.8319","1.8804","1.8303","0.97%"
"11/03/2021","1.8314","1.7809","1.84","1.7629","2.83%"
"11/02/2021","1.7809","1.7979","1.8059","1.7799","-0.77%"
"11/01/2021","1.7948","1.7846","1.7965","1.776","0.64%"
"10/29/2021","1.7835","1.7853","1.7896","1.7834","-0.40%"
"10/28/2021","1.7907","1.8381","1.8482","1.7894","-1.78%"
"10/27/2021","1.8231","1.8417","1.844","1.8165","-1.03%"
"10/26/2021","1.842","1.854","1.864","1.8331","-0.67%"
"10/25/2021","1.8544","1.8497","1.8546","1.8494","0.08%"
"10/22/2021","1.853","1.8671","1.873","1.8501","-0.93%"
"10/21/2021","1.8704","1.8634","1.8818","1.8631","-0.09%"
"10/20/2021","1.8721","1.8761","1.8789","1.8645","0.16%"
"10/19/2021","1.8692","1.8887","1.9072","1.8689","-0.48%"
"10/18/2021","1.8781","1.8686","1.8842","1.8655","0.46%"
"10/15/2021","1.8696","1.86","1.8735","1.8452","1.07%"
"10/14/2021","1.8497","1.8639","1.8663","1.8428","-1.01%"
"10/13/2021","1.8686","1.8712","1.8932","1.8596","-0.25%"
"10/12/2021","1.8734","1.8695","1.8799","1.8629","0.18%"
"10/11/2021","1.87","1.8889","1.9033","1.8699","-0.81%"
"10/08/2021","1.8853","1.8976","1.9003","1.8824","-0.06%"
"10/07/2021","1.8864","1.9082","1.9117","1.8788","-0.88%"
"10/06/2021","1.9031","1.8985","1.9213","1.8964","-0.04%"
"10/05/2021","1.904","1.8949","1.913","1.885","-0.02%"
"10/04/2021","1.9044","1.8833","1.9104","1.8711","0.93%"
"10/01/2021","1.8868","1.8945","1.9082","1.8805","-0.65%"
"09/30/2021","1.899","1.8695","1.9143","1.8633","1.63%"
"09/29/2021","1.8686","1.8888","1.9062","1.8584","-0.64%"
"09/28/2021","1.8807","1.8828","1.8927","1.873","-0.50%"
