"Date","Price","Open","High","Low","Change %"
"12/31/2021","3.2078","3.2335","3.2426","3.2025","-0.97%"
"12/30/2021","3.2391","3.2186","3.2466","3.2129","0.24%"
"12/29/2021","3.2314","3.237","3.2389","3.2313","-0.22%"
"12/28/2021","3.2384","3.1953","3.2622","3.1929","1.20%"
"12/27/2021","3.2","3.1978","3.2001","3.1927","0.04%"
"12/24/2021","3.1987","3.2071","3.2093","3.1899","-0.45%"
"12/23/2021","3.2131","3.2059","3.2159","3.203","0.22%"
"12/22/2021","3.206","3.2111","3.2237","3.1978","-0.23%"
"12/21/2021","3.2135","3.1995","3.2266","3.1986","0.47%"
"12/20/2021","3.1986","3.2112","3.2231","3.1778","-0.39%"
"12/17/2021","3.2111","3.2483","3.2602","3.1931","-0.90%"
"12/16/2021","3.2402","3.2488","3.2544","3.2183","-0.40%"
"12/15/2021","3.2531","3.2869","3.2898","3.2292","-1.07%"
"12/14/2021","3.2883","3.3068","3.328","3.2808","-0.67%"
"12/13/2021","3.3105","3.3087","3.3311","3.296","-0.22%"
"12/10/2021","3.3178","3.2887","3.3221","3.2803","0.93%"
"12/09/2021","3.2871","3.3079","3.3195","3.2837","-0.70%"
"12/08/2021","3.3101","3.3105","3.3124","3.3078","-0.02%"
"12/07/2021","3.3108","3.2871","3.3175","3.2728","0.70%"
"12/06/2021","3.2877","3.2538","3.2878","3.2453","0.96%"
"12/03/2021","3.2565","3.2782","3.2888","3.2537","-0.75%"
"12/02/2021","3.2812","3.2839","3.2998","3.2652","-0.06%"
"12/01/2021","3.2831","3.2989","3.3004","3.2737","-0.47%"
"11/30/2021","3.2985","3.2771","3.3085","3.2589","0.66%"
"11/29/2021","3.2769","3.299","3.2992","3.271","-0.71%"
"11/26/2021","3.3002","3.3044","3.3183","3.288","-0.16%"
"11/25/2021","3.3055","3.3063","3.3109","3.3052","0.02%"
"11/24/2021","3.3049","3.2592","3.3153","3.2479","1.27%"
"11/23/2021","3.2635","3.2551","3.27","3.24","0.32%"
"11/22/2021","3.2531","3.2801","3.3076","3.2376","-0.85%"
"11/19/2021","3.2811","3.2415","3.2874","3.2405","1.09%"
"11/18/2021","3.2457","3.2556","3.2627","3.2341","-0.03%"
"11/17/2021","3.2467","3.2145","3.2564","3.2136","1.17%"
"11/16/2021","3.2092","3.2189","3.2282","3.1965","-0.39%"
"11/15/2021","3.2219","3.2367","3.2414","3.2056","-0.22%"
"11/12/2021","3.229","3.1993","3.2327","3.177","0.86%"
"11/11/2021","3.2013","3.21","3.2112","3.1789","-0.19%"
"11/10/2021","3.2073","3.2073","3.2112","3.1954","-0.24%"
"11/09/2021","3.2151","3.1976","3.2277","3.189","0.55%"
"11/08/2021","3.1974","3.1727","3.206","3.165","0.98%"
