"Date","Price","Open","High","Low","Change %"
"12/31/2021","2.3447","2.3407","2.3452","2.3273","-0.15%"
"12/30/2021","2.3483","2.3569","2.3587","2.3379","-0.49%"
"12/29/2021","2.3599","2.3268","2.3622","2.3243","1.51%"
"12/28/2021","2.3247","2.3305","2.3351","2.3154","-0.47%"
"12/27/2021","2.3357","2.3312","2.3383","2.3261","-0.14%"
"12/24/2021","2.3389","2.3106","2.3453","2.3082","1.56%"
"12/23/2021","2.303","2.2853","2.3183","2.2829","0.43%"
"12/22/2021","2.2931","2.2605","2.2944","2.2578","1.39%"
"12/21/2021","2.2616","2.2729","2.2729","2.2535","-0.89%"
"12/20/2021","2.282","2.2767","2.2947","2.2765","-0.06%"
"12/17/2021","2.2834","2.2966","2.3002","2.2738","-0.44%"
"12/16/2021","2.2934","2.3067","2.3143","2.2862","-0.69%"
"12/15/2021","2.3093","2.3231","2.3318","2.3021","-0.40%"
"12/14/2021","2.3187","2.3414","2.3471","2.3166","-1.15%"
"12/13/2021","2.3457","2.3403","2.3551","2.3327","0.22%"
"12/10/2021","2.3404","2.3575","2.3774","2.3325","-0.88%"
"12/09/2021","2.3611","2.3587","2.3799","2.3458","-0.10%"
"12/08/2021","2.3635","2.3654","2.3838","2.3463","0.47%"
"12/07/2021","2.3525","2.3907","2.3958","2.3354","-1.57%"
"12/06/2021","2.3901","2.3565","2.3927","2.3503","1.24%"
"12/03/2021","2.3608","2.3367","2.3773","2.3321","1.24%"
"12/02/2021","2.3319","2.3345","2.3442","2.3223","-0.44%"
"12/01/2021","2.3421","2.366","2.3703","2.3358","-0.44%"
"11/30/2021","2.3526","2.3332","2.357","2.3251","0.77%"
"11/29/2021","2.3347","2.3064","2.3372","2.2997","1.21%"
"11/26/2021","2.3067","2.3092","2.3161","2.2885","-0.02%"
"11/25/2021","2.3072","2.2628","2.3111","2.2561","1.81%"
"11/24/2021","2.2663","2.2905","2.293","2.2561","-1.00%"
"11/23/2021","2.2892","2.3004","2.3128","2.2892","-0.33%"
"11/22/2021","2.2968","2.2921","2.3092","2.2817","0.40%"
"11/19/2021","2.2876","2.2576","2.2882","2.2457","1.35%"
"11/18/2021","2.2571","2.2821","2.2965","2.2509","-1.04%"
"11/17/2021","2.2807","2.292","2.293","2.2796","-0.38%"
"11/16/2021","2.2893","2.2748","2.2929","2.2672","0.83%"
"11/15/2021","2.2705","2.2947","2.3054","2.2603","-1.00%"
"11/12/2021","2.2934","2.3317","2.3342","2.2823","-1.22%"
"11/11/2021","2.3218","2.2822","2.335","2.2719","1.69%"
"11/10/2021","2.2831","2.2902","2.2957","2.272","-0.46%"
"11/09/2021","2.2936","2.3194","2.3346","2.2872","-1.03%"
"11/08/2021","2.3174","2.3125","2.3178","2.3065","0.40%"
"11/05/2021","2.3081","2.2843","2.3094","2.2664","1.08%"
"11/04/2021","2.2834","2.2527","2.3031","2.2293","1.30%"
"11/03/2021","2.254","2.2453","2.2601","2.242","0.35%"
