"Date","Price","Open","High","Low","Change %"
"12/31/2021","2.3433","2.3467","2.3589","2.3365","-0.15%"
"12/30/2021","2.3469","2.3515","2.3798","2.3396","-0.12%"
"12/29/2021","2.3496","2.3331","2.3531","2.3275","0.53%"
"12/28/2021","2.3372","2.3362","2.3458","2.3328","0.02%"
"12/27/2021","2.3366","2.3806","2.3852","2.3254","-1.75%"
"12/24/2021","2.3782","2.3775","2.3888","2.3693","0.04%"
"12/23/2021","2.3771","2.353","2.3845","2.35","1.02%"
"12/22/2021","2.3531","2.3403","2.3533","2.3235","0.89%"
"12/21/2021","2.3323","2.2985","2.3347","2.2691","1.44%"
"12/20/2021","2.2991","2.2688","2.3104","2.2686","1.32%"
"12/17/2021","2.2691","2.2536","2.2697","2.245","0.92%"
"12/16/2021","2.2485","2.2997","2.3176","2.2444","-2.05%"
"12/15/2021","2.2956","2.307","2.3106","2.2953","-0.60%"
"12/14/2021","2.3095","2.2715","2.3107","2.2665","1.71%"
"12/13/2021","2.2706","2.2856","2.297","2.2688","-0.58%"
"12/10/2021","2.2838","2.3082","2.3348","2.2783","-0.88%"
"12/09/2021","2.3039","2.3112","2.3133","2.2996","-0.21%"
"12/08/2021","2.3087","2.2967","2.3116","2.2859","0.74%"
"12/07/2021","2.2917","2.2617","2.2919","2.2607","1.40%"
"12/06/2021","2.2599","2.2219","2.2714","2.2047","1.46%"
"12/03/2021","2.2274","2.2478","2.2541","2.2241","-1.21%"
"12/02/2021","2.2547","2.2606","2.2703","2.2406","-0.16%"
"12/01/2021","2.2584","2.307","2.3216","2.2478","-2.28%"
"11/30/2021","2.311","2.3115","2.319","2.3064","0.06%"
"11/29/2021","2.3096","2.3022","2.3114","2.2997","0.09%"
"11/26/2021","2.3076","2.3112","2.3251","2.3052","0.04%"
"11/25/2021","2.3066","2.3196","2.332","2.3055","0.04%"
"11/24/2021","2.3057","2.2745","2.3063","2.2717","1.40%"
"11/23/2021","2.2738","2.2881","2.2912","2.2659","-0.56%"
"11/22/2021","2.2867","2.266","2.3006","2.2549","1.00%"
"11/19/2021","2.264","2.2393","2.2733","2.2233","1.05%"
"11/18/2021","2.2405","2.2478","2.2562","2.2245","-0.21%"
"11/17/2021","2.2452","2.2275","2.2465","2.2203","0.76%"
"11/16/2021","2.2283","2.2255","2.2312","2.2237","0.07%"
"11/15/2021","2.2269","2.2741","2.2783","2.2214","-1.71%"
"11/12/2021","2.2656","2.2645","2.2698","2.2623","-0.05%"
"11/11/2021","2.2668","2.2614","2.2747","2.2533","0.04%"
"11/10/2021","2.266","2.2406","2.2773","2.2385","0.89%"
"11/09/2021","2.2461","2.2641","2.2656","2.2317","-1.24%"
"11/08/2021","2.2744","2.2612","2.2774","2.2526","0.31%"
"11/05/2021","2.2674","2.2665","2.2785","2.2612","-0.21%"
"11/04/2021","2.2721","2.2177","2.285","2.2005","2.04%"
"11/03/2021","2.2266","2.2577","2.2608","2.2251","-1.72%"
"11/02/2021","2.2655","2.2259","2.2681","2.2232","1.78%"
"11/01/2021","2.2258","2.2218","2.2298","2.2071","0.44%"
"10/29/2021","2.216","2.22","2.2211","2.2111","-0.46%"
"10/28/2021","2.2262","2.228","2.2407","2.2199","-0.29%"
"10/27/2021","2.2326","2.2705","2.2857","2.232","-1.54%"
"10/26/2021","2.2676","2.273","2.2821","2.2618","0.07%"
"10/25/2021","2.2659","2.2921","2.3099","2.255","-1.28%"
"10/22/2021","2.2952","2.3097","2.3275","2.2947","-0.68%"
"10/21/2021","2.3109","2.3023","2.3184","2.2933","0.64%"
"10/20/2021","2.2962","2.2832","2.2976","2.283","0.35%"
"10/19/2021","2.2882","2.2809","2.2964","2.2643","0.14%"
"10/18/2021","2.2849","2.2798","2.2855","2.2763","0.03%"
"10/15/2021","2.2841","2.3028","2.3137","2.2797","-0.36%"
"10/14/2021","2.2924","2.2827","2.2967","2.2811","0.30%"
"10/13/2021","2.2856","2.263","2.289","2.2571","0.56%"
"10/12/2021","2.273","2.2338","2.2753","2.2312","1.59%"
"10/11/2021","2.2374","2.2607","2.2623","2.2325","-0.87%"
"10/08/2021","2.2572","2.2682","2.2684","2.2504","-0.29%"
"10/07/2021","2.2637","2.252","2.2701","2.2306","0.24%"
"10/06/2021","2.2583","2.2505","2.2647","2.2498","0.65%"
"10/05/2021","2.2436","2.2194","2.2469","2.2087","0.87%"
"10/04/2021","2.2243","2.2306","2.2385","2.2117","-0.79%"
"10/01/2021","2.242","2.22","2.2455","2.2107","1.10%"
"09/30/2021","2.2176","2.2241","2.2372","2.2154","-0.11%"
"09/29/2021","2.2202","2.2483","2.2621","2.2081","-1.08%"
"09/28/2021","2.2443","2.2212","2.2503","2.218","1.01%"
"09/27/2021","2.2218","2.213","2.2234","2.2052","0.51%"
"09/24/2021","2.2105","2.1818","2.2391","2.171","1.60%"
"09/23/2021","2.1755","2.1679","2.1802","2.1635","0.34%"
"09/22/2021","2.1681","2.1813","2.183","2.163","-0.34%"
"09/21/2021","2.1756","2.2137","2.2286","2.1672","-1.81%"
"09/20/2021","2.2158","2.2207","2.2264","2.2143","-0.15%"
"09/17/2021","2.2191","2.2084","2.2209","2.1988","0.07%"
"09/16/2021","2.2176","2.1992","2.2217","2.1974","1.00%"
"09/15/2021","2.1957","2.2096","2.2149","2.1927","-0.75%"
"09/14/2021","2.2122","2.2015","2.2203","2.1937","0.64%"
"09/13/2021","2.198","2.1936","2.2039","2.1934","0.00%"
"09/10/2021","2.198","2.2164","2.2229","2.1859","-0.72%"
"09/09/2021","2.214","2.1976","2.214","2.1929","0.81%"
"09/08/2021","2.1962","2.1935","2.2117","2.1868","-0.19%"
"09/07/2021","2.2003","2.2235","2.2236","2.193","-0.70%"
"09/06/2021","2.2158","2.2113","2.2164","2.1979","0.01%"
"09/03/2021","2.2156","2.2235","2.2245","2.2089","-0.23%"
"09/02/2021","2.2207","2.2406","2.2594","2.2198","-0.54%"
"09/01/2021","2.2327","2.2114","2.2379","2.2059","0.99%"
"08/31/2021","2.2108","2.2065","2.2183","2.1796","0.01%"
"08/30/2021","2.2106","2.1565","2.2263","2.1535","2.05%"
"08/27/2021","2.1663","2.1685","2.1704","2.1584","0.13%"
"08/26/2021","2.1635","2.1598","2.1722","2.1562","-0.10%"
"08/25/2021","2.1655","2.1688","2.1734","2.1566","-0.35%"
"08/24/2021","2.1732","2.1426","2.1907","2.1422","1.30%"
"08/23/2021","2.1454","2.1607","2.1705","2.139","-0.63%"
"08/20/2021","2.1589","2.1847","2.1901","2.1476","-1.56%"
"08/19/2021","2.1931","2.2043","2.21","2.1834","-0.49%"
"08/18/2021","2.2039","2.2139","2.2207","2.1946","-0.21%"
"08/17/2021","2.2086","2.2086","2.2155","2.1888","-0.24%"
"08/16/2021","2.2139","2.224","2.2337","2.2121","-0.82%"
"08/13/2021","2.2323","2.2176","2.2365","2.2095","0.64%"
"08/12/2021","2.218","2.1892","2.2208","2.1805","1.42%"
"08/11/2021","2.1869","2.1947","2.1961","2.1742","-0.43%"
"08/10/2021","2.1963","2.2193","2.2435","2.1941","-1.06%"
"08/09/2021","2.2199","2.2166","2.2215","2.215","0.39%"
"08/06/2021","2.2112","2.1745","2.2138","2.1669","1.45%"
"08/05/2021","2.1796","2.1908","2.1935","2.1668","-0.47%"
"08/04/2021","2.1899","2.1924","2.2014","2.1766","-0.33%"
"08/03/2021","2.1971","2.2318","2.2323","2.1902","-1.66%"
"08/02/2021","2.2342","2.2197","2.2343","2.2024","0.76%"
"07/30/2021","2.2174","2.2222","2.2301","2.2126","-0.19%"
"07/29/2021","2.2217","2.2491","2.25","2.2077","-1.17%"
"07/28/2021","2.248","2.2541","2.2582","2.2328","-0.46%"
"07/27/2021","2.2585","2.2929","2.2938","2.2528","-1.63%"
"07/26/2021","2.2959","2.2756","2.2983","2.27","0.59%"
"07/23/2021","2.2825","2.3408","2.3443","2.2801","-2.46%"
"07/22/2021","2.3401","2.3235","2.3608","2.3168","0.62%"
"07/21/2021","2.3257","2.3528","2.3535","2.3199","-0.95%"
"07/20/2021","2.3479","2.3029","2.3638","2.2906","1.78%"
"07/19/2021","2.3069","2.289","2.3095","2.2804","1.04%"
"07/16/2021","2.2831","2.2921","2.2945","2.2813","-0.59%"
"07/15/2021","2.2968","2.2871","2.3147","2.2784","0.12%"
"07/14/2021","2.294","2.2921","2.2974","2.2899","0.18%"
"07/13/2021","2.2899","2.288","2.2956","2.2761","0.31%"
"07/12/2021","2.2828","2.3081","2.3091","2.2795","-0.99%"
"07/09/2021","2.3056","2.2883","2.3088","2.2777","0.57%"
"07/08/2021","2.2926","2.2977","2.321","2.2909","0.10%"
"07/07/2021","2.2902","2.2725","2.2913","2.2707","0.61%"
"07/06/2021","2.2763","2.3069","2.3178","2.2697","-1.13%"
"07/05/2021","2.3023","2.3044","2.3124","2.3014","-0.23%"
"07/02/2021","2.3075","2.298","2.3186","2.2936","-0.06%"
"07/01/2021","2.309","2.2593","2.3097","2.238","2.12%"
"06/30/2021","2.2611","2.2456","2.2661","2.2439","0.93%"
"06/29/2021","2.2402","2.208","2.2428","2.2076","1.16%"
"06/28/2021","2.2146","2.2058","2.2231","2.1914","0.18%"
"06/25/2021","2.2105","2.2011","2.2223","2.1976","0.28%"
"06/24/2021","2.2044","2.2281","2.2391","2.1871","-1.33%"
"06/23/2021","2.234","2.2541","2.2586","2.2227","-1.00%"
"06/22/2021","2.2566","2.2706","2.2741","2.256","-0.63%"
"06/21/2021","2.271","2.2817","2.3027","2.2607","-0.72%"
"06/18/2021","2.2874","2.2565","2.2882","2.2495","1.32%"
"06/17/2021","2.2577","2.255","2.2661","2.2432","-0.21%"
"06/16/2021","2.2624","2.2721","2.2743","2.2606","-0.40%"
"06/15/2021","2.2716","2.2803","2.2912","2.2647","-0.62%"
"06/14/2021","2.2857","2.2799","2.2985","2.2779","0.37%"
"06/11/2021","2.2773","2.2584","2.2988","2.2582","0.70%"
"06/10/2021","2.2615","2.2618","2.2733","2.2605","-0.45%"
"06/09/2021","2.2716","2.2702","2.288","2.2691","-0.21%"
"06/08/2021","2.2763","2.3224","2.3243","2.2702","-2.09%"
"06/07/2021","2.3249","2.337","2.3374","2.3087","-0.37%"
"06/04/2021","2.3335","2.3552","2.3584","2.3267","-0.79%"
"06/03/2021","2.3519","2.3679","2.3821","2.3395","-0.92%"
"06/02/2021","2.3737","2.3887","2.4041","2.3728","-0.40%"
"06/01/2021","2.3833","2.3903","2.4057","2.3793","-0.49%"
"05/31/2021","2.395","2.3777","2.4038","2.3734","1.13%"
"05/28/2021","2.3682","2.3838","2.4039","2.3532","-0.71%"
"05/27/2021","2.3852","2.363","2.4017","2.354","0.90%"
"05/26/2021","2.364","2.3785","2.3822","2.3463","-0.50%"
"05/25/2021","2.3758","2.3637","2.3804","2.3609","0.44%"
"05/24/2021","2.3654","2.3467","2.3685","2.339","0.60%"
"05/21/2021","2.3513","2.3531","2.3555","2.3441","-0.01%"
"05/20/2021","2.3515","2.3134","2.3544","2.295","1.73%"
"05/19/2021","2.3115","2.3072","2.3219","2.3002","0.21%"
"05/18/2021","2.3067","2.3078","2.3099","2.2888","-0.34%"
"05/17/2021","2.3147","2.2934","2.3208","2.2894","0.92%"
"05/14/2021","2.2936","2.3104","2.3193","2.2817","-0.92%"
"05/13/2021","2.3148","2.3344","2.336","2.3088","-0.78%"
"05/12/2021","2.333","2.3531","2.357","2.3287","-0.90%"
"05/11/2021","2.3541","2.3177","2.3711","2.3124","1.83%"
"05/10/2021","2.3117","2.2636","2.3138","2.262","1.90%"
"05/07/2021","2.2685","2.2632","2.2698","2.2567","-0.13%"
"05/06/2021","2.2714","2.2815","2.2827","2.2694","-0.49%"
"05/05/2021","2.2826","2.278","2.2924","2.2756","0.21%"
"05/04/2021","2.2778","2.2791","2.2792","2.2693","0.14%"
"05/03/2021","2.2747","2.2818","2.2886","2.2674","-0.66%"
"04/30/2021","2.2898","2.3006","2.303","2.2803","-0.31%"
"04/29/2021","2.297","2.2989","2.3079","2.2879","-0.22%"
"04/28/2021","2.3022","2.3279","2.3347","2.2929","-1.09%"
"04/27/2021","2.3275","2.3344","2.3464","2.3212","-0.41%"
"04/26/2021","2.3369","2.3465","2.3539","2.3316","-0.48%"
"04/23/2021","2.3482","2.3621","2.3648","2.3389","-0.44%"
"04/22/2021","2.3586","2.3707","2.3851","2.3445","-0.47%"
"04/21/2021","2.3697","2.378","2.3891","2.3622","0.02%"
"04/20/2021","2.3691","2.3477","2.3734","2.3368","0.96%"
"04/19/2021","2.3466","2.3611","2.3705","2.3434","-0.87%"
"04/16/2021","2.3673","2.3768","2.3914","2.3544","-0.78%"
"04/15/2021","2.3858","2.4054","2.4136","2.3802","-0.32%"
"04/14/2021","2.3935","2.4166","2.4273","2.392","-1.02%"
"04/13/2021","2.4182","2.3731","2.4198","2.3666","1.56%"
"04/12/2021","2.3809","2.367","2.3838","2.3427","0.05%"
"04/09/2021","2.3797","2.3776","2.3933","2.3752","0.06%"
"04/08/2021","2.3782","2.4059","2.4078","2.3764","-1.42%"
"04/07/2021","2.4126","2.3982","2.4287","2.3947","0.64%"
"04/06/2021","2.3973","2.3923","2.3984","2.3873","0.08%"
"04/05/2021","2.3955","2.4046","2.4079","2.3916","-0.27%"
"04/02/2021","2.4021","2.3675","2.4031","2.366","1.56%"
