"Date","Price","Open","High","Low","Change %"
"12/31/2021","4.4376","4.4516","4.4648","4.4198","-0.27%"
"12/30/2021","4.4494","4.4218","4.4534","4.4095","0.58%"
"12/29/2021","4.4238","4.4364","4.4423","4.4205","-0.27%"
"12/28/2021","4.4359","4.4289","4.4368","4.4112","0.13%"
"12/27/2021","4.4302","4.4496","4.4551","4.4159","-0.21%"
"12/24/2021","4.4396","4.4173","4.4437","4.4107","0.42%"
"12/23/2021","4.4213","4.4443","4.4448","4.4131","-0.52%"
"12/22/2021","4.4442","4.4456","4.4514","4.4345","-0.03%"
"12/21/2021","4.4454","4.4039","4.4569","4.4009","0.85%"
"12/20/2021","4.408","4.4089","4.4149","4.4023","-0.11%"
"12/17/2021","4.4128","4.4344","4.4491","4.4085","-0.36%"
"12/16/2021","4.4287","4.4355","4.4407","4.4253","-0.22%"
"12/15/2021","4.4384","4.4352","4.4417","4.4304","-0.09%"
"12/14/2021","4.4425","4.4194","4.4465","4.4018","0.31%"
"12/13/2021","4.4289","4.4475","4.4617","4.413","-0.39%"
"12/10/2021","4.4463","4.4333","4.4637","4.4143","0.17%"
"12/09/2021","4.4389","4.4501","4.4599","4.4175","-0.10%"
"12/08/2021","4.4433","4.4419","4.4457","4.4358","0.10%"
"12/07/2021","4.4388","4.4297","4.4471","4.4199","0.10%"
"12/06/2021","4.4343","4.4442","4.4481","4.4332","-0.29%"
"12/03/2021","4.4471","4.4606","4.4716","4.4399","-0.26%"
"12/02/2021","4.4588","4.4619","4.4768","4.45","-0.13%"
"12/01/2021","4.4647","4.4861","4.4917","4.4617","-0.49%"
"11/30/2021","4.4866","4.4832","4.4997","4.477","0.02%"
"11/29/2021","4.4856","4.5117","4.5291","4.4836","-0.74%"
"11/26/2021","4.5188","4.4938","4.5361","4.4828","0.34%"
"11/25/2021","4.5034","4.503","4.508","4.4895","-0.05%"
"11/24/2021","4.5056","4.5113","4.5114","4.4911","-0.11%"
"11/23/2021","4.5105","4.4898","4.5148","4.4854","0.67%"
"11/22/2021","4.4806","4.497","4.5185","4.4746","-0.35%"
"11/19/2021","4.4963","4.5131","4.5276","4.4868","-0.37%"
"11/18/2021","4.5129","4.5279","4.5467","4.5019","-0.30%"
"11/17/2021","4.5264","4.5476","4.5596","4.5162","-0.35%"
"11/16/2021","4.5423","4.5159","4.5465","4.5131","0.57%"
"11/15/2021","4.5165","4.4802","4.5178","4.4749","0.80%"
"11/12/2021","4.4806","4.4372","4.4835","4.4339","1.02%"
"11/11/2021","4.4353","4.4415","4.4416","4.4253","-0.12%"
"11/10/2021","4.4404","4.4539","4.4635","4.438","-0.37%"
"11/09/2021","4.4568","4.4901","4.4955","4.4502","-0.77%"
"11/08/2021","4.4913","4.4335","4.5012","4.4259","1.08%"
"11/05/2021","4.4434","4.4424","4.4536","4.4418","0.12%"
"11/04/2021","4.4379","4.4193","4.4539","4.4091","0.42%"
"11/03/2021","4.4192","4.4039","4.4402","4.3973","0.30%"
"11/02/2021","4.4061","4.4246","4.4387","4.406","-0.19%"
"11/01/2021","4.4144","4.3925","4.4238","4.3838","0.39%"
"10/29/2021","4.3973","4.4292","4.4325","4.3935","-0.62%"
"10/28/2021","4.4246","4.4437","4.4532","4.4086","-0.18%"
"10/27/2021","4.4328","4.4075","4.4363","4.3912","0.52%"
"10/26/2021","4.4099","4.4283","4.4342","4.402","-0.44%"
"10/25/2021","4.4295","4.45","4.4531","4.4273","-0.53%"
"10/22/2021","4.453","4.4531","4.4739","4.4394","-0.05%"
"10/21/2021","4.4552","4.4112","4.4779","4.41","1.04%"
"10/20/2021","4.4094","4.4244","4.4414","4.401","-0.35%"
"10/19/2021","4.4247","4.4148","4.4284","4.3952","0.26%"
"10/18/2021","4.4133","4.433","4.4361","4.3954","-0.37%"
"10/15/2021","4.4297","4.4202","4.4416","4.4184","0.03%"
"10/14/2021","4.4284","4.4284","4.4287","4.4228","0.04%"
"10/13/2021","4.4267","4.4421","4.4511","4.4217","-0.33%"
"10/12/2021","4.4414","4.4457","4.4586","4.4327","0.02%"
"10/11/2021","4.4406","4.447","4.4475","4.4369","-0.19%"
"10/08/2021","4.4491","4.4706","4.4711","4.4391","-0.56%"
"10/07/2021","4.4741","4.4684","4.4815","4.4656","0.21%"
"10/06/2021","4.4646","4.4962","4.4973","4.4581","-0.59%"
"10/05/2021","4.4912","4.4826","4.4982","4.479","0.13%"
"10/04/2021","4.4852","4.4944","4.5107","4.481","0.09%"
"10/01/2021","4.4812","4.4987","4.4996","4.4796","-0.40%"
"09/30/2021","4.4991","4.4897","4.5039","4.4837","0.32%"
"09/29/2021","4.4848","4.4838","4.485","4.4806","0.06%"
"09/28/2021","4.4821","4.466","4.4925","4.4482","0.30%"
"09/27/2021","4.4686","4.451","4.4738","4.4404","0.46%"
"09/24/2021","4.4483","4.4391","4.4491","4.4265","0.40%"
"09/23/2021","4.4306","4.4414","4.4451","4.4264","-0.25%"
"09/22/2021","4.4418","4.4125","4.4617","4.4085","0.40%"
"09/21/2021","4.4243","4.4195","4.4314","4.4056","0.06%"
"09/20/2021","4.4218","4.414","4.4244","4.4051","0.36%"
"09/17/2021","4.406","4.3949","4.4094","4.386","0.25%"
"09/16/2021","4.395","4.4056","4.4109","4.3892","-0.09%"
"09/15/2021","4.3991","4.4024","4.4105","4.3928","-0.09%"
"09/14/2021","4.4032","4.4232","4.4281","4.3914","-0.28%"
"09/13/2021","4.4154","4.398","4.4301","4.3973","0.49%"
"09/10/2021","4.3937","4.3707","4.3987","4.3671","0.28%"
"09/09/2021","4.3813","4.3607","4.3883","4.3427","0.53%"
"09/08/2021","4.3584","4.3443","4.3606","4.3318","0.07%"
"09/07/2021","4.3555","4.319","4.3609","4.3116","0.70%"
"09/06/2021","4.3252","4.319","4.3397","4.3029","0.15%"
"09/03/2021","4.3187","4.3258","4.3434","4.3156","-0.22%"
"09/02/2021","4.3284","4.3335","4.3389","4.3097","-0.17%"
"09/01/2021","4.3359","4.3294","4.3462","4.3237","0.08%"
"08/31/2021","4.3323","4.3432","4.3581","4.3317","-0.17%"
"08/30/2021","4.3395","4.3611","4.3646","4.3173","-0.64%"
"08/27/2021","4.3673","4.3645","4.375","4.3625","0.03%"
"08/26/2021","4.3661","4.3663","4.3681","4.3651","-0.08%"
"08/25/2021","4.3698","4.3473","4.3811","4.3439","0.71%"
"08/24/2021","4.3389","4.3451","4.3527","4.3351","-0.16%"
"08/23/2021","4.3458","4.3426","4.3706","4.3231","0.09%"
"08/20/2021","4.3418","4.3645","4.3712","4.3402","-0.50%"
"08/19/2021","4.3634","4.3867","4.3967","4.3614","-0.41%"
"08/18/2021","4.3816","4.387","4.3879","4.3737","-0.16%"
"08/17/2021","4.3887","4.3837","4.3917","4.3696","0.17%"
"08/16/2021","4.3813","4.3614","4.3861","4.3566","0.55%"
"08/13/2021","4.3575","4.3865","4.3901","4.3554","-0.70%"
"08/12/2021","4.3883","4.4373","4.4373","4.3832","-1.04%"
"08/11/2021","4.4347","4.4253","4.4394","4.4184","-0.02%"
"08/10/2021","4.4354","4.4572","4.4583","4.4298","-0.53%"
"08/09/2021","4.4589","4.4619","4.4703","4.4493","-0.05%"
"08/06/2021","4.461","4.4959","4.5055","4.4418","-0.72%"
"08/05/2021","4.4931","4.4847","4.4955","4.4776","0.18%"
"08/04/2021","4.4849","4.4757","4.4884","4.4672","0.24%"
"08/03/2021","4.4739","4.456","4.4836","4.4493","0.38%"
"08/02/2021","4.4568","4.4736","4.4737","4.4446","-0.34%"
"07/30/2021","4.4719","4.4736","4.4826","4.4487","0.10%"
"07/29/2021","4.4675","4.4938","4.498","4.4542","-0.69%"
"07/28/2021","4.4983","4.4969","4.5027","4.4811","0.14%"
"07/27/2021","4.4922","4.508","4.5157","4.4833","-0.21%"
"07/26/2021","4.5016","4.5096","4.5162","4.4957","-0.30%"
"07/23/2021","4.5149","4.5027","4.5175","4.4942","0.31%"
"07/22/2021","4.5011","4.507","4.507","4.4965","-0.07%"
