"Date","Price","Open","High","Low","Change %"
"12/31/2021","2.6926","2.7185","2.7347","2.6864","-0.74%"
"12/30/2021","2.7126","2.7125","2.7272","2.7037","-0.39%"
"12/29/2021","2.7234","2.7397","2.7435","2.7194","-0.37%"
"12/28/2021","2.7335","2.7318","2.7379","2.7005","0.02%"
"12/27/2021","2.733","2.7015","2.7415","2.6923","0.98%"
"12/24/2021","2.7065","2.7235","2.744","2.6966","-0.77%"
"12/23/2021","2.7274","2.7155","2.7275","2.7039","0.80%"
"12/22/2021","2.7058","2.6928","2.7217","2.69","0.26%"
"12/21/2021","2.6989","2.6928","2.6994","2.6836","0.17%"
"12/20/2021","2.6942","2.7048","2.7176","2.6897","-0.32%"
"12/17/2021","2.7029","2.6939","2.7128","2.679","0.19%"
"12/16/2021","2.6978","2.6773","2.71","2.664","0.67%"
"12/15/2021","2.6799","2.7012","2.7071","2.676","-0.62%"
"12/14/2021","2.6967","2.6866","2.7069","2.6793","0.45%"
"12/13/2021","2.6845","2.676","2.6902","2.6717","0.46%"
"12/10/2021","2.6722","2.66","2.6952","2.659","0.27%"
"12/09/2021","2.6651","2.6686","2.6694","2.6578","0.11%"
"12/08/2021","2.6622","2.6489","2.6663","2.6343","0.27%"
"12/07/2021","2.655","2.6364","2.6602","2.6296","0.56%"
"12/06/2021","2.6403","2.6528","2.6687","2.6354","-0.48%"
"12/03/2021","2.653","2.6586","2.6598","2.6362","-0.08%"
"12/02/2021","2.6551","2.6577","2.6584","2.639","-0.03%"
"12/01/2021","2.6558","2.675","2.6817","2.6519","-0.36%"
"11/30/2021","2.6655","2.6423","2.6903","2.6333","0.99%"
"11/29/2021","2.6394","2.6264","2.6479","2.6198","0.65%"
"11/26/2021","2.6225","2.6236","2.6271","2.6198","0.01%"
"11/25/2021","2.6222","2.6525","2.6701","2.615","-0.83%"
"11/24/2021","2.6443","2.667","2.6731","2.6406","-0.74%"
"11/23/2021","2.6639","2.6754","2.677","2.659","-0.56%"
"11/22/2021","2.679","2.6866","2.7011","2.6764","-0.12%"
"11/19/2021","2.6821","2.65","2.6849","2.6472","1.17%"
"11/18/2021","2.6511","2.6233","2.6523","2.613","1.12%"
"11/17/2021","2.6218","2.5882","2.639","2.5768","1.07%"
"11/16/2021","2.594","2.6149","2.6216","2.5898","-0.85%"
"11/15/2021","2.6164","2.595","2.6226","2.5837","0.85%"
"11/12/2021","2.5944","2.5778","2.6047","2.5736","0.83%"
"11/11/2021","2.5731","2.5581","2.5782","2.5577","0.51%"
"11/10/2021","2.56","2.5734","2.577","2.5388","-0.34%"
"11/09/2021","2.5689","2.5538","2.5721","2.5531","0.32%"
"11/08/2021","2.5606","2.5653","2.5742","2.5462","-0.35%"
"11/05/2021","2.5697","2.5819","2.5841","2.5474","-0.68%"
"11/04/2021","2.5873","2.5996","2.6085","2.5745","-0.52%"
"11/03/2021","2.6008","2.6298","2.631","2.5954","-0.95%"
"11/02/2021","2.6256","2.6008","2.6279","2.5938","1.08%"
"11/01/2021","2.5976","2.5952","2.6019","2.5831","0.50%"
"10/29/2021","2.5847","2.6166","2.6223","2.5705","-1.24%"
"10/28/2021","2.617","2.6242","2.6363","2.6148","-0.11%"
"10/27/2021","2.6199","2.6427","2.6446","2.604","-1.11%"
"10/26/2021","2.6493","2.6373","2.6545","2.6164","0.33%"
"10/25/2021","2.6407","2.6177","2.6519","2.5934","0.76%"
"10/22/2021","2.6207","2.6132","2.6213","2.6061","0.29%"
"10/21/2021","2.6131","2.6198","2.6221","2.6103","0.13%"
"10/20/2021","2.6097","2.593","2.6105","2.5884","0.56%"
"10/19/2021","2.5953","2.6192","2.6234","2.5865","-1.18%"
"10/18/2021","2.6261","2.6111","2.639","2.6061","0.26%"
"10/15/2021","2.6194","2.5925","2.6338","2.5892","0.97%"
"10/14/2021","2.5944","2.6545","2.6682","2.5913","-1.92%"
"10/13/2021","2.6451","2.6284","2.661","2.6107","0.92%"
"10/12/2021","2.6209","2.6009","2.6373","2.6009","0.54%"
"10/11/2021","2.6069","2.597","2.619","2.5949","0.66%"
"10/08/2021","2.5897","2.5943","2.6033","2.5807","-0.01%"
"10/07/2021","2.59","2.6256","2.6348","2.5865","-1.22%"
"10/06/2021","2.622","2.6386","2.6492","2.5894","-0.62%"
"10/05/2021","2.6384","2.6076","2.6527","2.6012","1.22%"
"10/04/2021","2.6065","2.5925","2.6091","2.5889","0.59%"
"10/01/2021","2.5913","2.5453","2.5952","2.5336","1.54%"
"09/30/2021","2.552","2.5361","2.5708","2.5322","0.44%"
"09/29/2021","2.5409","2.5383","2.5642","2.5285","0.23%"
"09/28/2021","2.5351","2.5374","2.5563","2.5324","-0.35%"
"09/27/2021","2.544","2.5539","2.5583","2.5405","-0.19%"
"09/24/2021","2.5487","2.5525","2.554","2.5442","-0.06%"
"09/23/2021","2.5502","2.5679","2.574","2.545","-0.43%"
"09/22/2021","2.5612","2.5537","2.5639","2.5373","0.16%"
"09/21/2021","2.5572","2.5766","2.5841","2.5445","-0.93%"
"09/20/2021","2.5811","2.5945","2.5996","2.5718","-0.54%"
"09/17/2021","2.5952","2.5928","2.6056","2.5903","-0.04%"
"09/16/2021","2.5962","2.5884","2.599","2.5723","0.71%"
"09/15/2021","2.5778","2.5738","2.5842","2.5704","0.07%"
"09/14/2021","2.576","2.5979","2.606","2.5727","-0.59%"
