"Date","Price","Open","High","Low","Change %"
"12/31/2021","4.5744","4.5486","4.5758","4.5267","0.52%"
"12/30/2021","4.5509","4.5507","4.5541","4.5285","-0.08%"
"12/29/2021","4.5547","4.5555","4.5712","4.553","-0.03%"
"12/28/2021","4.5561","4.5368","4.5572","4.5354","0.19%"
"12/27/2021","4.5474","4.543","4.5499","4.539","0.12%"
"12/24/2021","4.5418","4.5321","4.5504","4.5115","0.28%"
"12/23/2021","4.5291","4.5412","4.5438","4.5236","-0.47%"
"12/22/2021","4.5507","4.5575","4.5737","4.5321","-0.12%"
"12/21/2021","4.5563","4.5643","4.5676","4.5414","-0.16%"
"12/20/2021","4.5636","4.5656","4.5717","4.5569","-0.11%"
"12/17/2021","4.5689","4.547","4.5829","4.5467","0.37%"
"12/16/2021","4.552","4.5579","4.5715","4.5338","0.07%"
"12/15/2021","4.549","4.5525","4.5644","4.5433","-0.07%"
"12/14/2021","4.5522","4.5757","4.5928","4.5487","-0.46%"
"12/13/2021","4.5731","4.5625","4.5865","4.5539","0.24%"
"12/10/2021","4.5622","4.5821","4.5856","4.5595","-0.62%"
"12/09/2021","4.5909","4.5361","4.5973","4.5334","1.17%"
"12/08/2021","4.5377","4.5413","4.5465","4.5366","-0.10%"
"12/07/2021","4.5423","4.536","4.5502","4.5273","0.10%"
"12/06/2021","4.5379","4.5176","4.5482","4.5115","0.48%"
"12/03/2021","4.5164","4.5311","4.5326","4.4959","-0.26%"
"12/02/2021","4.5281","4.5425","4.5433","4.5144","-0.25%"
"12/01/2021","4.5393","4.5392","4.5479","4.5267","-0.12%"
"11/30/2021","4.5446","4.5554","4.564","4.5402","-0.36%"
"11/29/2021","4.5609","4.5333","4.5741","4.5292","0.59%"
"11/26/2021","4.5341","4.5192","4.548","4.5116","0.39%"
"11/25/2021","4.5165","4.5552","4.5555","4.5099","-0.89%"
"11/24/2021","4.5571","4.5878","4.5974","4.5503","-0.60%"
"11/23/2021","4.5846","4.5847","4.5881","4.5722","0.11%"
"11/22/2021","4.5798","4.5537","4.5811","4.5489","0.44%"
"11/19/2021","4.5597","4.5326","4.5654","4.5292","0.73%"
"11/18/2021","4.5266","4.5","4.5276","4.4907","0.51%"
"11/17/2021","4.5039","4.4978","4.5172","4.4963","0.08%"
"11/16/2021","4.5001","4.5026","4.5057","4.4898","-0.09%"
"11/15/2021","4.5043","4.476","4.5166","4.4691","0.60%"
"11/12/2021","4.4775","4.5178","4.5359","4.4756","-0.88%"
"11/11/2021","4.5172","4.491","4.5245","4.484","0.46%"
"11/10/2021","4.4964","4.4823","4.502","4.482","0.56%"
"11/09/2021","4.4714","4.4905","4.4951","4.462","-0.50%"
"11/08/2021","4.4941","4.5038","4.5126","4.4905","-0.14%"
"11/05/2021","4.5003","4.4933","4.5058","4.4832","0.19%"
"11/04/2021","4.4918","4.4892","4.5006","4.4886","0.14%"
"11/03/2021","4.4856","4.5088","4.5156","4.48","-0.35%"
"11/02/2021","4.5012","4.5143","4.5145","4.4878","-0.32%"
