"Date","Price","Open","High","Low","Change %"
"12/31/2021","2.614","2.6244","2.6372","2.5989","-0.30%"
"12/30/2021","2.6219","2.5981","2.6307","2.5875","0.72%"
"12/29/2021","2.6032","2.5936","2.6178","2.5787","0.47%"
"12/28/2021","2.591","2.6048","2.6214","2.585","-0.64%"
"12/27/2021","2.6076","2.593","2.6216","2.5817","0.51%"
"12/24/2021","2.5944","2.6301","2.6375","2.5781","-1.08%"
"12/23/2021","2.6228","2.6074","2.6424","2.5951","0.25%"
"12/22/2021","2.6162","2.6254","2.6361","2.6133","0.03%"
"12/21/2021","2.6154","2.6312","2.6369","2.6007","-0.22%"
"12/20/2021","2.6212","2.6524","2.6727","2.6103","-1.26%"
"12/17/2021","2.6547","2.6859","2.6978","2.6443","-0.70%"
"12/16/2021","2.6734","2.6576","2.6944","2.6495","0.44%"
"12/15/2021","2.6618","2.6672","2.6802","2.6547","0.09%"
"12/14/2021","2.6594","2.6032","2.6624","2.5968","2.22%"
"12/13/2021","2.6016","2.6021","2.603","2.5972","0.18%"
"12/10/2021","2.5969","2.5866","2.6013","2.5751","0.78%"
"12/09/2021","2.5769","2.5272","2.5863","2.525","1.92%"
"12/08/2021","2.5284","2.5146","2.5328","2.5142","0.36%"
"12/07/2021","2.5192","2.5233","2.5268","2.5149","-0.18%"
"12/06/2021","2.5238","2.4976","2.5281","2.4952","0.92%"
"12/03/2021","2.5008","2.4622","2.5023","2.4563","1.44%"
"12/02/2021","2.4652","2.4862","2.5012","2.4561","-0.76%"
"12/01/2021","2.4841","2.4635","2.5001","2.4612","0.83%"
"11/30/2021","2.4637","2.5057","2.5183","2.4559","-1.67%"
"11/29/2021","2.5056","2.5187","2.5262","2.5033","-0.25%"
"11/26/2021","2.5118","2.4898","2.5252","2.4859","0.88%"
"11/25/2021","2.4898","2.5138","2.5247","2.4876","-0.85%"
"11/24/2021","2.5112","2.4911","2.5149","2.4897","0.47%"
"11/23/2021","2.4995","2.4706","2.5013","2.468","1.12%"
"11/22/2021","2.4719","2.4718","2.4813","2.4596","0.17%"
"11/19/2021","2.4676","2.5014","2.5127","2.4618","-1.27%"
"11/18/2021","2.4993","2.5094","2.5205","2.4816","-0.27%"
"11/17/2021","2.5061","2.4914","2.5224","2.4914","0.30%"
"11/16/2021","2.4987","2.4849","2.504","2.4794","0.50%"
"11/15/2021","2.4864","2.4854","2.4974","2.4742","0.16%"
"11/12/2021","2.4824","2.4561","2.4981","2.4478","1.22%"
"11/11/2021","2.4524","2.4312","2.4555","2.4298","0.83%"
"11/10/2021","2.4322","2.4162","2.4423","2.411","0.33%"
"11/09/2021","2.4243","2.4171","2.429","2.409","0.26%"
"11/08/2021","2.4181","2.393","2.4182","2.3891","1.14%"
"11/05/2021","2.3909","2.4225","2.4288","2.388","-1.36%"
"11/04/2021","2.4238","2.4316","2.4322","2.418","0.08%"
"11/03/2021","2.4218","2.4029","2.4267","2.3979","0.73%"
"11/02/2021","2.4041","2.4273","2.4307","2.3928","-0.82%"
"11/01/2021","2.424","2.4009","2.4246","2.392","0.74%"
"10/29/2021","2.4063","2.4203","2.4258","2.397","-0.57%"
"10/28/2021","2.42","2.4242","2.4294","2.415","-0.59%"
"10/27/2021","2.4345","2.4221","2.4489","2.4216","0.46%"
"10/26/2021","2.4232","2.4445","2.4474","2.4029","-0.94%"
"10/25/2021","2.4462","2.4264","2.4547","2.4158","0.37%"
"10/22/2021","2.4372","2.4367","2.4406","2.432","-0.05%"
"10/21/2021","2.4383","2.4446","2.4492","2.4255","-0.03%"
"10/20/2021","2.439","2.4463","2.4661","2.4352","-0.21%"
"10/19/2021","2.4441","2.4273","2.4472","2.4182","0.80%"
"10/18/2021","2.4248","2.4319","2.4352","2.4227","-0.56%"
"10/15/2021","2.4386","2.4452","2.4579","2.4348","0.13%"
"10/14/2021","2.4355","2.4124","2.4365","2.404","0.42%"
"10/13/2021","2.4252","2.4119","2.4303","2.4056","0.81%"
"10/12/2021","2.4057","2.4488","2.4551","2.3996","-1.89%"
"10/11/2021","2.4519","2.4628","2.4702","2.447","-0.26%"
"10/08/2021","2.4583","2.4566","2.463","2.4517","0.37%"
"10/07/2021","2.4493","2.4206","2.4628","2.418","1.18%"
"10/06/2021","2.4208","2.4029","2.423","2.3927","0.92%"
"10/05/2021","2.3987","2.3806","2.4169","2.3562","0.54%"
"10/04/2021","2.3858","2.3796","2.3944","2.3695","0.25%"
"10/01/2021","2.3798","2.368","2.3878","2.3669","0.51%"
"09/30/2021","2.3677","2.3482","2.3895","2.346","0.93%"
"09/29/2021","2.3459","2.3502","2.367","2.3372","-0.03%"
"09/28/2021","2.3465","2.4012","2.4068","2.34","-2.18%"
"09/27/2021","2.3989","2.3983","2.4004","2.3944","0.17%"
"09/24/2021","2.3949","2.418","2.4292","2.3843","-0.57%"
"09/23/2021","2.4086","2.4095","2.4163","2.3988","0.21%"
"09/22/2021","2.4035","2.3624","2.413","2.3528","1.78%"
"09/21/2021","2.3614","2.3547","2.3837","2.3536","0.41%"
"09/20/2021","2.3518","2.3373","2.353","2.3341","0.43%"
"09/17/2021","2.3418","2.3388","2.3421","2.3329","0.03%"
"09/16/2021","2.3412","2.3232","2.3514","2.3152","0.56%"
"09/15/2021","2.3283","2.3027","2.3353","2.2932","0.95%"
"09/14/2021","2.3063","2.3077","2.3209","2.2836","-0.22%"
"09/13/2021","2.3115","2.3107","2.315","2.2937","-0.07%"
"09/10/2021","2.3131","2.3395","2.3445","2.2976","-1.32%"
"09/09/2021","2.344","2.3701","2.3764","2.3366","-1.10%"
"09/08/2021","2.37","2.3258","2.3755","2.3217","1.81%"
"09/07/2021","2.3279","2.3343","2.3441","2.3231","-0.49%"
"09/06/2021","2.3393","2.3398","2.3472","2.3308","-0.02%"
"09/03/2021","2.3397","2.3207","2.3537","2.3144","0.49%"
"09/02/2021","2.3283","2.312","2.3288","2.3038","0.70%"
"09/01/2021","2.3121","2.337","2.3596","2.3116","-0.82%"
"08/31/2021","2.3311","2.3284","2.3479","2.3203","-0.13%"
"08/30/2021","2.3341","2.3481","2.3577","2.3269","-0.67%"
"08/27/2021","2.3498","2.3505","2.3574","2.3443","0.06%"
"08/26/2021","2.3483","2.3505","2.3686","2.3404","0.38%"
"08/25/2021","2.3394","2.3347","2.3471","2.3269","0.30%"
"08/24/2021","2.3324","2.3585","2.361","2.3316","-0.95%"
"08/23/2021","2.3549","2.3249","2.356","2.3244","1.23%"
"08/20/2021","2.3264","2.3511","2.3551","2.3262","-1.31%"
"08/19/2021","2.3573","2.3615","2.3743","2.351","-0.39%"
"08/18/2021","2.3665","2.3533","2.3837","2.3462","0.74%"
"08/17/2021","2.3492","2.3562","2.3636","2.3465","0.12%"
"08/16/2021","2.3464","2.3058","2.3472","2.3053","1.97%"
"08/13/2021","2.3011","2.3397","2.3424","2.2998","-1.65%"
"08/12/2021","2.3396","2.3497","2.3551","2.3382","-0.06%"
"08/11/2021","2.341","2.358","2.3655","2.3338","-0.74%"
"08/10/2021","2.3585","2.3699","2.3716","2.3523","-0.41%"
"08/09/2021","2.3682","2.3505","2.3859","2.3439","1.01%"
"08/06/2021","2.3445","2.3418","2.3481","2.3331","0.41%"
"08/05/2021","2.335","2.3011","2.3368","2.2979","1.62%"
"08/04/2021","2.2978","2.2867","2.3007","2.2761","0.33%"
"08/03/2021","2.2903","2.3241","2.3359","2.2848","-1.30%"
"08/02/2021","2.3205","2.3189","2.3318","2.3124","0.12%"
"07/30/2021","2.3177","2.2818","2.3316","2.2803","1.36%"
"07/29/2021","2.2866","2.2557","2.2895","2.2381","1.18%"
"07/28/2021","2.2599","2.3101","2.3192","2.2453","-1.88%"
"07/27/2021","2.3032","2.3058","2.3144","2.291","-0.12%"
"07/26/2021","2.3061","2.348","2.3583","2.284","-1.87%"
"07/23/2021","2.35","2.3583","2.361","2.3469","-0.48%"
"07/22/2021","2.3614","2.3951","2.4061","2.3552","-1.14%"
"07/21/2021","2.3886","2.3772","2.3918","2.3764","0.57%"
"07/20/2021","2.375","2.3729","2.3764","2.3664","0.30%"
"07/19/2021","2.3678","2.3568","2.3738","2.3484","0.95%"
"07/16/2021","2.3457","2.3509","2.3605","2.3361","0.05%"
"07/15/2021","2.3444","2.3817","2.382","2.3402","-1.28%"
"07/14/2021","2.3748","2.3898","2.3992","2.3672","-0.96%"
"07/13/2021","2.3978","2.3732","2.4039","2.3649","1.24%"
"07/12/2021","2.3683","2.3453","2.3875","2.3293","0.91%"
"07/09/2021","2.3471","2.3484","2.3577","2.337","0.09%"
"07/08/2021","2.3449","2.3738","2.3841","2.339","-0.87%"
"07/07/2021","2.3654","2.3585","2.3837","2.3557","0.19%"
"07/06/2021","2.361","2.3533","2.3827","2.3336","0.18%"
"07/05/2021","2.3566","2.3545","2.3611","2.3504","-0.02%"
"07/02/2021","2.357","2.3275","2.357","2.3164","1.21%"
"07/01/2021","2.3289","2.3378","2.3411","2.3243","-0.46%"
"06/30/2021","2.3396","2.3423","2.3668","2.3358","-0.13%"
"06/29/2021","2.3427","2.3579","2.3625","2.3332","-0.34%"
"06/28/2021","2.3508","2.3489","2.3683","2.3475","0.05%"
"06/25/2021","2.3497","2.3703","2.3739","2.3432","-0.91%"
"06/24/2021","2.3713","2.3515","2.3752","2.3508","0.92%"
"06/23/2021","2.3498","2.3181","2.3559","2.3022","1.21%"
"06/22/2021","2.3217","2.3413","2.3513","2.3213","-0.52%"
"06/21/2021","2.3339","2.346","2.3659","2.3297","-0.77%"
"06/18/2021","2.352","2.3692","2.371","2.35","-0.93%"
"06/17/2021","2.3741","2.3757","2.3902","2.3686","0.08%"
"06/16/2021","2.3721","2.36","2.3781","2.3552","0.50%"
"06/15/2021","2.3602","2.3524","2.3613","2.3521","0.23%"
"06/14/2021","2.3548","2.3351","2.3559","2.3307","0.81%"
"06/11/2021","2.3359","2.3161","2.3387","2.3054","1.05%"
"06/10/2021","2.3117","2.2904","2.3263","2.279","1.12%"
"06/09/2021","2.2861","2.292","2.2968","2.2794","-0.31%"
"06/08/2021","2.2931","2.3323","2.3339","2.2827","-1.30%"
"06/07/2021","2.3234","2.33","2.335","2.3146","-0.55%"
"06/04/2021","2.3362","2.3354","2.354","2.3332","0.22%"
"06/03/2021","2.3311","2.3591","2.3724","2.3253","-1.28%"
"06/02/2021","2.3614","2.3543","2.3715","2.3438","0.05%"
"06/01/2021","2.3601","2.3558","2.3642","2.3476","0.46%"
"05/31/2021","2.3494","2.3707","2.3825","2.3485","-0.98%"
"05/28/2021","2.3727","2.3794","2.386","2.3647","-0.33%"
"05/27/2021","2.3806","2.3692","2.3822","2.3589","0.65%"
"05/26/2021","2.3652","2.346","2.3667","2.341","0.63%"
"05/25/2021","2.3505","2.3618","2.3719","2.3428","-0.59%"
"05/24/2021","2.3645","2.3622","2.3801","2.3557","0.33%"
"05/21/2021","2.3567","2.3153","2.359","2.3061","1.72%"
"05/20/2021","2.3168","2.3053","2.3244","2.2968","0.08%"
"05/19/2021","2.3149","2.3063","2.3273","2.2986","0.52%"
"05/18/2021","2.303","2.3096","2.3197","2.2992","-0.71%"
"05/17/2021","2.3195","2.2963","2.3326","2.2738","0.97%"
"05/14/2021","2.2972","2.303","2.3073","2.2864","-0.19%"
"05/13/2021","2.3014","2.3173","2.3234","2.2846","-0.97%"
"05/12/2021","2.3239","2.3499","2.3532","2.3235","-0.74%"
"05/11/2021","2.3414","2.3382","2.346","2.3323","0.05%"
"05/10/2021","2.3402","2.3197","2.3487","2.3133","1.19%"
"05/07/2021","2.3128","2.3159","2.3325","2.2893","-0.40%"
"05/06/2021","2.3222","2.3186","2.324","2.3114","0.30%"
"05/05/2021","2.3153","2.318","2.3203","2.3024","0.04%"
"05/04/2021","2.3145","2.3334","2.3581","2.3001","-0.85%"
"05/03/2021","2.3344","2.3456","2.3477","2.3276","-0.45%"
"04/30/2021","2.3449","2.3507","2.3608","2.3337","-0.00%"
"04/29/2021","2.345","2.3553","2.3632","2.3436","-0.62%"
"04/28/2021","2.3595","2.4303","2.4325","2.347","-3.04%"
"04/27/2021","2.4335","2.4595","2.4632","2.4307","-0.83%"
"04/26/2021","2.4538","2.4573","2.4681","2.4518","-0.06%"
"04/23/2021","2.4552","2.4771","2.4824","2.4441","-0.69%"
"04/22/2021","2.4723","2.5242","2.5362","2.4685","-2.19%"
"04/21/2021","2.5277","2.5047","2.5321","2.5035","0.97%"
"04/20/2021","2.5034","2.4724","2.5106","2.4665","1.16%"
"04/19/2021","2.4748","2.4609","2.4901","2.4609","0.39%"
