"Date","Price","Open","High","Low","Change %"
"12/31/2021","2.5776","2.5931","2.5951","2.5676","-0.42%"
"12/30/2021","2.5886","2.6344","2.6419","2.5883","-1.67%"
"12/29/2021","2.6326","2.6243","2.638","2.6195","0.21%"
"12/28/2021","2.6269","2.6594","2.6663","2.6248","-1.51%"
"12/27/2021","2.6672","2.6489","2.6867","2.639","0.74%"
"12/24/2021","2.6476","2.6367","2.6494","2.6257","0.41%"
"12/23/2021","2.6369","2.6588","2.6681","2.6299","-0.61%"
"12/22/2021","2.6531","2.6706","2.6847","2.6482","-0.69%"
"12/21/2021","2.6716","2.655","2.6739","2.6382","0.73%"
"12/20/2021","2.6523","2.635","2.6562","2.6216","0.75%"
"12/17/2021","2.6326","2.6586","2.6629","2.6252","-0.57%"
"12/16/2021","2.6476","2.6453","2.6591","2.6406","0.26%"
"12/15/2021","2.6409","2.6618","2.6652","2.6401","-1.15%"
"12/14/2021","2.6717","2.6841","2.6984","2.6627","-0.52%"
"12/13/2021","2.6856","2.7216","2.727","2.6702","-1.30%"
"12/10/2021","2.7211","2.7352","2.7512","2.7075","-0.53%"
"12/09/2021","2.7355","2.7156","2.7453","2.7094","0.76%"
"12/08/2021","2.7148","2.7297","2.7342","2.7132","-0.21%"
"12/07/2021","2.7205","2.7125","2.7253","2.7039","0.26%"
"12/06/2021","2.7136","2.7145","2.7161","2.7036","0.25%"
"12/03/2021","2.7067","2.7385","2.747","2.7005","-1.13%"
"12/02/2021","2.7377","2.7425","2.7563","2.7357","-0.36%"
"12/01/2021","2.7475","2.747","2.7575","2.7416","0.13%"
"11/30/2021","2.7438","2.7462","2.7514","2.7237","-0.12%"
"11/29/2021","2.747","2.7365","2.7576","2.7232","0.47%"
"11/26/2021","2.7342","2.7273","2.7515","2.7266","0.19%"
"11/25/2021","2.729","2.7188","2.7303","2.7188","0.36%"
"11/24/2021","2.7192","2.6915","2.725","2.6867","1.01%"
"11/23/2021","2.6919","2.6885","2.6923","2.6871","0.23%"
"11/22/2021","2.6858","2.6963","2.7167","2.685","-0.18%"
"11/19/2021","2.6905","2.6895","2.7036","2.6886","0.15%"
"11/18/2021","2.6864","2.6693","2.6987","2.6641","0.69%"
"11/17/2021","2.6679","2.6828","2.6834","2.665","-0.10%"
"11/16/2021","2.6705","2.6889","2.6896","2.6675","-0.64%"
"11/15/2021","2.6877","2.7007","2.7019","2.6736","-0.44%"
"11/12/2021","2.6995","2.7025","2.7106","2.6736","-0.17%"
"11/11/2021","2.7041","2.6854","2.706","2.6718","0.30%"
"11/10/2021","2.6959","2.7112","2.7131","2.6917","-0.59%"
"11/09/2021","2.7118","2.7243","2.7395","2.7046","-0.46%"
"11/08/2021","2.7243","2.7304","2.7331","2.7216","-0.11%"
"11/05/2021","2.7272","2.7348","2.7428","2.7144","-0.03%"
"11/04/2021","2.7281","2.7491","2.756","2.7231","-0.77%"
"11/03/2021","2.7493","2.7536","2.7543","2.7316","0.18%"
"11/02/2021","2.7443","2.7376","2.7482","2.7159","0.24%"
"11/01/2021","2.7378","2.765","2.7811","2.727","-1.26%"
"10/29/2021","2.7727","2.7978","2.8","2.7712","-0.56%"
"10/28/2021","2.7883","2.7854","2.7903","2.771","-0.08%"
"10/27/2021","2.7903","2.7827","2.7932","2.7827","0.10%"
"10/26/2021","2.7876","2.7627","2.7933","2.7539","1.08%"
"10/25/2021","2.7579","2.7583","2.7674","2.7511","-0.11%"
"10/22/2021","2.761","2.7594","2.7629","2.7532","0.15%"
"10/21/2021","2.757","2.7484","2.7628","2.7401","0.22%"
"10/20/2021","2.751","2.7509","2.7521","2.7503","-0.15%"
"10/19/2021","2.755","2.7969","2.8019","2.7476","-1.43%"
"10/18/2021","2.795","2.8023","2.8023","2.7736","-0.28%"
"10/15/2021","2.8028","2.7644","2.8057","2.7608","1.29%"
"10/14/2021","2.7672","2.7583","2.7714","2.7523","0.44%"
"10/13/2021","2.7551","2.7524","2.7593","2.7499","-0.08%"
"10/12/2021","2.7574","2.7577","2.7654","2.7458","0.01%"
"10/11/2021","2.7572","2.7895","2.7912","2.7563","-0.84%"
"10/08/2021","2.7804","2.7823","2.7887","2.7796","0.02%"
"10/07/2021","2.78","2.799","2.7993","2.7712","-0.60%"
"10/06/2021","2.7968","2.7825","2.8031","2.7762","0.61%"
"10/05/2021","2.7797","2.7893","2.8007","2.7646","-0.29%"
"10/04/2021","2.7878","2.7612","2.794","2.7573","1.18%"
"10/01/2021","2.7552","2.7442","2.7603","2.7331","0.28%"
"09/30/2021","2.7474","2.7636","2.7683","2.7423","-0.82%"
