"DATE","TIME PERIOD","Holdings of Debt securities issued by domestic General Government reported by MFIs excluding NCB, Stocks (BSI.M.AT.N.A.A30.A.1.U6.2100.Z01.E)"
"1997-09-30","1997Sep","26143.00"
"1997-10-31","1997Oct","26153.00"
"1997-11-30","1997Nov","26011.00"
"1997-12-31","1997Dec","26292.00"
"1998-01-31","1998Jan","27819.00"
"1998-02-28","1998Feb","26878.00"
"1998-03-31","1998Mar","27251.00"
"1998-04-30","1998Apr","27059.00"
"1998-05-31","1998May","26588.00"
"1998-06-30","1998Jun","27003.00"
"1998-07-31","1998Jul","27515.00"
"1998-08-31","1998Aug","26631.00"
"1998-09-30","1998Sep","26025.00"
"1998-10-31","1998Oct","27154.00"
"1998-11-30","1998Nov","25899.00"
"1998-12-31","1998Dec","24278.00"
"1999-01-31","1999Jan","26073.00"
"1999-02-28","1999Feb","25106.00"
"1999-03-31","1999Mar","24073.00"
"1999-04-30","1999Apr","23583.00"
"1999-05-31","1999May","23818.00"
"1999-06-30","1999Jun","23271.00"
"1999-07-31","1999Jul","23327.00"
"1999-08-31","1999Aug","22741.00"
"1999-09-30","1999Sep","22179.00"
"1999-10-31","1999Oct","21687.00"
"1999-11-30","1999Nov","22224.00"
"1999-12-31","1999Dec","20742.00"
"2000-01-31","2000Jan","21719.00"
"2000-02-29","2000Feb","20926.00"
"2000-03-31","2000Mar","21644.00"
"2000-04-30","2000Apr","22120.00"
"2000-05-31","2000May","21192.00"
"2000-06-30","2000Jun","21216.00"
"2000-07-31","2000Jul","20787.00"
"2000-08-31","2000Aug","20365.00"
"2000-09-30","2000Sep","20566.00"
"2000-10-31","2000Oct","20406.00"
"2000-11-30","2000Nov","20648.00"
"2000-12-31","2000Dec","18703.00"
"2001-01-31","2001Jan","20768.00"
"2001-02-28","2001Feb","19908.00"
"2001-03-31","2001Mar","19231.00"
"2001-04-30","2001Apr","19003.00"
"2001-05-31","2001May","18570.00"
"2001-06-30","2001Jun","18804.00"
"2001-07-31","2001Jul","18329.00"
"2001-08-31","2001Aug","18142.00"
"2001-09-30","2001Sep","17600.00"
