"DATE","TIME PERIOD","Total assets of MFIs excluding NCB, Stocks (BSI.M.BE.N.A.T00.A.1.Z5.0000.Z01.E)"
"1997-09-30","1997Sep","692587.00"
"1997-10-31","1997Oct","691094.00"
"1997-11-30","1997Nov","701552.00"
"1997-12-31","1997Dec","662932.00"
"1998-01-31","1998Jan","679534.00"
"1998-02-28","1998Feb","694174.00"
"1998-03-31","1998Mar","690910.00"
"1998-04-30","1998Apr","691543.00"
"1998-05-31","1998May","689168.00"
"1998-06-30","1998Jun","682259.00"
"1998-07-31","1998Jul","666415.00"
"1998-08-31","1998Aug","672754.00"
"1998-09-30","1998Sep","666831.00"
"1998-10-31","1998Oct","682769.00"
"1998-11-30","1998Nov","687958.00"
"1998-12-31","1998Dec","668754.00"
"1999-01-31","1999Jan","713996.00"
"1999-02-28","1999Feb","699037.00"
"1999-03-31","1999Mar","687566.00"
"1999-04-30","1999Apr","667399.00"
"1999-05-31","1999May","672077.00"
"1999-06-30","1999Jun","688801.00"
"1999-07-31","1999Jul","685359.00"
"1999-08-31","1999Aug","693765.00"
"1999-09-30","1999Sep","716675.00"
"1999-10-31","1999Oct","741326.00"
"1999-11-30","1999Nov","761581.00"
"1999-12-31","1999Dec","715476.00"
"2000-01-31","2000Jan","732864.00"
"2000-02-29","2000Feb","739390.00"
"2000-03-31","2000Mar","740359.00"
"2000-04-30","2000Apr","730188.00"
"2000-05-31","2000May","741857.00"
"2000-06-30","2000Jun","730887.00"
"2000-07-31","2000Jul","720621.00"
"2000-08-31","2000Aug","720080.00"
"2000-09-30","2000Sep","723349.00"
"2000-10-31","2000Oct","726217.00"
"2000-11-30","2000Nov","714292.00"
"2000-12-31","2000Dec","699604.00"
"2001-01-31","2001Jan","691280.00"
"2001-02-28","2001Feb","708313.00"
"2001-03-31","2001Mar","719728.00"
"2001-04-30","2001Apr","712268.00"
"2001-05-31","2001May","733554.00"
"2001-06-30","2001Jun","738403.00"
"2001-07-31","2001Jul","717069.00"
"2001-08-31","2001Aug","736096.00"
"2001-09-30","2001Sep","759188.00"
"2001-10-31","2001Oct","767378.00"
"2001-11-30","2001Nov","792946.00"
"2001-12-31","2001Dec","777396.00"
"2002-01-31","2002Jan","779472.00"
"2002-02-28","2002Feb","783797.00"
"2002-03-31","2002Mar","787255.00"
"2002-04-30","2002Apr","777659.00"
"2002-05-31","2002May","773563.00"
"2002-06-30","2002Jun","776189.00"
"2002-07-31","2002Jul","770827.00"
"2002-08-31","2002Aug","770979.00"
"2002-09-30","2002Sep","786212.00"
"2002-10-31","2002Oct","778257.00"
"2002-11-30","2002Nov","804043.00"
"2002-12-31","2002Dec","775977.00"
"2003-01-31","2003Jan","771559.00"
"2003-02-28","2003Feb","789663.00"
"2003-03-31","2003Mar","776234.00"
"2003-04-30","2003Apr","800584.00"
"2003-05-31","2003May","820372.00"
"2003-06-30","2003Jun","800607.00"
"2003-07-31","2003Jul","784175.00"
"2003-08-31","2003Aug","778618.00"
"2003-09-30","2003Sep","786430.00"
"2003-10-31","2003Oct","789359.00"
"2003-11-30","2003Nov","802982.00"
"2003-12-31","2003Dec","830405.00"
"2004-01-31","2004Jan","831582.00"
"2004-02-29","2004Feb","840640.00"
"2004-03-31","2004Mar","879536.00"
"2004-04-30","2004Apr","870328.00"
"2004-05-31","2004May","862537.00"
"2004-06-30","2004Jun","890329.00"
"2004-07-31","2004Jul","878101.00"
"2004-08-31","2004Aug","889654.00"
"2004-09-30","2004Sep","897260.00"
"2004-10-31","2004Oct","904662.00"
"2004-11-30","2004Nov","914520.00"
"2004-12-31","2004Dec","916484.00"
"2005-01-31","2005Jan","947585.00"
"2005-02-28","2005Feb","950163.00"
"2005-03-31","2005Mar","981891.00"
"2005-04-30","2005Apr","987550.00"
"2005-05-31","2005May","994539.00"
"2005-06-30","2005Jun","1021899.00"
"2005-07-31","2005Jul","1008394.00"
"2005-08-31","2005Aug","1003610.00"
"2005-09-30","2005Sep","1027585.00"
"2005-10-31","2005Oct","1036007.00"
"2005-11-30","2005Nov","1043545.00"
"2005-12-31","2005Dec","1057749.00"
"2006-01-31","2006Jan","1057412.00"
"2006-02-28","2006Feb","1045553.00"
"2006-03-31","2006Mar","1062999.00"
"2006-04-30","2006Apr","1068153.00"
"2006-05-31","2006May","1071460.00"
"2006-06-30","2006Jun","1066208.00"
"2006-07-31","2006Jul","1067603.00"
"2006-08-31","2006Aug","1064096.00"
"2006-09-30","2006Sep","1062895.00"
"2006-10-31","2006Oct","1083391.00"
"2006-11-30","2006Nov","1091573.00"
"2006-12-31","2006Dec","1124528.00"
"2007-01-31","2007Jan","1147666.00"
"2007-02-28","2007Feb","1148044.00"
"2007-03-31","2007Mar","1147105.00"
"2007-04-30","2007Apr","1160608.00"
"2007-05-31","2007May","1216059.00"
"2007-06-30","2007Jun","1219686.00"
"2007-07-31","2007Jul","1200991.00"
"2007-08-31","2007Aug","1225677.00"
"2007-09-30","2007Sep","1214426.00"
"2007-10-31","2007Oct","1271078.00"
"2007-11-30","2007Nov","1276098.00"
