"DATE","TIME PERIOD","Holdings of Debt securities issued by domestic General Government reported by MFIs excluding NCB, Stocks (BSI.M.IE.N.A.A30.A.1.U6.2100.Z01.E)"
"1997-09-30","1997Sep","4825.00"
"1997-10-31","1997Oct","4916.43"
"1997-11-30","1997Nov","5158.95"
"1997-12-31","1997Dec","5198.31"
"1998-01-31","1998Jan","5327.82"
"1998-02-28","1998Feb","4973.56"
"1998-03-31","1998Mar","5348.14"
"1998-04-30","1998Apr","5090.38"
"1998-05-31","1998May","4957.06"
"1998-06-30","1998Jun","5029.43"
"1998-07-31","1998Jul","4912.62"
"1998-08-31","1998Aug","5597.01"
"1998-09-30","1998Sep","5530.98"
"1998-10-31","1998Oct","6226.80"
"1998-11-30","1998Nov","5717.63"
"1998-12-31","1998Dec","5765.88"
"1999-01-31","1999Jan","6155.00"
"1999-02-28","1999Feb","6720.00"
"1999-03-31","1999Mar","6698.00"
"1999-04-30","1999Apr","6099.00"
"1999-05-31","1999May","6217.00"
"1999-06-30","1999Jun","6086.00"
"1999-07-31","1999Jul","5675.00"
"1999-08-31","1999Aug","5461.00"
"1999-09-30","1999Sep","5444.00"
"1999-10-31","1999Oct","5803.00"
"1999-11-30","1999Nov","6114.00"
"1999-12-31","1999Dec","6135.00"
"2000-01-31","2000Jan","6443.00"
"2000-02-29","2000Feb","6476.00"
"2000-03-31","2000Mar","6187.00"
"2000-04-30","2000Apr","5187.00"
"2000-05-31","2000May","5243.00"
"2000-06-30","2000Jun","5139.00"
"2000-07-31","2000Jul","5305.00"
"2000-08-31","2000Aug","5312.00"
"2000-09-30","2000Sep","5410.00"
"2000-10-31","2000Oct","4724.00"
"2000-11-30","2000Nov","4823.00"
"2000-12-31","2000Dec","5134.00"
"2001-01-31","2001Jan","5093.00"
"2001-02-28","2001Feb","5066.00"
"2001-03-31","2001Mar","5440.00"
"2001-04-30","2001Apr","5303.00"
"2001-05-31","2001May","5271.00"
"2001-06-30","2001Jun","5155.00"
"2001-07-31","2001Jul","5120.00"
"2001-08-31","2001Aug","5210.00"
"2001-09-30","2001Sep","5282.00"
"2001-10-31","2001Oct","4544.00"
"2001-11-30","2001Nov","4785.00"
"2001-12-31","2001Dec","4870.00"
"2002-01-31","2002Jan","4227.00"
"2002-02-28","2002Feb","4346.00"
"2002-03-31","2002Mar","4461.00"
"2002-04-30","2002Apr","4578.00"
"2002-05-31","2002May","4563.00"
"2002-06-30","2002Jun","4797.00"
"2002-07-31","2002Jul","5028.00"
"2002-08-31","2002Aug","4926.00"
"2002-09-30","2002Sep","5028.00"
"2002-10-31","2002Oct","4350.00"
"2002-11-30","2002Nov","4495.00"
"2002-12-31","2002Dec","4436.00"
