"DATE","TIME PERIOD","Holdings of Debt securities issued by domestic General Government reported by MFIs excluding NCB, Stocks (BSI.M.IT.N.A.A30.A.1.U6.2100.Z01.E)"
"1997-09-30","1997Sep","185547.00"
"1997-10-31","1997Oct","186603.00"
"1997-11-30","1997Nov","186953.00"
"1997-12-31","1997Dec","181967.00"
"1998-01-31","1998Jan","186224.00"
"1998-02-28","1998Feb","182483.00"
"1998-03-31","1998Mar","189618.00"
"1998-04-30","1998Apr","189752.00"
"1998-05-31","1998May","189353.00"
"1998-06-30","1998Jun","196068.00"
"1998-07-31","1998Jul","200143.00"
"1998-08-31","1998Aug","196179.00"
"1998-09-30","1998Sep","200712.00"
"1998-10-31","1998Oct","206414.00"
"1998-11-30","1998Nov","194617.00"
"1998-12-31","1998Dec","188283.00"
"1999-01-31","1999Jan","191375.00"
"1999-02-28","1999Feb","196338.00"
"1999-03-31","1999Mar","191037.00"
"1999-04-30","1999Apr","192097.00"
"1999-05-31","1999May","191066.00"
"1999-06-30","1999Jun","190552.00"
"1999-07-31","1999Jul","186581.00"
"1999-08-31","1999Aug","185487.00"
"1999-09-30","1999Sep","187722.00"
"1999-10-31","1999Oct","188966.00"
"1999-11-30","1999Nov","179929.00"
"1999-12-31","1999Dec","176844.00"
"2000-01-31","2000Jan","173861.00"
"2000-02-29","2000Feb","172908.00"
"2000-03-31","2000Mar","170394.00"
"2000-04-30","2000Apr","171092.00"
"2000-05-31","2000May","166623.00"
"2000-06-30","2000Jun","165446.00"
"2000-07-31","2000Jul","160223.00"
"2000-08-31","2000Aug","157295.00"
"2000-09-30","2000Sep","155893.00"
"2000-10-31","2000Oct","156949.00"
"2000-11-30","2000Nov","152723.00"
"2000-12-31","2000Dec","146097.00"
"2001-01-31","2001Jan","148172.00"
"2001-02-28","2001Feb","149330.00"
"2001-03-31","2001Mar","149813.00"
"2001-04-30","2001Apr","152973.00"
"2001-05-31","2001May","151816.00"
"2001-06-30","2001Jun","152977.00"
"2001-07-31","2001Jul","149203.00"
"2001-08-31","2001Aug","147799.00"
"2001-09-30","2001Sep","153612.00"
"2001-10-31","2001Oct","155411.00"
"2001-11-30","2001Nov","152928.00"
"2001-12-31","2001Dec","149149.00"
"2002-01-31","2002Jan","156823.00"
"2002-02-28","2002Feb","158086.00"
"2002-03-31","2002Mar","164851.00"
"2002-04-30","2002Apr","162379.00"
"2002-05-31","2002May","164999.00"
"2002-06-30","2002Jun","160476.00"
"2002-07-31","2002Jul","154146.00"
"2002-08-31","2002Aug","151310.00"
"2002-09-30","2002Sep","154690.00"
"2002-10-31","2002Oct","154637.00"
"2002-11-30","2002Nov","151392.00"
"2002-12-31","2002Dec","145094.00"
"2003-01-31","2003Jan","162335.00"
"2003-02-28","2003Feb","165200.00"
"2003-03-31","2003Mar","167039.00"
"2003-04-30","2003Apr","166355.00"
"2003-05-31","2003May","169672.00"
"2003-06-30","2003Jun","169823.00"
"2003-07-31","2003Jul","173177.00"
"2003-08-31","2003Aug","174417.00"
"2003-09-30","2003Sep","172741.00"
"2003-10-31","2003Oct","171805.00"
"2003-11-30","2003Nov","177861.00"
