"DATE","TIME PERIOD","Holdings of Debt securities issued by domestic General Government reported by MFIs excluding NCB, Stocks (BSI.M.NL.N.A.A30.A.1.U6.2100.Z01.E)"
"1997-09-30","1997Sep","28678.00"
"1997-10-31","1997Oct","28780.00"
"1997-11-30","1997Nov","27327.00"
"1997-12-31","1997Dec","31678.00"
"1998-01-31","1998Jan","29948.00"
"1998-02-28","1998Feb","31469.00"
"1998-03-31","1998Mar","32224.00"
"1998-04-30","1998Apr","30817.00"
"1998-05-31","1998May","32364.00"
"1998-06-30","1998Jun","33032.00"
"1998-07-31","1998Jul","32284.00"
"1998-08-31","1998Aug","34904.00"
"1998-09-30","1998Sep","36018.00"
"1998-10-31","1998Oct","38295.00"
"1998-11-30","1998Nov","38654.00"
"1998-12-31","1998Dec","37294.00"
"1999-01-31","1999Jan","37430.00"
"1999-02-28","1999Feb","34263.00"
"1999-03-31","1999Mar","33733.00"
"1999-04-30","1999Apr","35260.00"
"1999-05-31","1999May","34122.00"
"1999-06-30","1999Jun","36550.00"
"1999-07-31","1999Jul","37233.00"
"1999-08-31","1999Aug","34928.00"
"1999-09-30","1999Sep","35593.00"
"1999-10-31","1999Oct","37260.00"
"1999-11-30","1999Nov","35586.00"
"1999-12-31","1999Dec","33257.00"
"2000-01-31","2000Jan","34020.00"
"2000-02-29","2000Feb","34747.00"
"2000-03-31","2000Mar","35341.00"
"2000-04-30","2000Apr","35211.00"
"2000-05-31","2000May","34089.00"
"2000-06-30","2000Jun","32160.00"
"2000-07-31","2000Jul","30878.00"
"2000-08-31","2000Aug","29524.00"
"2000-09-30","2000Sep","30158.00"
"2000-10-31","2000Oct","28254.00"
"2000-11-30","2000Nov","27381.00"
"2000-12-31","2000Dec","25963.00"
"2001-01-31","2001Jan","24127.00"
"2001-02-28","2001Feb","23418.00"
"2001-03-31","2001Mar","23185.00"
"2001-04-30","2001Apr","23246.00"
"2001-05-31","2001May","23539.00"
"2001-06-30","2001Jun","24111.00"
"2001-07-31","2001Jul","24279.00"
"2001-08-31","2001Aug","24547.00"
"2001-09-30","2001Sep","22429.00"
"2001-10-31","2001Oct","21867.00"
"2001-11-30","2001Nov","21932.00"
"2001-12-31","2001Dec","21765.00"
"2002-01-31","2002Jan","22905.00"
"2002-02-28","2002Feb","21374.00"
"2002-03-31","2002Mar","21341.00"
"2002-04-30","2002Apr","21636.00"
"2002-05-31","2002May","21958.00"
"2002-06-30","2002Jun","21960.00"
"2002-07-31","2002Jul","22341.00"
"2002-08-31","2002Aug","20826.00"
"2002-09-30","2002Sep","20402.00"
"2002-10-31","2002Oct","20765.00"
"2002-11-30","2002Nov","20028.00"
"2002-12-31","2002Dec","21164.00"
"2003-01-31","2003Jan","21217.00"
"2003-02-28","2003Feb","21476.00"
"2003-03-31","2003Mar","21084.00"
"2003-04-30","2003Apr","21084.00"
"2003-05-31","2003May","21522.00"
"2003-06-30","2003Jun","22183.00"
"2003-07-31","2003Jul","22863.00"
"2003-08-31","2003Aug","22020.00"
"2003-09-30","2003Sep","21866.00"
"2003-10-31","2003Oct","24009.00"
"2003-11-30","2003Nov","24307.00"
"2003-12-31","2003Dec","23433.00"
"2004-01-31","2004Jan","22331.00"
"2004-02-29","2004Feb","21100.00"
"2004-03-31","2004Mar","21400.00"
"2004-04-30","2004Apr","22310.00"
"2004-05-31","2004May","21904.00"
"2004-06-30","2004Jun","23538.00"
"2004-07-31","2004Jul","23476.00"
"2004-08-31","2004Aug","21759.00"
"2004-09-30","2004Sep","22011.00"
"2004-10-31","2004Oct","21411.00"
"2004-11-30","2004Nov","21592.00"
"2004-12-31","2004Dec","21788.00"
"2005-01-31","2005Jan","22147.00"
"2005-02-28","2005Feb","22742.00"
"2005-03-31","2005Mar","22527.00"
"2005-04-30","2005Apr","23568.00"
"2005-05-31","2005May","22297.00"
"2005-06-30","2005Jun","22024.00"
"2005-07-31","2005Jul","20168.00"
"2005-08-31","2005Aug","20158.00"
"2005-09-30","2005Sep","19982.00"
