"DATE","TIME PERIOD","Holdings of Debt securities issued by domestic General Government reported by MFIs excluding NCB, Stocks (BSI.M.PT.N.A.A30.A.1.U6.2100.Z01.E)"
"1997-09-30","1997Sep","14900.00"
"1997-10-31","1997Oct","15413.00"
"1997-11-30","1997Nov","15172.00"
"1997-12-31","1997Dec","15013.00"
"1998-01-31","1998Jan","14659.00"
"1998-02-28","1998Feb","14899.00"
"1998-03-31","1998Mar","15589.00"
"1998-04-30","1998Apr","16211.00"
"1998-05-31","1998May","16124.00"
"1998-06-30","1998Jun","15560.00"
"1998-07-31","1998Jul","14234.00"
"1998-08-31","1998Aug","13381.00"
"1998-09-30","1998Sep","12728.00"
"1998-10-31","1998Oct","12862.00"
"1998-11-30","1998Nov","12150.00"
"1998-12-31","1998Dec","10817.00"
"1999-01-31","1999Jan","10193.00"
"1999-02-28","1999Feb","9788.00"
"1999-03-31","1999Mar","10040.00"
"1999-04-30","1999Apr","9966.00"
"1999-05-31","1999May","10034.00"
"1999-06-30","1999Jun","9447.00"
"1999-07-31","1999Jul","9401.00"
"1999-08-31","1999Aug","8928.00"
"1999-09-30","1999Sep","8536.00"
"1999-10-31","1999Oct","7818.00"
"1999-11-30","1999Nov","8023.00"
"1999-12-31","1999Dec","6489.00"
"2000-01-31","2000Jan","7350.00"
"2000-02-29","2000Feb","7391.00"
"2000-03-31","2000Mar","7035.00"
"2000-04-30","2000Apr","7156.00"
"2000-05-31","2000May","7453.00"
"2000-06-30","2000Jun","7143.00"
"2000-07-31","2000Jul","7050.00"
"2000-08-31","2000Aug","6914.00"
"2000-09-30","2000Sep","6913.00"
"2000-10-31","2000Oct","6912.00"
"2000-11-30","2000Nov","6729.00"
"2000-12-31","2000Dec","6251.00"
"2001-01-31","2001Jan","6519.00"
"2001-02-28","2001Feb","6323.00"
"2001-03-31","2001Mar","6350.00"
"2001-04-30","2001Apr","6074.00"
"2001-05-31","2001May","6021.00"
"2001-06-30","2001Jun","6550.00"
"2001-07-31","2001Jul","5641.00"
"2001-08-31","2001Aug","5891.00"
"2001-09-30","2001Sep","5632.00"
"2001-10-31","2001Oct","5580.00"
"2001-11-30","2001Nov","5859.00"
"2001-12-31","2001Dec","5780.00"
"2002-01-31","2002Jan","5822.00"
"2002-02-28","2002Feb","5497.00"
"2002-03-31","2002Mar","4703.00"
"2002-04-30","2002Apr","5065.00"
"2002-05-31","2002May","5012.00"
"2002-06-30","2002Jun","4562.00"
"2002-07-31","2002Jul","3899.00"
"2002-08-31","2002Aug","3798.00"
"2002-09-30","2002Sep","3507.00"
"2002-10-31","2002Oct","3941.00"
"2002-11-30","2002Nov","3788.00"
"2002-12-31","2002Dec","4385.00"
"2003-01-31","2003Jan","4160.00"
"2003-02-28","2003Feb","4267.00"
"2003-03-31","2003Mar","4354.00"
"2003-04-30","2003Apr","3893.00"
"2003-05-31","2003May","4070.00"
"2003-06-30","2003Jun","3708.00"
"2003-07-31","2003Jul","4268.00"
"2003-08-31","2003Aug","3871.00"
"2003-09-30","2003Sep","3803.00"
"2003-10-31","2003Oct","3850.00"
"2003-11-30","2003Nov","4362.00"
"2003-12-31","2003Dec","3807.00"
"2004-01-31","2004Jan","4213.00"
"2004-02-29","2004Feb","3730.00"
"2004-03-31","2004Mar","3712.00"
"2004-04-30","2004Apr","4030.00"
"2004-05-31","2004May","4197.00"
"2004-06-30","2004Jun","4598.00"
"2004-07-31","2004Jul","4738.00"
"2004-08-31","2004Aug","3548.00"
"2004-09-30","2004Sep","3944.00"
"2004-10-31","2004Oct","3962.00"
"2004-11-30","2004Nov","3853.00"
"2004-12-31","2004Dec","3813.00"
"2005-01-31","2005Jan","3865.00"
"2005-02-28","2005Feb","4142.00"
"2005-03-31","2005Mar","4534.00"
"2005-04-30","2005Apr","3794.00"
"2005-05-31","2005May","4021.00"
"2005-06-30","2005Jun","3863.00"
"2005-07-31","2005Jul","4232.00"
"2005-08-31","2005Aug","4080.00"
"2005-09-30","2005Sep","4257.00"
"2005-10-31","2005Oct","4484.00"
"2005-11-30","2005Nov","4297.00"
"2005-12-31","2005Dec","4080.00"
"2006-01-31","2006Jan","4277.00"
"2006-02-28","2006Feb","4186.00"
"2006-03-31","2006Mar","4605.00"
