"DATE","TIME PERIOD","Total assets of MFIs excluding NCB, Stocks (BSI.M.PT.N.A.T00.A.1.Z5.0000.Z01.E)"
"1997-09-30","1997Sep","180901.00"
"1997-10-31","1997Oct","180459.00"
"1997-11-30","1997Nov","184269.00"
"1997-12-31","1997Dec","188628.00"
"1998-01-31","1998Jan","185776.00"
"1998-02-28","1998Feb","188811.00"
"1998-03-31","1998Mar","194366.00"
"1998-04-30","1998Apr","194811.00"
"1998-05-31","1998May","195112.00"
"1998-06-30","1998Jun","201873.00"
"1998-07-31","1998Jul","200109.00"
"1998-08-31","1998Aug","200667.00"
"1998-09-30","1998Sep","207000.00"
"1998-10-31","1998Oct","209850.00"
"1998-11-30","1998Nov","212030.00"
"1998-12-31","1998Dec","213943.00"
"1999-01-31","1999Jan","220094.00"
"1999-02-28","1999Feb","217295.00"
"1999-03-31","1999Mar","219460.00"
"1999-04-30","1999Apr","217763.00"
"1999-05-31","1999May","223131.00"
"1999-06-30","1999Jun","224869.00"
"1999-07-31","1999Jul","228118.00"
"1999-08-31","1999Aug","231329.00"
"1999-09-30","1999Sep","236668.00"
"1999-10-31","1999Oct","242792.00"
"1999-11-30","1999Nov","247652.00"
"1999-12-31","1999Dec","249367.00"
"2000-01-31","2000Jan","246481.00"
"2000-02-29","2000Feb","248462.00"
"2000-03-31","2000Mar","252402.00"
"2000-04-30","2000Apr","263533.00"
"2000-05-31","2000May","272271.00"
"2000-06-30","2000Jun","270607.00"
"2000-07-31","2000Jul","274991.00"
"2000-08-31","2000Aug","268202.00"
"2000-09-30","2000Sep","273500.00"
"2000-10-31","2000Oct","277945.00"
"2000-11-30","2000Nov","282379.00"
"2000-12-31","2000Dec","277140.00"
"2001-01-31","2001Jan","274784.00"
"2001-02-28","2001Feb","279749.00"
"2001-03-31","2001Mar","278146.00"
"2001-04-30","2001Apr","275622.00"
"2001-05-31","2001May","281769.00"
"2001-06-30","2001Jun","285323.00"
"2001-07-31","2001Jul","290656.00"
"2001-08-31","2001Aug","286561.00"
"2001-09-30","2001Sep","285910.00"
"2001-10-31","2001Oct","288934.00"
"2001-11-30","2001Nov","292529.00"
"2001-12-31","2001Dec","298594.00"
"2002-01-31","2002Jan","296253.00"
"2002-02-28","2002Feb","297964.00"
"2002-03-31","2002Mar","301607.00"
"2002-04-30","2002Apr","303474.00"
"2002-05-31","2002May","305305.00"
"2002-06-30","2002Jun","307909.00"
"2002-07-31","2002Jul","311105.00"
"2002-08-31","2002Aug","308609.00"
"2002-09-30","2002Sep","310201.00"
"2002-10-31","2002Oct","315014.00"
"2002-11-30","2002Nov","312027.00"
"2002-12-31","2002Dec","311035.00"
"2003-01-31","2003Jan","324918.00"
"2003-02-28","2003Feb","332133.00"
"2003-03-31","2003Mar","335482.00"
"2003-04-30","2003Apr","334099.00"
"2003-05-31","2003May","339782.00"
"2003-06-30","2003Jun","344874.00"
"2003-07-31","2003Jul","346616.00"
"2003-08-31","2003Aug","346767.00"
"2003-09-30","2003Sep","352277.00"
"2003-10-31","2003Oct","350563.00"
"2003-11-30","2003Nov","351466.00"
"2003-12-31","2003Dec","349749.00"
"2004-01-31","2004Jan","345009.00"
"2004-02-29","2004Feb","343059.00"
"2004-03-31","2004Mar","352607.00"
"2004-04-30","2004Apr","351776.00"
"2004-05-31","2004May","350034.00"
"2004-06-30","2004Jun","354199.00"
"2004-07-31","2004Jul","353585.00"
"2004-08-31","2004Aug","347631.00"
"2004-09-30","2004Sep","351844.00"
"2004-10-31","2004Oct","349883.00"
"2004-11-30","2004Nov","354046.00"
"2004-12-31","2004Dec","346447.00"
"2005-01-31","2005Jan","341856.00"
"2005-02-28","2005Feb","338506.00"
"2005-03-31","2005Mar","340050.00"
"2005-04-30","2005Apr","337624.00"
"2005-05-31","2005May","340091.00"
"2005-06-30","2005Jun","344903.00"
"2005-07-31","2005Jul","346730.00"
"2005-08-31","2005Aug","350054.00"
"2005-09-30","2005Sep","355533.00"
"2005-10-31","2005Oct","354386.00"
"2005-11-30","2005Nov","360595.00"
"2005-12-31","2005Dec","361290.00"
"2006-01-31","2006Jan","360380.00"
"2006-02-28","2006Feb","362274.00"
"2006-03-31","2006Mar","372660.00"
"2006-04-30","2006Apr","372433.00"
"2006-05-31","2006May","374188.00"
"2006-06-30","2006Jun","379991.00"
"2006-07-31","2006Jul","377376.00"
"2006-08-31","2006Aug","379826.00"
"2006-09-30","2006Sep","381677.00"
"2006-10-31","2006Oct","381619.00"
"2006-11-30","2006Nov","386386.00"
"2006-12-31","2006Dec","397874.00"
"2007-01-31","2007Jan","391246.00"
"2007-02-28","2007Feb","391580.00"
"2007-03-31","2007Mar","395713.00"
"2007-04-30","2007Apr","412944.00"
"2007-05-31","2007May","408745.00"
"2007-06-30","2007Jun","416033.00"
"2007-07-31","2007Jul","419243.00"
"2007-08-31","2007Aug","419866.00"
"2007-09-30","2007Sep","424967.00"
"2007-10-31","2007Oct","430216.00"
"2007-11-30","2007Nov","432045.00"
"2007-12-31","2007Dec","439844.00"
"2008-01-31","2008Jan","436554.00"
"2008-02-29","2008Feb","441335.00"
"2008-03-31","2008Mar","440295.00"
"2008-04-30","2008Apr","447270.00"
"2008-05-31","2008May","454821.00"
"2008-06-30","2008Jun","457305.00"
"2008-07-31","2008Jul","466055.00"
"2008-08-31","2008Aug","466353.00"
"2008-09-30","2008Sep","466613.00"
"2008-10-31","2008Oct","466105.00"
"2008-11-30","2008Nov","472929.00"
"2008-12-31","2008Dec","482141.00"
"2009-01-31","2009Jan","483840.00"
"2009-02-28","2009Feb","487729.00"
"2009-03-31","2009Mar","494044.00"
"2009-04-30","2009Apr","497948.00"
"2009-05-31","2009May","496590.00"
"2009-06-30","2009Jun","506822.00"
"2009-07-31","2009Jul","509766.00"
"2009-08-31","2009Aug","509224.00"
"2009-09-30","2009Sep","506841.00"
"2009-10-31","2009Oct","504327.00"
"2009-11-30","2009Nov","505193.00"
"2009-12-31","2009Dec","520162.00"
"2010-01-31","2010Jan","525802.00"
"2010-02-28","2010Feb","528567.00"
"2010-03-31","2010Mar","530080.00"
"2010-04-30","2010Apr","532115.00"
"2010-05-31","2010May","539542.00"
"2010-06-30","2010Jun","549023.00"
"2010-07-31","2010Jul","556013.00"
"2010-08-31","2010Aug","559271.00"
"2010-09-30","2010Sep","554447.00"
"2010-10-31","2010Oct","553445.00"
"2010-11-30","2010Nov","559035.00"
"2010-12-31","2010Dec","558842.00"
"2011-01-31","2011Jan","558569.00"
"2011-02-28","2011Feb","561606.00"
"2011-03-31","2011Mar","556498.00"
"2011-04-30","2011Apr","570413.00"
"2011-05-31","2011May","571771.00"
"2011-06-30","2011Jun","568879.00"
"2011-07-31","2011Jul","569660.00"
"2011-08-31","2011Aug","573567.00"
"2011-09-30","2011Sep","572376.00"
"2011-10-31","2011Oct","572904.00"
"2011-11-30","2011Nov","571298.00"
"2011-12-31","2011Dec","573310.00"
"2012-01-31","2012Jan","572273.00"
"2012-02-29","2012Feb","583299.00"
"2012-03-31","2012Mar","580737.00"
"2012-04-30","2012Apr","578879.00"
"2012-05-31","2012May","583088.00"
"2012-06-30","2012Jun","576059.00"
"2012-07-31","2012Jul","570340.00"
"2012-08-31","2012Aug","566976.00"
"2012-09-30","2012Sep","564821.00"
"2012-10-31","2012Oct","564341.00"
"2012-11-30","2012Nov","561484.00"
"2012-12-31","2012Dec","557078.00"
"2013-01-31","2013Jan","551663.00"
"2013-02-28","2013Feb","551863.00"
"2013-03-31","2013Mar","547805.00"
"2013-04-30","2013Apr","546017.00"
"2013-05-31","2013May","542652.00"
"2013-06-30","2013Jun","532713.00"
"2013-07-31","2013Jul","520442.00"
"2013-08-31","2013Aug","518544.00"
"2013-09-30","2013Sep","517436.00"
"2013-10-31","2013Oct","516902.00"
"2013-11-30","2013Nov","515188.00"
"2013-12-31","2013Dec","515124.00"
"2014-01-31","2014Jan","512965.00"
"2014-02-28","2014Feb","506045.00"
"2014-03-31","2014Mar","498286.00"
"2014-04-30","2014Apr","496428.00"
"2014-05-31","2014May","493939.00"
"2014-06-30","2014Jun","489097.00"
"2014-07-31","2014Jul","491933.00"
"2014-08-31","2014Aug","489766.00"
"2014-09-30","2014Sep","482739.00"
"2014-10-31","2014Oct","472671.00"
"2014-11-30","2014Nov","468519.00"
"2014-12-31","2014Dec","439493.96"
"2015-01-31","2015Jan","435895.80"
"2015-02-28","2015Feb","434842.02"
"2015-03-31","2015Mar","433111.97"
"2015-04-30","2015Apr","432668.80"
"2015-05-31","2015May","431410.24"
"2015-06-30","2015Jun","430451.61"
"2015-07-31","2015Jul","427505.60"
"2015-08-31","2015Aug","425950.57"
"2015-09-30","2015Sep","422774.87"
"2015-10-31","2015Oct","421875.03"
"2015-11-30","2015Nov","422031.99"
"2015-12-31","2015Dec","419742.45"
"2016-01-31","2016Jan","417441.19"
"2016-02-29","2016Feb","416381.95"
"2016-03-31","2016Mar","414555.13"
"2016-04-30","2016Apr","413095.77"
"2016-05-31","2016May","412550.93"
"2016-06-30","2016Jun","411736.33"
"2016-07-31","2016Jul","411262.13"
"2016-08-31","2016Aug","407647.54"
"2016-09-30","2016Sep","406612.74"
"2016-10-31","2016Oct","404467.98"
"2016-11-30","2016Nov","402612.80"
"2016-12-31","2016Dec","398164.37"
"2017-01-31","2017Jan","397672.99"
"2017-02-28","2017Feb","397380.17"
"2017-03-31","2017Mar","403400.55"
"2017-04-30","2017Apr","403237.81"
"2017-05-31","2017May","403902.61"
"2017-06-30","2017Jun","398680.20"
"2017-07-31","2017Jul","400903.96"
"2017-08-31","2017Aug","397465.00"
"2017-09-30","2017Sep","398351.23"
"2017-10-31","2017Oct","398895.62"
"2017-11-30","2017Nov","398962.75"
"2017-12-31","2017Dec","393535.53"
"2018-01-31","2018Jan","390679.91"
"2018-02-28","2018Feb","391557.24"
"2018-03-31","2018Mar","392569.72"
"2018-04-30","2018Apr","394522.46"
"2018-05-31","2018May","398160.81"
"2018-06-30","2018Jun","401167.50"
"2018-07-31","2018Jul","397170.98"
"2018-08-31","2018Aug","397979.75"
"2018-09-30","2018Sep","398159.76"
"2018-10-31","2018Oct","395826.70"
"2018-11-30","2018Nov","393978.55"
"2018-12-31","2018Dec","391183.19"
"2019-01-31","2019Jan","391974.21"
"2019-02-28","2019Feb","391199.70"
"2019-03-31","2019Mar","392351.21"
"2019-04-30","2019Apr","393553.05"
"2019-05-31","2019May","392904.32"
"2019-06-30","2019Jun","397664.20"
"2019-07-31","2019Jul","396580.42"
"2019-08-31","2019Aug","397335.96"
"2019-09-30","2019Sep","395726.45"
"2019-10-31","2019Oct","391904.03"
"2019-11-30","2019Nov","393762.50"
"2019-12-31","2019Dec","388084.90"
"2020-01-31","2020Jan","389657.93"
"2020-02-29","2020Feb","387680.42"
"2020-03-31","2020Mar","392065.13"
"2020-04-30","2020Apr","395924.04"
"2020-05-31","2020May","397500.47"
"2020-06-30","2020Jun","410051.91"
"2020-07-31","2020Jul","412101.13"
"2020-08-31","2020Aug","409821.60"
"2020-09-30","2020Sep","410121.60"
"2020-10-31","2020Oct","409558.01"
"2020-11-30","2020Nov","412408.23"
"2020-12-31","2020Dec","413364.27"
"2021-01-31","2021Jan","413724.26"
"2021-02-28","2021Feb","415380.44"
"2021-03-31","2021Mar","421813.87"
"2021-04-30","2021Apr","424683.27"
"2021-05-31","2021May","426385.41"
"2021-06-30","2021Jun","430235.56"
"2021-07-31","2021Jul","433263.04"
"2021-08-31","2021Aug","434559.12"
"2021-09-30","2021Sep","436446.22"
"2021-10-31","2021Oct","438469.63"
"2021-11-30","2021Nov","439161.60"
"2021-12-31","2021Dec","438307.82"
"2022-01-31","2022Jan","438959.14"
"2022-02-28","2022Feb","439822.11"
"2022-03-31","2022Mar","443304.82"
"2022-04-30","2022Apr","448723.29"
"2022-05-31","2022May","447728.53"
"2022-06-30","2022Jun","453411.63"
"2022-07-31","2022Jul","455963.27"
"2022-08-31","2022Aug","454762.37"
"2022-09-30","2022Sep","454731.78"
"2022-10-31","2022Oct","456340.01"
"2022-11-30","2022Nov","441603.24"
"2022-12-31","2022Dec","430840.69"
"2023-01-31","2023Jan","427584.24"
"2023-02-28","2023Feb","425967.21"
"2023-03-31","2023Mar","421233.67"
"2023-04-30","2023Apr","422648.34"
"2023-05-31","2023May","421554.05"
"2023-06-30","2023Jun","420442.53"
"2023-07-31","2023Jul","419032.25"
"2023-08-31","2023Aug","420391.52"
"2023-09-30","2023Sep","420001.82"
"2023-10-31","2023Oct","421051.84"
"2023-11-30","2023Nov","423776.64"
"2023-12-31","2023Dec","425371.22"
"2024-01-31","2024Jan","426188.81"
"2024-02-29","2024Feb","429839.10"
"2024-03-31","2024Mar","433980.22"
"2024-04-30","2024Apr","437719.55"
"2024-05-31","2024May","439502.74"
"2024-06-30","2024Jun","441591.79"
"2024-07-31","2024Jul","441915.86"
"2024-08-31","2024Aug","443494.72"
"2024-09-30","2024Sep","443243.01"
"2024-10-31","2024Oct","443447.47"
"2024-11-30","2024Nov","445308.06"
"2024-12-31","2024Dec","443704.94"
"2025-01-31","2025Jan","446478.82"
"2025-02-28","2025Feb","451181.36"
"2025-03-31","2025Mar","451317.00"
"2025-04-30","2025Apr","453378.79"
