"DATE","TIME PERIOD","Total assets of MFIs excluding NCB, Stocks (BSI.M.ES.N.A.T00.A.1.Z5.0000.Z01.E)"
"1997-09-30","1997Sep","864353.00"
"1997-10-31","1997Oct","861452.00"
"1997-11-30","1997Nov","874161.00"
"1997-12-31","1997Dec","881162.00"
"1998-01-31","1998Jan","893055.00"
"1998-02-28","1998Feb","907575.00"
"1998-03-31","1998Mar","892537.00"
"1998-04-30","1998Apr","882919.00"
"1998-05-31","1998May","886865.00"
"1998-06-30","1998Jun","909470.00"
"1998-07-31","1998Jul","919971.00"
"1998-08-31","1998Aug","910780.00"
"1998-09-30","1998Sep","912701.00"
"1998-10-31","1998Oct","922327.00"
"1998-11-30","1998Nov","935817.00"
"1998-12-31","1998Dec","933035.00"
"1999-01-31","1999Jan","967187.00"
"1999-02-28","1999Feb","964643.00"
"1999-03-31","1999Mar","969113.00"
"1999-04-30","1999Apr","952442.00"
"1999-05-31","1999May","964283.00"
"1999-06-30","1999Jun","984959.00"
"1999-07-31","1999Jul","986325.00"
"1999-08-31","1999Aug","978965.00"
"1999-09-30","1999Sep","996751.00"
"1999-10-31","1999Oct","1004842.00"
"1999-11-30","1999Nov","1028031.00"
"1999-12-31","1999Dec","1043662.00"
"2000-01-31","2000Jan","1032095.00"
"2000-02-29","2000Feb","1026662.00"
"2000-03-31","2000Mar","1047814.00"
"2000-04-30","2000Apr","1061779.00"
"2000-05-31","2000May","1060926.00"
"2000-06-30","2000Jun","1073313.00"
"2000-07-31","2000Jul","1079305.00"
"2000-08-31","2000Aug","1075994.00"
"2000-09-30","2000Sep","1100555.00"
"2000-10-31","2000Oct","1104860.00"
"2000-11-30","2000Nov","1118693.00"
"2000-12-31","2000Dec","1152691.00"
"2001-01-31","2001Jan","1161360.00"
"2001-02-28","2001Feb","1161123.00"
"2001-03-31","2001Mar","1194291.00"
"2001-04-30","2001Apr","1197851.00"
"2001-05-31","2001May","1202804.00"
"2001-06-30","2001Jun","1221973.00"
"2001-07-31","2001Jul","1215070.00"
"2001-08-31","2001Aug","1201863.00"
"2001-09-30","2001Sep","1233080.00"
"2001-10-31","2001Oct","1244023.00"
"2001-11-30","2001Nov","1268684.00"
"2001-12-31","2001Dec","1291841.00"
"2002-01-31","2002Jan","1286088.00"
"2002-02-28","2002Feb","1276839.00"
"2002-03-31","2002Mar","1304881.00"
"2002-04-30","2002Apr","1316850.00"
"2002-05-31","2002May","1331128.00"
"2002-06-30","2002Jun","1341012.00"
"2002-07-31","2002Jul","1344657.00"
"2002-08-31","2002Aug","1335196.00"
"2002-09-30","2002Sep","1356221.00"
"2002-10-31","2002Oct","1380185.00"
"2002-11-30","2002Nov","1388717.00"
"2002-12-31","2002Dec","1395872.00"
"2003-01-31","2003Jan","1396119.00"
"2003-02-28","2003Feb","1413622.00"
"2003-03-31","2003Mar","1428466.00"
"2003-04-30","2003Apr","1467217.00"
"2003-05-31","2003May","1460759.00"
"2003-06-30","2003Jun","1476564.00"
"2003-07-31","2003Jul","1482591.00"
"2003-08-31","2003Aug","1496674.00"
"2003-09-30","2003Sep","1499193.00"
"2003-10-31","2003Oct","1523676.00"
"2003-11-30","2003Nov","1540573.00"
"2003-12-31","2003Dec","1560969.00"
"2004-01-31","2004Jan","1570933.00"
"2004-02-29","2004Feb","1576550.00"
"2004-03-31","2004Mar","1599514.00"
"2004-04-30","2004Apr","1627878.00"
"2004-05-31","2004May","1635199.00"
"2004-06-30","2004Jun","1679118.00"
"2004-07-31","2004Jul","1695456.00"
"2004-08-31","2004Aug","1675132.00"
"2004-09-30","2004Sep","1702945.00"
"2004-10-31","2004Oct","1731459.00"
"2004-11-30","2004Nov","1743230.00"
"2004-12-31","2004Dec","1775416.00"
