"DATE","TIME PERIOD","Total assets of MFIs excluding NCB, Stocks (BSI.M.AT.N.A.T00.A.1.Z5.0000.Z01.E)"
"1997-09-30","1997Sep","415054.00"
"1997-10-31","1997Oct","410533.00"
"1997-11-30","1997Nov","410001.00"
"1997-12-31","1997Dec","411520.00"
"1998-01-31","1998Jan","418188.00"
"1998-02-28","1998Feb","420176.00"
"1998-03-31","1998Mar","426612.00"
"1998-04-30","1998Apr","426999.00"
"1998-05-31","1998May","429170.00"
"1998-06-30","1998Jun","434129.00"
"1998-07-31","1998Jul","429002.00"
"1998-08-31","1998Aug","433001.00"
"1998-09-30","1998Sep","439427.00"
"1998-10-31","1998Oct","445063.00"
"1998-11-30","1998Nov","444667.00"
"1998-12-31","1998Dec","452235.00"
"1999-01-31","1999Jan","461136.00"
"1999-02-28","1999Feb","460593.00"
"1999-03-31","1999Mar","460923.00"
"1999-04-30","1999Apr","461107.00"
"1999-05-31","1999May","462769.00"
"1999-06-30","1999Jun","467667.00"
"1999-07-31","1999Jul","466972.00"
"1999-08-31","1999Aug","470758.00"
"1999-09-30","1999Sep","481000.00"
"1999-10-31","1999Oct","487230.00"
"1999-11-30","1999Nov","494867.00"
"1999-12-31","1999Dec","486709.00"
"2000-01-31","2000Jan","498269.00"
"2000-02-29","2000Feb","494000.00"
"2000-03-31","2000Mar","506698.00"
"2000-04-30","2000Apr","513524.00"
"2000-05-31","2000May","515477.00"
"2000-06-30","2000Jun","521880.00"
"2000-07-31","2000Jul","528641.00"
"2000-08-31","2000Aug","532201.00"
"2000-09-30","2000Sep","536549.00"
"2000-10-31","2000Oct","543946.00"
"2000-11-30","2000Nov","535586.00"
"2000-12-31","2000Dec","527933.00"
"2001-01-31","2001Jan","533083.00"
"2001-02-28","2001Feb","535746.00"
"2001-03-31","2001Mar","544023.00"
"2001-04-30","2001Apr","540193.00"
"2001-05-31","2001May","545913.00"
"2001-06-30","2001Jun","552005.00"
"2001-07-31","2001Jul","548196.00"
"2001-08-31","2001Aug","546015.00"
"2001-09-30","2001Sep","554899.00"
"2001-10-31","2001Oct","557584.00"
"2001-11-30","2001Nov","563920.00"
"2001-12-31","2001Dec","573384.00"
"2002-01-31","2002Jan","573435.00"
"2002-02-28","2002Feb","570555.00"
"2002-03-31","2002Mar","573812.00"
"2002-04-30","2002Apr","568758.00"
"2002-05-31","2002May","569552.00"
"2002-06-30","2002Jun","572943.00"
"2002-07-31","2002Jul","570733.00"
"2002-08-31","2002Aug","555296.00"
"2002-09-30","2002Sep","562110.00"
"2002-10-31","2002Oct","560067.00"
"2002-11-30","2002Nov","558582.00"
"2002-12-31","2002Dec","554528.00"
"2003-01-31","2003Jan","553021.00"
"2003-02-28","2003Feb","558200.00"
"2003-03-31","2003Mar","565565.00"
"2003-04-30","2003Apr","565037.00"
"2003-05-31","2003May","565658.00"
"2003-06-30","2003Jun","573544.00"
"2003-07-31","2003Jul","572863.00"
"2003-08-31","2003Aug","579102.00"
"2003-09-30","2003Sep","587230.00"
"2003-10-31","2003Oct","588887.00"
"2003-11-30","2003Nov","588979.00"
"2003-12-31","2003Dec","586459.00"
"2004-01-31","2004Jan","591001.00"
"2004-02-29","2004Feb","595089.00"
"2004-03-31","2004Mar","606158.00"
"2004-04-30","2004Apr","607849.00"
"2004-05-31","2004May","612374.00"
"2004-06-30","2004Jun","616898.00"
"2004-07-31","2004Jul","619435.00"
"2004-08-31","2004Aug","620453.00"
"2004-09-30","2004Sep","629365.00"
"2004-10-31","2004Oct","627488.00"
"2004-11-30","2004Nov","633029.00"
"2004-12-31","2004Dec","635348.00"
"2005-01-31","2005Jan","640457.00"
"2005-02-28","2005Feb","647113.00"
"2005-03-31","2005Mar","657597.00"
"2005-04-30","2005Apr","660333.00"
"2005-05-31","2005May","666311.00"
"2005-06-30","2005Jun","688825.00"
"2005-07-31","2005Jul","691977.00"
"2005-08-31","2005Aug","692107.00"
"2005-09-30","2005Sep","706597.00"
"2005-10-31","2005Oct","700932.00"
"2005-11-30","2005Nov","709009.00"
"2005-12-31","2005Dec","719263.00"
"2006-01-31","2006Jan","730508.00"
"2006-02-28","2006Feb","736664.00"
"2006-03-31","2006Mar","749298.00"
"2006-04-30","2006Apr","752215.00"
"2006-05-31","2006May","755170.00"
"2006-06-30","2006Jun","756468.00"
"2006-07-31","2006Jul","754616.00"
"2006-08-31","2006Aug","753442.00"
"2006-09-30","2006Sep","770591.00"
"2006-10-31","2006Oct","780880.00"
