"DATE","TIME PERIOD","Holdings of Debt securities issued by domestic General Government reported by MFIs excluding NCB, Stocks (BSI.M.BE.N.A.A30.A.1.U6.2100.Z01.E)"
"1997-09-30","1997Sep","128103.00"
"1997-10-31","1997Oct","126695.00"
"1997-11-30","1997Nov","124383.00"
"1997-12-31","1997Dec","121858.00"
"1998-01-31","1998Jan","125172.00"
"1998-02-28","1998Feb","126805.00"
"1998-03-31","1998Mar","125271.00"
"1998-04-30","1998Apr","127022.00"
"1998-05-31","1998May","123983.00"
"1998-06-30","1998Jun","123991.00"
"1998-07-31","1998Jul","124694.00"
"1998-08-31","1998Aug","126256.00"
"1998-09-30","1998Sep","125820.00"
"1998-10-31","1998Oct","126748.00"
"1998-11-30","1998Nov","123866.00"
"1998-12-31","1998Dec","124299.00"
"1999-01-31","1999Jan","124871.00"
"1999-02-28","1999Feb","123778.00"
"1999-03-31","1999Mar","123425.00"
"1999-04-30","1999Apr","119232.00"
"1999-05-31","1999May","119076.00"
"1999-06-30","1999Jun","115372.00"
"1999-07-31","1999Jul","114742.00"
"1999-08-31","1999Aug","113808.00"
"1999-09-30","1999Sep","114720.00"
"1999-10-31","1999Oct","115416.00"
"1999-11-30","1999Nov","112753.00"
"1999-12-31","1999Dec","111234.00"
"2000-01-31","2000Jan","111558.00"
"2000-02-29","2000Feb","109731.00"
"2000-03-31","2000Mar","107358.00"
"2000-04-30","2000Apr","106042.00"
"2000-05-31","2000May","103539.00"
"2000-06-30","2000Jun","100818.00"
"2000-07-31","2000Jul","100150.00"
"2000-08-31","2000Aug","98736.00"
"2000-09-30","2000Sep","101658.00"
"2000-10-31","2000Oct","101252.00"
"2000-11-30","2000Nov","101458.00"
"2000-12-31","2000Dec","95268.00"
"2001-01-31","2001Jan","94429.00"
"2001-02-28","2001Feb","95691.00"
"2001-03-31","2001Mar","92916.00"
"2001-04-30","2001Apr","92572.00"
"2001-05-31","2001May","92340.00"
"2001-06-30","2001Jun","89900.00"
"2001-07-31","2001Jul","89507.00"
"2001-08-31","2001Aug","88710.00"
"2001-09-30","2001Sep","88844.00"
"2001-10-31","2001Oct","86984.00"
"2001-11-30","2001Nov","87818.00"
"2001-12-31","2001Dec","86803.00"
"2002-01-31","2002Jan","85299.00"
"2002-02-28","2002Feb","84533.00"
"2002-03-31","2002Mar","85112.00"
"2002-04-30","2002Apr","82715.00"
"2002-05-31","2002May","82477.00"
"2002-06-30","2002Jun","77673.00"
"2002-07-31","2002Jul","76676.00"
"2002-08-31","2002Aug","76650.00"
"2002-09-30","2002Sep","76527.00"
"2002-10-31","2002Oct","78627.00"
"2002-11-30","2002Nov","80953.00"
"2002-12-31","2002Dec","79663.00"
"2003-01-31","2003Jan","75141.00"
"2003-02-28","2003Feb","76418.00"
"2003-03-31","2003Mar","71107.00"
"2003-04-30","2003Apr","72239.00"
"2003-05-31","2003May","73184.00"
"2003-06-30","2003Jun","70840.00"
"2003-07-31","2003Jul","72113.00"
"2003-08-31","2003Aug","75476.00"
"2003-09-30","2003Sep","74364.00"
"2003-10-31","2003Oct","75050.00"
"2003-11-30","2003Nov","79165.00"
"2003-12-31","2003Dec","74159.00"
"2004-01-31","2004Jan","74913.00"
"2004-02-29","2004Feb","74341.00"
"2004-03-31","2004Mar","73755.00"
"2004-04-30","2004Apr","72568.00"
"2004-05-31","2004May","72254.00"
"2004-06-30","2004Jun","72484.00"
"2004-07-31","2004Jul","71189.00"
"2004-08-31","2004Aug","69807.00"
"2004-09-30","2004Sep","70043.00"
"2004-10-31","2004Oct","67647.00"
"2004-11-30","2004Nov","66625.00"
"2004-12-31","2004Dec","66294.00"
"2005-01-31","2005Jan","65967.00"
"2005-02-28","2005Feb","68180.00"
"2005-03-31","2005Mar","66552.00"
"2005-04-30","2005Apr","64058.00"
"2005-05-31","2005May","62095.00"
"2005-06-30","2005Jun","62039.00"
"2005-07-31","2005Jul","62876.00"
"2005-08-31","2005Aug","62817.00"
"2005-09-30","2005Sep","62152.00"
"2005-10-31","2005Oct","64809.00"
"2005-11-30","2005Nov","64832.00"
"2005-12-31","2005Dec","64900.00"
"2006-01-31","2006Jan","64501.00"
"2006-02-28","2006Feb","65900.00"
"2006-03-31","2006Mar","67381.00"
"2006-04-30","2006Apr","69042.00"
"2006-05-31","2006May","65011.00"
"2006-06-30","2006Jun","66904.00"
"2006-07-31","2006Jul","66421.00"
"2006-08-31","2006Aug","65248.00"
"2006-09-30","2006Sep","63390.00"
"2006-10-31","2006Oct","63747.00"
"2006-11-30","2006Nov","61707.00"
"2006-12-31","2006Dec","60330.00"
"2007-01-31","2007Jan","58999.00"
"2007-02-28","2007Feb","59231.00"
"2007-03-31","2007Mar","55438.00"
"2007-04-30","2007Apr","54570.00"
"2007-05-31","2007May","55554.00"
"2007-06-30","2007Jun","54422.00"
"2007-07-31","2007Jul","52538.00"
"2007-08-31","2007Aug","50545.00"
"2007-09-30","2007Sep","50933.00"
"2007-10-31","2007Oct","48727.00"
"2007-11-30","2007Nov","49361.00"
"2007-12-31","2007Dec","45168.00"
"2008-01-31","2008Jan","48347.00"
"2008-02-29","2008Feb","49654.00"
"2008-03-31","2008Mar","47254.00"
"2008-04-30","2008Apr","48994.00"
"2008-05-31","2008May","51017.00"
"2008-06-30","2008Jun","53251.00"
"2008-07-31","2008Jul","51590.00"
"2008-08-31","2008Aug","51331.00"
"2008-09-30","2008Sep","46588.00"
"2008-10-31","2008Oct","46367.00"
"2008-11-30","2008Nov","46635.00"
"2008-12-31","2008Dec","46084.00"
"2009-01-31","2009Jan","50800.00"
"2009-02-28","2009Feb","52421.00"
"2009-03-31","2009Mar","50626.00"
"2009-04-30","2009Apr","50258.00"
"2009-05-31","2009May","50411.00"
"2009-06-30","2009Jun","52009.00"
"2009-07-31","2009Jul","51990.00"
"2009-08-31","2009Aug","51112.00"
"2009-09-30","2009Sep","50772.00"
"2009-10-31","2009Oct","50599.00"
"2009-11-30","2009Nov","51970.00"
"2009-12-31","2009Dec","52420.00"
"2010-01-31","2010Jan","50870.00"
"2010-02-28","2010Feb","52021.00"
"2010-03-31","2010Mar","52203.00"
"2010-04-30","2010Apr","53242.00"
"2010-05-31","2010May","53082.00"
"2010-06-30","2010Jun","54080.00"
"2010-07-31","2010Jul","56915.00"
"2010-08-31","2010Aug","59684.00"
"2010-09-30","2010Sep","57887.00"
"2010-10-31","2010Oct","57062.00"
"2010-11-30","2010Nov","58597.00"
"2010-12-31","2010Dec","57279.00"
"2011-01-31","2011Jan","61710.00"
"2011-02-28","2011Feb","62309.00"
"2011-03-31","2011Mar","61813.00"
"2011-04-30","2011Apr","62127.00"
"2011-05-31","2011May","63329.00"
"2011-06-30","2011Jun","63391.00"
"2011-07-31","2011Jul","63694.00"
"2011-08-31","2011Aug","62591.00"
"2011-09-30","2011Sep","64331.00"
"2011-10-31","2011Oct","64873.00"
"2011-11-30","2011Nov","65877.00"
"2011-12-31","2011Dec","61582.00"
"2012-01-31","2012Jan","61029.00"
"2012-02-29","2012Feb","61603.00"
"2012-03-31","2012Mar","62503.00"
"2012-04-30","2012Apr","63262.00"
"2012-05-31","2012May","63885.00"
"2012-06-30","2012Jun","64880.00"
"2012-07-31","2012Jul","65723.00"
"2012-08-31","2012Aug","64977.00"
"2012-09-30","2012Sep","65583.00"
"2012-10-31","2012Oct","65670.00"
"2012-11-30","2012Nov","66667.00"
"2012-12-31","2012Dec","65199.00"
"2013-01-31","2013Jan","65276.00"
"2013-02-28","2013Feb","65275.00"
"2013-03-31","2013Mar","63208.00"
"2013-04-30","2013Apr","61487.00"
"2013-05-31","2013May","62661.00"
"2013-06-30","2013Jun","62232.00"
"2013-07-31","2013Jul","61171.00"
"2013-08-31","2013Aug","61814.00"
"2013-09-30","2013Sep","59227.00"
"2013-10-31","2013Oct","59472.00"
"2013-11-30","2013Nov","59031.00"
"2013-12-31","2013Dec","58824.00"
"2014-01-31","2014Jan","60315.00"
"2014-02-28","2014Feb","59502.00"
"2014-03-31","2014Mar","56418.00"
"2014-04-30","2014Apr","55765.00"
"2014-05-31","2014May","54975.00"
"2014-06-30","2014Jun","55551.00"
"2014-07-31","2014Jul","56053.00"
"2014-08-31","2014Aug","56501.00"
"2014-09-30","2014Sep","55648.00"
"2014-10-31","2014Oct","55753.00"
"2014-11-30","2014Nov","55719.00"
"2014-12-31","2014Dec","55500.00"
"2015-01-31","2015Jan","55121.00"
"2015-02-28","2015Feb","55350.00"
"2015-03-31","2015Mar","52840.00"
"2015-04-30","2015Apr","52892.00"
"2015-05-31","2015May","53918.00"
"2015-06-30","2015Jun","55863.00"
"2015-07-31","2015Jul","55565.00"
"2015-08-31","2015Aug","56643.00"
"2015-09-30","2015Sep","55001.00"
"2015-10-31","2015Oct","54847.00"
"2015-11-30","2015Nov","53509.00"
"2015-12-31","2015Dec","53245.00"
"2016-01-31","2016Jan","53257.00"
"2016-02-29","2016Feb","52832.00"
"2016-03-31","2016Mar","51054.00"
"2016-04-30","2016Apr","50416.00"
"2016-05-31","2016May","50372.00"
"2016-06-30","2016Jun","50561.00"
"2016-07-31","2016Jul","49918.00"
"2016-08-31","2016Aug","49449.00"
"2016-09-30","2016Sep","46196.00"
"2016-10-31","2016Oct","45894.00"
"2016-11-30","2016Nov","45753.00"
"2016-12-31","2016Dec","44630.00"
"2017-01-31","2017Jan","45283.00"
"2017-02-28","2017Feb","45583.00"
"2017-03-31","2017Mar","43082.00"
"2017-04-30","2017Apr","43311.00"
"2017-05-31","2017May","43388.00"
"2017-06-30","2017Jun","41045.00"
"2017-07-31","2017Jul","41380.00"
"2017-08-31","2017Aug","41099.00"
"2017-09-30","2017Sep","38853.00"
"2017-10-31","2017Oct","38710.00"
"2017-11-30","2017Nov","38300.00"
"2017-12-31","2017Dec","38098.00"
"2018-01-31","2018Jan","38370.00"
"2018-02-28","2018Feb","39435.00"
"2018-03-31","2018Mar","36513.00"
"2018-04-30","2018Apr","36146.00"
"2018-05-31","2018May","35557.00"
"2018-06-30","2018Jun","33604.00"
"2018-07-31","2018Jul","33863.00"
"2018-08-31","2018Aug","33620.00"
"2018-09-30","2018Sep","32692.00"
"2018-10-31","2018Oct","33788.00"
"2018-11-30","2018Nov","33808.00"
"2018-12-31","2018Dec","34551.00"
"2019-01-31","2019Jan","33933.00"
"2019-02-28","2019Feb","33618.00"
"2019-03-31","2019Mar","30841.00"
"2019-04-30","2019Apr","29792.00"
"2019-05-31","2019May","30858.00"
"2019-06-30","2019Jun","29538.00"
"2019-07-31","2019Jul","29228.00"
"2019-08-31","2019Aug","30218.00"
"2019-09-30","2019Sep","28920.00"
"2019-10-31","2019Oct","28504.00"
"2019-11-30","2019Nov","29037.00"
"2019-12-31","2019Dec","29513.00"
"2020-01-31","2020Jan","29639.00"
"2020-02-29","2020Feb","30789.00"
"2020-03-31","2020Mar","33649.00"
"2020-04-30","2020Apr","34575.00"
"2020-05-31","2020May","34148.00"
"2020-06-30","2020Jun","34157.00"
"2020-07-31","2020Jul","34178.00"
"2020-08-31","2020Aug","33694.00"
"2020-09-30","2020Sep","32596.00"
"2020-10-31","2020Oct","32420.00"
"2020-11-30","2020Nov","32008.00"
"2020-12-31","2020Dec","31547.00"
"2021-01-31","2021Jan","30838.00"
"2021-02-28","2021Feb","30798.00"
"2021-03-31","2021Mar","30550.00"
"2021-04-30","2021Apr","30324.00"
"2021-05-31","2021May","30794.00"
"2021-06-30","2021Jun","30789.00"
"2021-07-31","2021Jul","30187.00"
"2021-08-31","2021Aug","29469.00"
"2021-09-30","2021Sep","26920.00"
"2021-10-31","2021Oct","27066.00"
"2021-11-30","2021Nov","26885.00"
"2021-12-31","2021Dec","27533.00"
"2022-01-31","2022Jan","26779.00"
"2022-02-28","2022Feb","27624.00"
"2022-03-31","2022Mar","27283.00"
"2022-04-30","2022Apr","26983.00"
"2022-05-31","2022May","26809.00"
"2022-06-30","2022Jun","27320.00"
"2022-07-31","2022Jul","28526.00"
"2022-08-31","2022Aug","28638.00"
"2022-09-30","2022Sep","25209.00"
"2022-10-31","2022Oct","26335.00"
"2022-11-30","2022Nov","26217.00"
"2022-12-31","2022Dec","26489.00"
"2023-01-31","2023Jan","24198.00"
"2023-02-28","2023Feb","25097.00"
"2023-03-31","2023Mar","25178.00"
