"DATE","TIME PERIOD","Holdings of Debt securities issued by domestic General Government reported by MFIs excluding NCB, Stocks (BSI.M.FI.N.A.A30.A.1.U6.2100.Z01.E)"
"1997-09-30","1997Sep","8995.00"
"1997-10-31","1997Oct","9018.00"
"1997-11-30","1997Nov","8778.00"
"1997-12-31","1997Dec","9550.00"
"1998-01-31","1998Jan","9877.15"
"1998-02-28","1998Feb","9129.52"
"1998-03-31","1998Mar","9170.36"
"1998-04-30","1998Apr","8795.00"
"1998-05-31","1998May","7802.00"
"1998-06-30","1998Jun","8159.60"
"1998-07-31","1998Jul","8179.54"
"1998-08-31","1998Aug","8863.33"
"1998-09-30","1998Sep","9104.20"
"1998-10-31","1998Oct","9769.00"
"1998-11-30","1998Nov","9051.81"
"1998-12-31","1998Dec","8627.23"
"1999-01-31","1999Jan","8809.00"
"1999-02-28","1999Feb","9070.00"
"1999-03-31","1999Mar","8955.00"
"1999-04-30","1999Apr","9104.00"
"1999-05-31","1999May","9256.00"
"1999-06-30","1999Jun","8554.00"
"1999-07-31","1999Jul","8561.00"
"1999-08-31","1999Aug","7932.00"
"1999-09-30","1999Sep","7146.00"
"1999-10-31","1999Oct","6891.00"
"1999-11-30","1999Nov","6876.00"
"1999-12-31","1999Dec","7069.00"
"2000-01-31","2000Jan","7662.00"
"2000-02-29","2000Feb","7906.00"
"2000-03-31","2000Mar","7985.00"
"2000-04-30","2000Apr","7987.00"
"2000-05-31","2000May","7861.00"
"2000-06-30","2000Jun","7185.00"
"2000-07-31","2000Jul","7300.00"
"2000-08-31","2000Aug","7291.00"
"2000-09-30","2000Sep","7208.00"
"2000-10-31","2000Oct","7293.00"
"2000-11-30","2000Nov","7060.00"
"2000-12-31","2000Dec","6684.00"
"2001-01-31","2001Jan","7220.00"
"2001-02-28","2001Feb","7483.00"
"2001-03-31","2001Mar","7675.00"
"2001-04-30","2001Apr","7946.00"
"2001-05-31","2001May","7929.00"
"2001-06-30","2001Jun","8037.00"
"2001-07-31","2001Jul","7926.00"
"2001-08-31","2001Aug","8212.00"
"2001-09-30","2001Sep","7533.00"
"2001-10-31","2001Oct","7997.00"
"2001-11-30","2001Nov","8028.00"
"2001-12-31","2001Dec","7133.00"
"2002-01-31","2002Jan","7479.00"
"2002-02-28","2002Feb","6373.00"
"2002-03-31","2002Mar","5227.00"
"2002-04-30","2002Apr","5147.00"
"2002-05-31","2002May","5283.00"
"2002-06-30","2002Jun","5485.00"
"2002-07-31","2002Jul","5886.00"
"2002-08-31","2002Aug","5938.00"
"2002-09-30","2002Sep","5885.00"
"2002-10-31","2002Oct","5152.00"
"2002-11-30","2002Nov","5114.00"
"2002-12-31","2002Dec","5100.00"
"2003-01-31","2003Jan","2774.00"
"2003-02-28","2003Feb","2352.00"
"2003-03-31","2003Mar","2398.00"
"2003-04-30","2003Apr","2389.00"
"2003-05-31","2003May","2500.00"
"2003-06-30","2003Jun","2374.00"
"2003-07-31","2003Jul","2410.00"
"2003-08-31","2003Aug","2493.00"
"2003-09-30","2003Sep","2547.00"
"2003-10-31","2003Oct","2622.00"
"2003-11-30","2003Nov","2488.00"
"2003-12-31","2003Dec","2424.00"
"2004-01-31","2004Jan","2433.00"
"2004-02-29","2004Feb","2452.00"
"2004-03-31","2004Mar","1879.00"
"2004-04-30","2004Apr","1891.00"
"2004-05-31","2004May","1894.00"
"2004-06-30","2004Jun","1886.00"
"2004-07-31","2004Jul","1772.00"
"2004-08-31","2004Aug","1804.00"
"2004-09-30","2004Sep","1831.00"
"2004-10-31","2004Oct","1910.00"
"2004-11-30","2004Nov","1981.00"
"2004-12-31","2004Dec","1934.00"
"2005-01-31","2005Jan","1718.00"
"2005-02-28","2005Feb","1899.00"
"2005-03-31","2005Mar","1821.00"
"2005-04-30","2005Apr","1713.00"
"2005-05-31","2005May","1723.00"
"2005-06-30","2005Jun","1669.00"
"2005-07-31","2005Jul","1836.00"
"2005-08-31","2005Aug","1892.00"
"2005-09-30","2005Sep","2017.00"
"2005-10-31","2005Oct","1967.00"
"2005-11-30","2005Nov","2114.00"
"2005-12-31","2005Dec","2047.00"
"2006-01-31","2006Jan","2195.00"
"2006-02-28","2006Feb","2103.00"
"2006-03-31","2006Mar","1811.00"
"2006-04-30","2006Apr","1916.00"
"2006-05-31","2006May","1681.00"
"2006-06-30","2006Jun","1745.00"
"2006-07-31","2006Jul","1815.00"
"2006-08-31","2006Aug","1816.00"
"2006-09-30","2006Sep","1891.00"
"2006-10-31","2006Oct","1762.00"
"2006-11-30","2006Nov","1813.00"
"2006-12-31","2006Dec","1654.00"
"2007-01-31","2007Jan","1556.00"
"2007-02-28","2007Feb","1555.00"
"2007-03-31","2007Mar","1740.00"
"2007-04-30","2007Apr","1582.00"
"2007-05-31","2007May","1655.00"
"2007-06-30","2007Jun","1695.00"
"2007-07-31","2007Jul","1440.00"
"2007-08-31","2007Aug","1445.00"
"2007-09-30","2007Sep","1449.00"
"2007-10-31","2007Oct","1407.00"
"2007-11-30","2007Nov","1484.00"
"2007-12-31","2007Dec","1568.00"
"2008-01-31","2008Jan","1603.00"
"2008-02-29","2008Feb","1732.00"
"2008-03-31","2008Mar","2013.00"
"2008-04-30","2008Apr","1720.00"
"2008-05-31","2008May","1491.00"
"2008-06-30","2008Jun","1579.00"
"2008-07-31","2008Jul","1517.00"
"2008-08-31","2008Aug","1565.00"
"2008-09-30","2008Sep","1589.00"
"2008-10-31","2008Oct","1496.00"
"2008-11-30","2008Nov","1685.00"
"2008-12-31","2008Dec","1503.00"
"2009-01-31","2009Jan","1413.00"
"2009-02-28","2009Feb","1448.00"
"2009-03-31","2009Mar","1698.00"
"2009-04-30","2009Apr","1631.00"
"2009-05-31","2009May","1803.00"
"2009-06-30","2009Jun","1641.00"
"2009-07-31","2009Jul","1591.00"
"2009-08-31","2009Aug","1528.00"
"2009-09-30","2009Sep","1588.00"
"2009-10-31","2009Oct","1546.00"
"2009-11-30","2009Nov","1767.00"
"2009-12-31","2009Dec","1682.00"
"2010-01-31","2010Jan","1966.00"
"2010-02-28","2010Feb","2009.00"
"2010-03-31","2010Mar","2086.00"
"2010-04-30","2010Apr","2265.00"
"2010-05-31","2010May","2463.00"
"2010-06-30","2010Jun","2367.00"
"2010-07-31","2010Jul","2338.00"
"2010-08-31","2010Aug","2359.00"
"2010-09-30","2010Sep","2746.00"
"2010-10-31","2010Oct","2383.00"
"2010-11-30","2010Nov","2781.00"
"2010-12-31","2010Dec","3219.00"
"2011-01-31","2011Jan","3300.00"
"2011-02-28","2011Feb","2697.00"
"2011-03-31","2011Mar","2751.00"
"2011-04-30","2011Apr","2978.00"
"2011-05-31","2011May","3259.00"
"2011-06-30","2011Jun","3627.00"
"2011-07-31","2011Jul","3961.00"
"2011-08-31","2011Aug","3524.00"
"2011-09-30","2011Sep","4134.00"
"2011-10-31","2011Oct","4236.00"
"2011-11-30","2011Nov","3751.00"
"2011-12-31","2011Dec","3788.00"
"2012-01-31","2012Jan","3936.00"
"2012-02-29","2012Feb","3951.00"
"2012-03-31","2012Mar","3605.00"
"2012-04-30","2012Apr","3577.00"
"2012-05-31","2012May","3784.00"
"2012-06-30","2012Jun","3532.00"
"2012-07-31","2012Jul","3587.00"
"2012-08-31","2012Aug","3679.00"
"2012-09-30","2012Sep","3631.00"
"2012-10-31","2012Oct","3556.00"
"2012-11-30","2012Nov","3402.00"
"2012-12-31","2012Dec","3433.00"
"2013-01-31","2013Jan","3892.00"
"2013-02-28","2013Feb","3698.00"
"2013-03-31","2013Mar","3451.00"
"2013-04-30","2013Apr","4624.00"
"2013-05-31","2013May","4574.00"
