"DATE","TIME PERIOD","Total assets of MFIs excluding NCB, Stocks (BSI.M.FI.N.A.T00.A.1.Z5.0000.Z01.E)"
"1997-09-30","1997Sep","106650.20"
"1997-10-31","1997Oct","109160.30"
"1997-11-30","1997Nov","107316.52"
"1997-12-31","1997Dec","105236.66"
"1998-01-31","1998Jan","105287.73"
"1998-02-28","1998Feb","105818.92"
"1998-03-31","1998Mar","103533.58"
"1998-04-30","1998Apr","103867.89"
"1998-05-31","1998May","105442.05"
"1998-06-30","1998Jun","104607.71"
"1998-07-31","1998Jul","106413.69"
"1998-08-31","1998Aug","107905.93"
"1998-09-30","1998Sep","105794.56"
"1998-10-31","1998Oct","107776.00"
"1998-11-30","1998Nov","110054.32"
"1998-12-31","1998Dec","108087.77"
"1999-01-31","1999Jan","110299.00"
"1999-02-28","1999Feb","110292.00"
"1999-03-31","1999Mar","108623.00"
"1999-04-30","1999Apr","110055.00"
"1999-05-31","1999May","110742.00"
"1999-06-30","1999Jun","109113.00"
"1999-07-31","1999Jul","112129.00"
"1999-08-31","1999Aug","112961.00"
"1999-09-30","1999Sep","110286.00"
"1999-10-31","1999Oct","115155.00"
"1999-11-30","1999Nov","119371.00"
"1999-12-31","1999Dec","119706.00"
"2000-01-31","2000Jan","119192.00"
"2000-02-29","2000Feb","122140.00"
"2000-03-31","2000Mar","124291.00"
"2000-04-30","2000Apr","125146.00"
"2000-05-31","2000May","122797.00"
"2000-06-30","2000Jun","122321.00"
"2000-07-31","2000Jul","123471.00"
"2000-08-31","2000Aug","124340.00"
"2000-09-30","2000Sep","119555.00"
"2000-10-31","2000Oct","123364.00"
"2000-11-30","2000Nov","127469.00"
"2000-12-31","2000Dec","129678.00"
"2001-01-31","2001Jan","140481.00"
"2001-02-28","2001Feb","142011.00"
"2001-03-31","2001Mar","147181.00"
"2001-04-30","2001Apr","148974.00"
"2001-05-31","2001May","151207.00"
"2001-06-30","2001Jun","149450.00"
"2001-07-31","2001Jul","146163.00"
"2001-08-31","2001Aug","146438.00"
"2001-09-30","2001Sep","154438.00"
"2001-10-31","2001Oct","160946.00"
"2001-11-30","2001Nov","162783.00"
"2001-12-31","2001Dec","166624.00"
"2002-01-31","2002Jan","171639.00"
"2002-02-28","2002Feb","171789.00"
"2002-03-31","2002Mar","172362.00"
"2002-04-30","2002Apr","173435.00"
"2002-05-31","2002May","172996.00"
"2002-06-30","2002Jun","170735.00"
"2002-07-31","2002Jul","170229.00"
"2002-08-31","2002Aug","175974.00"
"2002-09-30","2002Sep","177273.00"
"2002-10-31","2002Oct","176804.00"
"2002-11-30","2002Nov","174632.00"
"2002-12-31","2002Dec","170780.00"
"2003-01-31","2003Jan","173094.00"
"2003-02-28","2003Feb","172470.00"
"2003-03-31","2003Mar","172163.00"
"2003-04-30","2003Apr","170964.00"
"2003-05-31","2003May","176078.00"
"2003-06-30","2003Jun","189737.00"
"2003-07-31","2003Jul","177316.00"
"2003-08-31","2003Aug","177622.00"
"2003-09-30","2003Sep","179881.00"
"2003-10-31","2003Oct","179527.00"
"2003-11-30","2003Nov","198165.00"
"2003-12-31","2003Dec","193886.00"
"2004-01-31","2004Jan","194296.00"
"2004-02-29","2004Feb","194937.00"
"2004-03-31","2004Mar","200996.00"
"2004-04-30","2004Apr","204637.00"
"2004-05-31","2004May","204348.00"
"2004-06-30","2004Jun","210371.00"
"2004-07-31","2004Jul","208770.00"
"2004-08-31","2004Aug","215826.00"
"2004-09-30","2004Sep","217439.00"
"2004-10-31","2004Oct","216321.00"
"2004-11-30","2004Nov","220839.00"
"2004-12-31","2004Dec","222747.00"
"2005-01-31","2005Jan","225692.00"
"2005-02-28","2005Feb","226198.00"
"2005-03-31","2005Mar","229328.00"
"2005-04-30","2005Apr","234941.00"
"2005-05-31","2005May","237492.00"
"2005-06-30","2005Jun","243793.00"
"2005-07-31","2005Jul","235351.00"
"2005-08-31","2005Aug","242893.00"
"2005-09-30","2005Sep","242787.00"
"2005-10-31","2005Oct","244317.00"
"2005-11-30","2005Nov","252492.00"
"2005-12-31","2005Dec","246884.00"
"2006-01-31","2006Jan","245121.00"
"2006-02-28","2006Feb","246062.00"
"2006-03-31","2006Mar","255127.00"
"2006-04-30","2006Apr","258135.00"
"2006-05-31","2006May","256590.00"
"2006-06-30","2006Jun","261215.00"
"2006-07-31","2006Jul","256405.00"
"2006-08-31","2006Aug","255866.00"
"2006-09-30","2006Sep","261974.00"
"2006-10-31","2006Oct","267091.00"
"2006-11-30","2006Nov","268339.00"
"2006-12-31","2006Dec","271441.00"
"2007-01-31","2007Jan","273141.00"
"2007-02-28","2007Feb","277148.00"
"2007-03-31","2007Mar","284781.00"
"2007-04-30","2007Apr","287300.00"
"2007-05-31","2007May","289802.00"
"2007-06-30","2007Jun","285307.00"
"2007-07-31","2007Jul","283527.00"
"2007-08-31","2007Aug","294476.00"
"2007-09-30","2007Sep","295355.00"
"2007-10-31","2007Oct","303327.00"
"2007-11-30","2007Nov","306380.00"
"2007-12-31","2007Dec","306525.00"
"2008-01-31","2008Jan","308715.00"
"2008-02-29","2008Feb","319053.00"
"2008-03-31","2008Mar","327659.00"
"2008-04-30","2008Apr","336592.00"
"2008-05-31","2008May","336360.00"
"2008-06-30","2008Jun","345401.00"
"2008-07-31","2008Jul","336276.00"
"2008-08-31","2008Aug","342537.00"
"2008-09-30","2008Sep","356270.00"
"2008-10-31","2008Oct","387137.00"
"2008-11-30","2008Nov","393102.00"
"2008-12-31","2008Dec","396238.00"
"2009-01-31","2009Jan","401038.00"
"2009-02-28","2009Feb","408180.00"
"2009-03-31","2009Mar","396769.00"
"2009-04-30","2009Apr","388775.00"
"2009-05-31","2009May","393574.00"
"2009-06-30","2009Jun","386657.00"
"2009-07-31","2009Jul","380112.00"
"2009-08-31","2009Aug","384671.00"
"2009-09-30","2009Sep","384712.00"
"2009-10-31","2009Oct","381105.00"
"2009-11-30","2009Nov","392611.00"
"2009-12-31","2009Dec","399397.00"
"2010-01-31","2010Jan","399623.00"
"2010-02-28","2010Feb","415122.00"
"2010-03-31","2010Mar","410821.00"
"2010-04-30","2010Apr","418214.00"
"2010-05-31","2010May","459510.00"
"2010-06-30","2010Jun","479444.00"
"2010-07-31","2010Jul","459619.00"
"2010-08-31","2010Aug","500567.00"
"2010-09-30","2010Sep","468560.00"
"2010-10-31","2010Oct","449737.00"
"2010-11-30","2010Nov","478228.00"
"2010-12-31","2010Dec","480423.00"
"2011-01-31","2011Jan","478919.00"
"2011-02-28","2011Feb","482809.00"
"2011-03-31","2011Mar","495024.00"
"2011-04-30","2011Apr","502565.00"
"2011-05-31","2011May","515044.00"
"2011-06-30","2011Jun","500487.00"
"2011-07-31","2011Jul","508561.00"
"2011-08-31","2011Aug","565535.00"
"2011-09-30","2011Sep","610241.00"
"2011-10-31","2011Oct","584640.00"
"2011-11-30","2011Nov","600629.00"
"2011-12-31","2011Dec","644358.00"
"2012-01-31","2012Jan","626576.00"
"2012-02-29","2012Feb","615651.00"
"2012-03-31","2012Mar","641579.00"
"2012-04-30","2012Apr","639709.00"
"2012-05-31","2012May","707939.00"
"2012-06-30","2012Jun","656189.00"
"2012-07-31","2012Jul","655305.00"
"2012-08-31","2012Aug","650204.00"
"2012-09-30","2012Sep","657077.00"
"2012-10-31","2012Oct","639858.00"
"2012-11-30","2012Nov","590564.00"
"2012-12-31","2012Dec","600304.00"
"2013-01-31","2013Jan","575730.00"
"2013-02-28","2013Feb","570860.00"
"2013-03-31","2013Mar","560078.00"
"2013-04-30","2013Apr","559604.00"
"2013-05-31","2013May","540233.00"
"2013-06-30","2013Jun","528451.00"
"2013-07-31","2013Jul","526284.00"
"2013-08-31","2013Aug","528362.00"
"2013-09-30","2013Sep","522965.00"
"2013-10-31","2013Oct","528964.00"
"2013-11-30","2013Nov","539670.00"
"2013-12-31","2013Dec","525312.00"
"2014-01-31","2014Jan","543859.00"
"2014-02-28","2014Feb","528918.00"
"2014-03-31","2014Mar","539982.00"
"2014-04-30","2014Apr","541708.00"
"2014-05-31","2014May","551357.00"
"2014-06-30","2014Jun","551940.00"
"2014-07-31","2014Jul","550910.00"
"2014-08-31","2014Aug","562685.00"
"2014-09-30","2014Sep","574427.00"
"2014-10-31","2014Oct","570415.00"
"2014-11-30","2014Nov","576356.00"
"2014-12-31","2014Dec","579309.00"
"2015-01-31","2015Jan","622047.00"
"2015-02-28","2015Feb","607355.00"
"2015-03-31","2015Mar","638737.00"
"2015-04-30","2015Apr","612750.00"
"2015-05-31","2015May","600822.00"
"2015-06-30","2015Jun","603085.00"
"2015-07-31","2015Jul","596051.00"
"2015-08-31","2015Aug","613226.00"
"2015-09-30","2015Sep","600652.00"
"2015-10-31","2015Oct","591777.00"
"2015-11-30","2015Nov","611321.00"
"2015-12-31","2015Dec","556050.00"
"2016-01-31","2016Jan","599612.00"
"2016-02-29","2016Feb","630480.00"
"2016-03-31","2016Mar","603105.00"
"2016-04-30","2016Apr","613933.00"
"2016-05-31","2016May","622868.00"
"2016-06-30","2016Jun","600792.00"
"2016-07-31","2016Jul","615487.00"
"2016-08-31","2016Aug","607971.00"
"2016-09-30","2016Sep","594852.00"
"2016-10-31","2016Oct","594037.00"
"2016-11-30","2016Nov","591032.00"
"2016-12-31","2016Dec","547289.00"
"2017-01-31","2017Jan","435975.00"
"2017-02-28","2017Feb","445634.00"
"2017-03-31","2017Mar","468218.00"
"2017-04-30","2017Apr","465142.00"
"2017-05-31","2017May","462398.00"
"2017-06-30","2017Jun","455474.00"
"2017-07-31","2017Jul","454302.00"
"2017-08-31","2017Aug","457494.00"
"2017-09-30","2017Sep","464450.00"
"2017-10-31","2017Oct","467249.00"
"2017-11-30","2017Nov","475411.00"
"2017-12-31","2017Dec","451885.00"
"2018-01-31","2018Jan","473191.00"
"2018-02-28","2018Feb","474908.00"
"2018-03-31","2018Mar","461472.00"
"2018-04-30","2018Apr","470393.00"
"2018-05-31","2018May","478526.00"
"2018-06-30","2018Jun","468000.00"
"2018-07-31","2018Jul","474902.00"
"2018-08-31","2018Aug","466439.00"
"2018-09-30","2018Sep","484557.00"
"2018-10-31","2018Oct","624635.00"
"2018-11-30","2018Nov","647685.00"
"2018-12-31","2018Dec","628492.00"
"2019-01-31","2019Jan","668015.00"
"2019-02-28","2019Feb","681555.00"
"2019-03-31","2019Mar","686688.00"
"2019-04-30","2019Apr","668322.00"
"2019-05-31","2019May","674639.00"
"2019-06-30","2019Jun","683455.00"
"2019-07-31","2019Jul","680212.00"
"2019-08-31","2019Aug","708331.00"
"2019-09-30","2019Sep","706838.00"
"2019-10-31","2019Oct","692059.00"
"2019-11-30","2019Nov","680299.00"
"2019-12-31","2019Dec","652258.00"
"2020-01-31","2020Jan","683511.00"
"2020-02-29","2020Feb","698290.00"
"2020-03-31","2020Mar","717749.00"
"2020-04-30","2020Apr","728537.00"
"2020-05-31","2020May","720639.00"
"2020-06-30","2020Jun","722254.00"
"2020-07-31","2020Jul","729165.00"
"2020-08-31","2020Aug","735909.00"
"2020-09-30","2020Sep","723163.00"
"2020-10-31","2020Oct","719282.00"
"2020-11-30","2020Nov","722682.00"
"2020-12-31","2020Dec","698753.00"
"2021-01-31","2021Jan","745618.00"
"2021-02-28","2021Feb","738862.00"
