"DATE","TIME PERIOD","Holdings of Debt securities issued by domestic General Government reported by MFIs excluding NCB, Stocks (BSI.M.FR.N.A.A30.A.1.U6.2100.Z01.E)"
"1997-09-30","1997Sep","234748.00"
"1997-10-31","1997Oct","229548.00"
"1997-11-30","1997Nov","232052.00"
"1997-12-31","1997Dec","215630.00"
"1998-01-31","1998Jan","228210.00"
"1998-02-28","1998Feb","232842.00"
"1998-03-31","1998Mar","228699.00"
"1998-04-30","1998Apr","234115.00"
"1998-05-31","1998May","235640.00"
"1998-06-30","1998Jun","226808.00"
"1998-07-31","1998Jul","231524.00"
"1998-08-31","1998Aug","237056.00"
"1998-09-30","1998Sep","235055.00"
"1998-10-31","1998Oct","222855.00"
"1998-11-30","1998Nov","215587.00"
"1998-12-31","1998Dec","206901.00"
"1999-01-31","1999Jan","198303.00"
"1999-02-28","1999Feb","202971.00"
"1999-03-31","1999Mar","213694.00"
"1999-04-30","1999Apr","206702.00"
"1999-05-31","1999May","201850.00"
"1999-06-30","1999Jun","196380.00"
"1999-07-31","1999Jul","189215.00"
"1999-08-31","1999Aug","193966.00"
"1999-09-30","1999Sep","193924.00"
"1999-10-31","1999Oct","196595.00"
"1999-11-30","1999Nov","197141.00"
"1999-12-31","1999Dec","192511.00"
"2000-01-31","2000Jan","186510.00"
"2000-02-29","2000Feb","187141.00"
"2000-03-31","2000Mar","189026.00"
"2000-04-30","2000Apr","178497.00"
"2000-05-31","2000May","174052.00"
"2000-06-30","2000Jun","174669.00"
"2000-07-31","2000Jul","165131.00"
"2000-08-31","2000Aug","168129.00"
"2000-09-30","2000Sep","164646.00"
"2000-10-31","2000Oct","152573.00"
"2000-11-30","2000Nov","151062.00"
"2000-12-31","2000Dec","147213.00"
"2001-01-31","2001Jan","146338.00"
"2001-02-28","2001Feb","145082.00"
"2001-03-31","2001Mar","143744.00"
"2001-04-30","2001Apr","148045.00"
"2001-05-31","2001May","155367.00"
"2001-06-30","2001Jun","157713.00"
"2001-07-31","2001Jul","150513.00"
"2001-08-31","2001Aug","155025.00"
"2001-09-30","2001Sep","155341.00"
"2001-10-31","2001Oct","152217.00"
"2001-11-30","2001Nov","155778.00"
"2001-12-31","2001Dec","151271.00"
"2002-01-31","2002Jan","157159.00"
"2002-02-28","2002Feb","158179.00"
"2002-03-31","2002Mar","159237.00"
"2002-04-30","2002Apr","155053.00"
"2002-05-31","2002May","159276.00"
"2002-06-30","2002Jun","163491.00"
"2002-07-31","2002Jul","156550.00"
"2002-08-31","2002Aug","155264.00"
"2002-09-30","2002Sep","155829.00"
"2002-10-31","2002Oct","158219.00"
"2002-11-30","2002Nov","155085.00"
"2002-12-31","2002Dec","152351.00"
"2003-01-31","2003Jan","155640.00"
"2003-02-28","2003Feb","159879.00"
"2003-03-31","2003Mar","157845.00"
"2003-04-30","2003Apr","159196.00"
"2003-05-31","2003May","164996.00"
"2003-06-30","2003Jun","168386.00"
"2003-07-31","2003Jul","156177.00"
"2003-08-31","2003Aug","154532.00"
"2003-09-30","2003Sep","163028.00"
"2003-10-31","2003Oct","163297.00"
"2003-11-30","2003Nov","162635.00"
"2003-12-31","2003Dec","157467.00"
"2004-01-31","2004Jan","160655.00"
"2004-02-29","2004Feb","152573.00"
"2004-03-31","2004Mar","160782.00"
"2004-04-30","2004Apr","158153.00"
"2004-05-31","2004May","164164.00"
"2004-06-30","2004Jun","164397.00"
"2004-07-31","2004Jul","164851.00"
"2004-08-31","2004Aug","163856.00"
"2004-09-30","2004Sep","164784.00"
"2004-10-31","2004Oct","154144.00"
"2004-11-30","2004Nov","156263.00"
"2004-12-31","2004Dec","155767.00"
"2005-01-31","2005Jan","160920.00"
"2005-02-28","2005Feb","172469.00"
"2005-03-31","2005Mar","169172.00"
"2005-04-30","2005Apr","167537.00"
"2005-05-31","2005May","167789.00"
"2005-06-30","2005Jun","172601.00"
"2005-07-31","2005Jul","165492.00"
"2005-08-31","2005Aug","166248.00"
"2005-09-30","2005Sep","160332.00"
"2005-10-31","2005Oct","171751.00"
"2005-11-30","2005Nov","179259.00"
"2005-12-31","2005Dec","168638.00"
"2006-01-31","2006Jan","168615.00"
"2006-02-28","2006Feb","172812.00"
"2006-03-31","2006Mar","177419.00"
"2006-04-30","2006Apr","175905.00"
"2006-05-31","2006May","173021.00"
"2006-06-30","2006Jun","166525.00"
"2006-07-31","2006Jul","168390.00"
"2006-08-31","2006Aug","160065.00"
"2006-09-30","2006Sep","158453.00"
"2006-10-31","2006Oct","157513.00"
"2006-11-30","2006Nov","161775.00"
"2006-12-31","2006Dec","152667.00"
