"DATE","TIME PERIOD","Total assets of MFIs excluding NCB, Stocks (BSI.M.FR.N.A.T00.A.1.Z5.0000.Z01.E)"
"1997-09-30","1997Sep","3147124.00"
"1997-10-31","1997Oct","3169187.00"
"1997-11-30","1997Nov","3218788.00"
"1997-12-31","1997Dec","3189583.00"
"1998-01-31","1998Jan","3267523.00"
"1998-02-28","1998Feb","3278284.00"
"1998-03-31","1998Mar","3271074.00"
"1998-04-30","1998Apr","3304761.00"
"1998-05-31","1998May","3266559.00"
"1998-06-30","1998Jun","3286217.00"
"1998-07-31","1998Jul","3303354.00"
"1998-08-31","1998Aug","3280419.00"
"1998-09-30","1998Sep","3327345.00"
"1998-10-31","1998Oct","3359265.00"
"1998-11-30","1998Nov","3357388.00"
"1998-12-31","1998Dec","3265267.00"
"1999-01-31","1999Jan","3548806.00"
"1999-02-28","1999Feb","3527231.00"
"1999-03-31","1999Mar","3541186.00"
"1999-04-30","1999Apr","3537452.00"
"1999-05-31","1999May","3504986.00"
"1999-06-30","1999Jun","3552975.00"
"1999-07-31","1999Jul","3526510.00"
"1999-08-31","1999Aug","3500876.00"
"1999-09-30","1999Sep","3487501.00"
"1999-10-31","1999Oct","3536492.00"
"1999-11-30","1999Nov","3627941.00"
"1999-12-31","1999Dec","3627119.00"
"2000-01-31","2000Jan","3621261.00"
"2000-02-29","2000Feb","3676891.00"
"2000-03-31","2000Mar","3742037.00"
"2000-04-30","2000Apr","3758479.00"
"2000-05-31","2000May","3764598.00"
"2000-06-30","2000Jun","3712308.00"
"2000-07-31","2000Jul","3728643.00"
"2000-08-31","2000Aug","3791151.00"
"2000-09-30","2000Sep","3729169.00"
"2000-10-31","2000Oct","3751985.00"
"2000-11-30","2000Nov","3734649.00"
"2000-12-31","2000Dec","3736616.00"
"2001-01-31","2001Jan","3901019.00"
"2001-02-28","2001Feb","3894547.00"
"2001-03-31","2001Mar","3939837.00"
"2001-04-30","2001Apr","3960907.00"
"2001-05-31","2001May","3984472.00"
"2001-06-30","2001Jun","4008565.00"
"2001-07-31","2001Jul","3989226.00"
"2001-08-31","2001Aug","3992378.00"
"2001-09-30","2001Sep","3993551.00"
"2001-10-31","2001Oct","4051997.00"
"2001-11-30","2001Nov","4062761.00"
"2001-12-31","2001Dec","4050400.00"
"2002-01-31","2002Jan","4097693.00"
"2002-02-28","2002Feb","4076783.00"
"2002-03-31","2002Mar","4107533.00"
"2002-04-30","2002Apr","4136973.00"
"2002-05-31","2002May","4138632.00"
"2002-06-30","2002Jun","4131776.00"
"2002-07-31","2002Jul","4142900.00"
"2002-08-31","2002Aug","4101788.00"
"2002-09-30","2002Sep","4182039.00"
"2002-10-31","2002Oct","4199602.00"
"2002-11-30","2002Nov","4243773.00"
"2002-12-31","2002Dec","4161732.00"
"2003-01-31","2003Jan","4209240.00"
"2003-02-28","2003Feb","4251830.00"
"2003-03-31","2003Mar","4234627.00"
"2003-04-30","2003Apr","4307081.00"
"2003-05-31","2003May","4375837.00"
"2003-06-30","2003Jun","4320308.00"
"2003-07-31","2003Jul","4365866.00"
"2003-08-31","2003Aug","4374705.00"
"2003-09-30","2003Sep","4346917.00"
"2003-10-31","2003Oct","4354227.00"
"2003-11-30","2003Nov","4409164.00"
"2003-12-31","2003Dec","4351467.00"
"2004-01-31","2004Jan","4514892.00"
"2004-02-29","2004Feb","4570370.00"
"2004-03-31","2004Mar","4546464.00"
"2004-04-30","2004Apr","4709068.00"
"2004-05-31","2004May","4642713.00"
"2004-06-30","2004Jun","4653835.00"
"2004-07-31","2004Jul","4696840.00"
"2004-08-31","2004Aug","4711256.00"
"2004-09-30","2004Sep","4691465.00"
"2004-10-31","2004Oct","4759552.00"
"2004-11-30","2004Nov","4787094.00"
"2004-12-31","2004Dec","4783758.00"
"2005-01-31","2005Jan","4865910.00"
"2005-02-28","2005Feb","4925187.00"
"2005-03-31","2005Mar","4933341.00"
"2005-04-30","2005Apr","5066487.00"
"2005-05-31","2005May","5135603.00"
"2005-06-30","2005Jun","5125615.00"
"2005-07-31","2005Jul","5203374.00"
"2005-08-31","2005Aug","5185865.00"
"2005-09-30","2005Sep","5209131.00"
"2005-10-31","2005Oct","5324823.00"
"2005-11-30","2005Nov","5604864.00"
"2005-12-31","2005Dec","5471901.00"
"2006-01-31","2006Jan","5665346.00"
"2006-02-28","2006Feb","5735255.00"
"2006-03-31","2006Mar","5727657.00"
"2006-04-30","2006Apr","5859955.00"
"2006-05-31","2006May","5953718.00"
"2006-06-30","2006Jun","5795529.00"
"2006-07-31","2006Jul","5885952.00"
"2006-08-31","2006Aug","5911666.00"
"2006-09-30","2006Sep","6051968.00"
"2006-10-31","2006Oct","6099464.00"
"2006-11-30","2006Nov","6214536.00"
"2006-12-31","2006Dec","6172270.00"
"2007-01-31","2007Jan","6379889.00"
"2007-02-28","2007Feb","6449544.00"
"2007-03-31","2007Mar","6621646.00"
"2007-04-30","2007Apr","6727585.00"
