"DATE","TIME PERIOD","Holdings of Debt securities issued by domestic General Government reported by MFIs excluding NCB, Stocks (BSI.M.DE.N.A.A30.A.1.U6.2100.Z01.E)"
"1997-09-30","1997Sep","169129.22"
"1997-10-31","1997Oct","169576.60"
"1997-11-30","1997Nov","170551.63"
"1997-12-31","1997Dec","162166.45"
"1998-01-31","1998Jan","167723.68"
"1998-02-28","1998Feb","164371.14"
"1998-03-31","1998Mar","174131.19"
"1998-04-30","1998Apr","176801.16"
"1998-05-31","1998May","178267.54"
"1998-06-30","1998Jun","181736.66"
"1998-07-31","1998Jul","178539.04"
"1998-08-31","1998Aug","177513.39"
"1998-09-30","1998Sep","170751.04"
"1998-10-31","1998Oct","174731.45"
"1998-11-30","1998Nov","179664.39"
"1998-12-31","1998Dec","161473.14"
"1999-01-31","1999Jan","147244.00"
"1999-02-28","1999Feb","150279.00"
"1999-03-31","1999Mar","146980.00"
"1999-04-30","1999Apr","146072.00"
"1999-05-31","1999May","155581.00"
"1999-06-30","1999Jun","145067.00"
"1999-07-31","1999Jul","146176.00"
"1999-08-31","1999Aug","142641.00"
"1999-09-30","1999Sep","146267.00"
"1999-10-31","1999Oct","148510.00"
"1999-11-30","1999Nov","150318.00"
"1999-12-31","1999Dec","143670.00"
"2000-01-31","2000Jan","151491.00"
"2000-02-29","2000Feb","155154.00"
"2000-03-31","2000Mar","147190.00"
"2000-04-30","2000Apr","146003.00"
"2000-05-31","2000May","142907.00"
"2000-06-30","2000Jun","140383.00"
"2000-07-31","2000Jul","138799.00"
"2000-08-31","2000Aug","139890.00"
"2000-09-30","2000Sep","134606.00"
"2000-10-31","2000Oct","137378.00"
"2000-11-30","2000Nov","141017.00"
"2000-12-31","2000Dec","138413.00"
"2001-01-31","2001Jan","122570.00"
"2001-02-28","2001Feb","121722.00"
"2001-03-31","2001Mar","125238.00"
"2001-04-30","2001Apr","122548.00"
"2001-05-31","2001May","122479.00"
"2001-06-30","2001Jun","127842.00"
"2001-07-31","2001Jul","137309.00"
"2001-08-31","2001Aug","127797.00"
"2001-09-30","2001Sep","117667.00"
"2001-10-31","2001Oct","116122.00"
"2001-11-30","2001Nov","116855.00"
"2001-12-31","2001Dec","119122.00"
"2002-01-31","2002Jan","118538.00"
"2002-02-28","2002Feb","122315.00"
"2002-03-31","2002Mar","122325.00"
"2002-04-30","2002Apr","126862.00"
"2002-05-31","2002May","133445.00"
"2002-06-30","2002Jun","131580.00"
"2002-07-31","2002Jul","134228.00"
"2002-08-31","2002Aug","135177.00"
"2002-09-30","2002Sep","138924.00"
"2002-10-31","2002Oct","137689.00"
"2002-11-30","2002Nov","142493.00"
"2002-12-31","2002Dec","137937.00"
"2003-01-31","2003Jan","146739.00"
"2003-02-28","2003Feb","148727.00"
"2003-03-31","2003Mar","158385.00"
"2003-04-30","2003Apr","157362.00"
"2003-05-31","2003May","162896.00"
"2003-06-30","2003Jun","152432.00"
"2003-07-31","2003Jul","154703.00"
"2003-08-31","2003Aug","148510.00"
"2003-09-30","2003Sep","149447.00"
"2003-10-31","2003Oct","152593.00"
"2003-11-30","2003Nov","156004.00"
"2003-12-31","2003Dec","146060.00"
"2004-01-31","2004Jan","149026.00"
"2004-02-29","2004Feb","166196.00"
"2004-03-31","2004Mar","166150.00"
"2004-04-30","2004Apr","166275.00"
"2004-05-31","2004May","172721.00"
"2004-06-30","2004Jun","181015.00"
"2004-07-31","2004Jul","181775.00"
"2004-08-31","2004Aug","185971.00"
"2004-09-30","2004Sep","187087.00"
"2004-10-31","2004Oct","187666.00"
"2004-11-30","2004Nov","189288.00"
