"DATE","TIME PERIOD","Total assets of MFIs excluding NCB, Stocks (BSI.M.DE.N.A.T00.A.1.Z5.0000.Z01.E)"
"1997-09-30","1997Sep","4633980.87"
"1997-10-31","1997Oct","4694716.13"
"1997-11-30","1997Nov","4766516.95"
"1997-12-31","1997Dec","4789879.69"
"1998-01-31","1998Jan","4812970.96"
"1998-02-28","1998Feb","4845152.13"
"1998-03-31","1998Mar","4888583.47"
"1998-04-30","1998Apr","4922290.94"
"1998-05-31","1998May","4977983.21"
"1998-06-30","1998Jun","5037097.13"
"1998-07-31","1998Jul","5028253.09"
"1998-08-31","1998Aug","5104160.92"
"1998-09-30","1998Sep","5104129.68"
"1998-10-31","1998Oct","5175312.07"
"1998-11-30","1998Nov","5271296.66"
"1998-12-31","1998Dec","5294672.82"
"1999-01-31","1999Jan","5306131.00"
"1999-02-28","1999Feb","5258109.00"
"1999-03-31","1999Mar","5297754.00"
"1999-04-30","1999Apr","5351820.00"
"1999-05-31","1999May","5394079.00"
"1999-06-30","1999Jun","5412888.00"
"1999-07-31","1999Jul","5437173.00"
"1999-08-31","1999Aug","5486708.00"
"1999-09-30","1999Sep","5541739.00"
"1999-10-31","1999Oct","5612017.00"
"1999-11-30","1999Nov","5697653.00"
"1999-12-31","1999Dec","5678529.00"
"2000-01-31","2000Jan","5706544.00"
"2000-02-29","2000Feb","5725829.00"
"2000-03-31","2000Mar","5804822.00"
"2000-04-30","2000Apr","5860718.00"
"2000-05-31","2000May","5910389.00"
"2000-06-30","2000Jun","5848343.00"
"2000-07-31","2000Jul","5861803.00"
"2000-08-31","2000Aug","5917098.00"
"2000-09-30","2000Sep","5945413.00"
"2000-10-31","2000Oct","6019648.00"
"2000-11-30","2000Nov","6076081.00"
"2000-12-31","2000Dec","6083875.00"
"2001-01-31","2001Jan","6064045.00"
"2001-02-28","2001Feb","6141316.00"
"2001-03-31","2001Mar","6259319.00"
"2001-04-30","2001Apr","6283577.00"
"2001-05-31","2001May","6312337.00"
"2001-06-30","2001Jun","6283754.00"
"2001-07-31","2001Jul","6225762.00"
"2001-08-31","2001Aug","6236539.00"
"2001-09-30","2001Sep","6295904.00"
"2001-10-31","2001Oct","6299995.00"
"2001-11-30","2001Nov","6320159.00"
"2001-12-31","2001Dec","6303090.00"
"2002-01-31","2002Jan","6255088.00"
"2002-02-28","2002Feb","6230375.00"
"2002-03-31","2002Mar","6269846.00"
"2002-04-30","2002Apr","6267729.00"
"2002-05-31","2002May","6304475.00"
"2002-06-30","2002Jun","6277354.00"
"2002-07-31","2002Jul","6265562.00"
"2002-08-31","2002Aug","6290588.00"
"2002-09-30","2002Sep","6341066.00"
"2002-10-31","2002Oct","6359147.00"
"2002-11-30","2002Nov","6453473.00"
"2002-12-31","2002Dec","6408924.00"
"2003-01-31","2003Jan","6383749.00"
"2003-02-28","2003Feb","6424863.00"
"2003-03-31","2003Mar","6434715.00"
"2003-04-30","2003Apr","6430322.00"
"2003-05-31","2003May","6467704.00"
"2003-06-30","2003Jun","6472436.00"
"2003-07-31","2003Jul","6425728.00"
"2003-08-31","2003Aug","6395077.00"
"2003-09-30","2003Sep","6403085.00"
"2003-10-31","2003Oct","6399254.00"
"2003-11-30","2003Nov","6456127.00"
"2003-12-31","2003Dec","6432045.00"
"2004-01-31","2004Jan","6424183.00"
"2004-02-29","2004Feb","6448725.00"
"2004-03-31","2004Mar","6506670.00"
"2004-04-30","2004Apr","6568777.00"
"2004-05-31","2004May","6583489.00"
"2004-06-30","2004Jun","6551318.00"
"2004-07-31","2004Jul","6574941.00"
"2004-08-31","2004Aug","6567506.00"
"2004-09-30","2004Sep","6597618.00"
"2004-10-31","2004Oct","6627660.00"
"2004-11-30","2004Nov","6683415.00"
"2004-12-31","2004Dec","6617357.00"
"2005-01-31","2005Jan","6672131.00"
"2005-02-28","2005Feb","6717420.00"
"2005-03-31","2005Mar","6723007.00"
"2005-04-30","2005Apr","6908380.00"
"2005-05-31","2005May","6891970.00"
"2005-06-30","2005Jun","6851297.00"
"2005-07-31","2005Jul","6871305.00"
"2005-08-31","2005Aug","6849472.00"
"2005-09-30","2005Sep","6873797.00"
"2005-10-31","2005Oct","6888763.00"
"2005-11-30","2005Nov","6924051.00"
"2005-12-31","2005Dec","6859403.00"
"2006-01-31","2006Jan","6940622.00"
"2006-02-28","2006Feb","6967651.00"
"2006-03-31","2006Mar","7004830.00"
"2006-04-30","2006Apr","7075686.00"
"2006-05-31","2006May","7102156.00"
"2006-06-30","2006Jun","7075120.00"
"2006-07-31","2006Jul","7039954.00"
"2006-08-31","2006Aug","7034566.00"
"2006-09-30","2006Sep","7077223.00"
"2006-10-31","2006Oct","7080113.00"
"2006-11-30","2006Nov","7141191.00"
"2006-12-31","2006Dec","7154388.00"
"2007-01-31","2007Jan","7192378.00"
"2007-02-28","2007Feb","7230871.00"
"2007-03-31","2007Mar","7288340.00"
"2007-04-30","2007Apr","7357192.00"
"2007-05-31","2007May","7389347.00"
"2007-06-30","2007Jun","7381732.00"
"2007-07-31","2007Jul","7371244.00"
"2007-08-31","2007Aug","7417353.00"
"2007-09-30","2007Sep","7500873.00"
"2007-10-31","2007Oct","7500545.00"
"2007-11-30","2007Nov","7553611.00"
"2007-12-31","2007Dec","7592390.00"
"2008-01-31","2008Jan","7574126.00"
"2008-02-29","2008Feb","7596627.00"
"2008-03-31","2008Mar","7641670.00"
"2008-04-30","2008Apr","7725887.00"
"2008-05-31","2008May","7729139.00"
"2008-06-30","2008Jun","7688716.00"
"2008-07-31","2008Jul","7675415.00"
"2008-08-31","2008Aug","7744721.00"
"2008-09-30","2008Sep","7896151.00"
"2008-10-31","2008Oct","8030232.00"
"2008-11-30","2008Nov","7985444.00"
"2008-12-31","2008Dec","7892671.00"
"2009-01-31","2009Jan","7906365.00"
"2009-02-28","2009Feb","7846350.00"
"2009-03-31","2009Mar","7777139.00"
"2009-04-30","2009Apr","7802247.00"
"2009-05-31","2009May","7685109.00"
"2009-06-30","2009Jun","7710601.00"
"2009-07-31","2009Jul","7619124.00"
