"DATE","TIME PERIOD","Holdings of Debt securities issued by domestic General Government reported by MFIs excluding NCB, Stocks (BSI.M.GR.N.A.A30.A.1.U6.2100.Z01.E)"
"1998-03-31","1998Mar","35908.71"
"1998-04-30","1998Apr","35145.90"
"1998-05-31","1998May","35565.80"
"1998-06-30","1998Jun","36449.41"
"1998-07-31","1998Jul","36616.97"
"1998-08-31","1998Aug","37227.71"
"1998-09-30","1998Sep","37644.73"
"1998-10-31","1998Oct","36301.94"
"1998-11-30","1998Nov","36914.85"
"1998-12-31","1998Dec","37681.16"
"1999-01-31","1999Jan","39089.13"
"1999-02-28","1999Feb","39615.13"
"1999-03-31","1999Mar","39405.61"
"1999-04-30","1999Apr","40335.35"
"1999-05-31","1999May","42066.52"
"1999-06-30","1999Jun","42922.78"
"1999-07-31","1999Jul","43176.23"
"1999-08-31","1999Aug","42545.81"
"1999-09-30","1999Sep","42647.74"
"1999-10-31","1999Oct","43315.19"
"1999-11-30","1999Nov","42800.09"
"1999-12-31","1999Dec","40206.45"
"2000-01-31","2000Jan","43011.39"
"2000-02-29","2000Feb","41998.07"
"2000-03-31","2000Mar","41188.52"
"2000-04-30","2000Apr","42864.91"
"2000-05-31","2000May","43876.15"
"2000-06-30","2000Jun","45492.06"
"2000-07-31","2000Jul","45453.54"
"2000-08-31","2000Aug","45637.16"
"2000-09-30","2000Sep","46108.75"
"2000-10-31","2000Oct","46285.98"
"2000-11-30","2000Nov","46709.44"
"2000-12-31","2000Dec","44635.76"
"2001-01-31","2001Jan","43142.00"
"2001-02-28","2001Feb","45744.00"
"2001-03-31","2001Mar","45590.00"
"2001-04-30","2001Apr","47664.00"
"2001-05-31","2001May","50535.00"
"2001-06-30","2001Jun","49792.00"
"2001-07-31","2001Jul","49075.00"
"2001-08-31","2001Aug","44287.00"
"2001-09-30","2001Sep","44842.00"
"2001-10-31","2001Oct","44389.00"
"2001-11-30","2001Nov","44932.00"
"2001-12-31","2001Dec","42108.00"
"2002-01-31","2002Jan","43855.00"
"2002-02-28","2002Feb","43579.00"
"2002-03-31","2002Mar","44209.00"
"2002-04-30","2002Apr","41724.00"
"2002-05-31","2002May","40600.00"
"2002-06-30","2002Jun","41121.00"
"2002-07-31","2002Jul","41174.00"
"2002-08-31","2002Aug","40240.00"
"2002-09-30","2002Sep","41360.00"
"2002-10-31","2002Oct","39777.00"
"2002-11-30","2002Nov","40510.00"
"2002-12-31","2002Dec","40478.00"
"2003-01-31","2003Jan","40012.00"
"2003-02-28","2003Feb","37182.00"
"2003-03-31","2003Mar","37727.00"
"2003-04-30","2003Apr","34459.00"
"2003-05-31","2003May","33584.00"
"2003-06-30","2003Jun","32557.00"
"2003-07-31","2003Jul","32655.00"
"2003-08-31","2003Aug","32769.00"
"2003-09-30","2003Sep","32138.00"
"2003-10-31","2003Oct","32570.00"
"2003-11-30","2003Nov","33225.00"
"2003-12-31","2003Dec","31747.00"
"2004-01-31","2004Jan","31381.00"
"2004-02-29","2004Feb","29950.00"
"2004-03-31","2004Mar","27888.00"
"2004-04-30","2004Apr","29684.00"
"2004-05-31","2004May","31086.00"
"2004-06-30","2004Jun","31339.00"
"2004-07-31","2004Jul","30264.00"
"2004-08-31","2004Aug","30042.00"
"2004-09-30","2004Sep","31451.00"
"2004-10-31","2004Oct","30159.00"
"2004-11-30","2004Nov","30538.00"
"2004-12-31","2004Dec","27871.00"
"2005-01-31","2005Jan","27943.00"
"2005-02-28","2005Feb","29279.00"
"2005-03-31","2005Mar","28615.00"
"2005-04-30","2005Apr","28465.00"
"2005-05-31","2005May","28289.00"
"2005-06-30","2005Jun","30327.00"
"2005-07-31","2005Jul","31215.00"
"2005-08-31","2005Aug","26623.00"
"2005-09-30","2005Sep","28716.00"
"2005-10-31","2005Oct","30576.00"
"2005-11-30","2005Nov","31329.00"
"2005-12-31","2005Dec","31446.00"
"2006-01-31","2006Jan","31018.00"
"2006-02-28","2006Feb","30727.00"
"2006-03-31","2006Mar","31166.00"
"2006-04-30","2006Apr","31846.00"
"2006-05-31","2006May","31684.00"
"2006-06-30","2006Jun","32723.00"
"2006-07-31","2006Jul","31147.00"
"2006-08-31","2006Aug","32041.00"
"2006-09-30","2006Sep","31165.00"
"2006-10-31","2006Oct","30135.00"
"2006-11-30","2006Nov","29360.00"
"2006-12-31","2006Dec","29660.00"
"2007-01-31","2007Jan","26983.00"
"2007-02-28","2007Feb","26608.00"
"2007-03-31","2007Mar","25381.00"
"2007-04-30","2007Apr","23943.00"
"2007-05-31","2007May","23970.00"
"2007-06-30","2007Jun","24856.00"
"2007-07-31","2007Jul","24089.00"
"2007-08-31","2007Aug","22217.00"
"2007-09-30","2007Sep","20434.00"
"2007-10-31","2007Oct","20981.00"
"2007-11-30","2007Nov","20892.00"
"2007-12-31","2007Dec","23678.00"
"2008-01-31","2008Jan","22231.00"
"2008-02-29","2008Feb","21463.00"
"2008-03-31","2008Mar","22500.00"
"2008-04-30","2008Apr","23993.00"
"2008-05-31","2008May","23214.00"
