"DATE","TIME PERIOD","Total assets of MFIs excluding NCB, Stocks (BSI.M.GR.N.A.T00.A.1.Z5.0000.Z01.E)"
"1998-03-31","1998Mar","141300.06"
"1998-04-30","1998Apr","142339.43"
"1998-05-31","1998May","142270.06"
"1998-06-30","1998Jun","146871.13"
"1998-07-31","1998Jul","148127.74"
"1998-08-31","1998Aug","154363.59"
"1998-09-30","1998Sep","152126.75"
"1998-10-31","1998Oct","147279.11"
"1998-11-30","1998Nov","150249.17"
"1998-12-31","1998Dec","151625.65"
"1999-01-31","1999Jan","155607.74"
"1999-02-28","1999Feb","160701.66"
"1999-03-31","1999Mar","159384.33"
"1999-04-30","1999Apr","165029.62"
"1999-05-31","1999May","168207.46"
"1999-06-30","1999Jun","167834.25"
"1999-07-31","1999Jul","167997.23"
"1999-08-31","1999Aug","170174.78"
"1999-09-30","1999Sep","175969.54"
"1999-10-31","1999Oct","174748.55"
"1999-11-30","1999Nov","178397.07"
"1999-12-31","1999Dec","181114.24"
"2000-01-31","2000Jan","184271.92"
"2000-02-29","2000Feb","186347.14"
"2000-03-31","2000Mar","186549.08"
"2000-04-30","2000Apr","189700.03"
"2000-05-31","2000May","192029.25"
"2000-06-30","2000Jun","200511.86"
"2000-07-31","2000Jul","197129.82"
"2000-08-31","2000Aug","198627.26"
"2000-09-30","2000Sep","201070.40"
"2000-10-31","2000Oct","207284.25"
"2000-11-30","2000Nov","207866.74"
"2000-12-31","2000Dec","207247.46"
"2001-01-31","2001Jan","199982.00"
"2001-02-28","2001Feb","198288.00"
"2001-03-31","2001Mar","202685.00"
"2001-04-30","2001Apr","203983.00"
"2001-05-31","2001May","208104.00"
"2001-06-30","2001Jun","204315.00"
"2001-07-31","2001Jul","203938.00"
"2001-08-31","2001Aug","201445.00"
"2001-09-30","2001Sep","202006.00"
"2001-10-31","2001Oct","202602.00"
"2001-11-30","2001Nov","209865.00"
"2001-12-31","2001Dec","212490.00"
"2002-01-31","2002Jan","212942.00"
"2002-02-28","2002Feb","210676.00"
"2002-03-31","2002Mar","207699.00"
"2002-04-30","2002Apr","204272.00"
"2002-05-31","2002May","201762.00"
"2002-06-30","2002Jun","203773.00"
"2002-07-31","2002Jul","208505.00"
"2002-08-31","2002Aug","208282.00"
"2002-09-30","2002Sep","208408.00"
"2002-10-31","2002Oct","206956.00"
"2002-11-30","2002Nov","210670.00"
"2002-12-31","2002Dec","212396.00"
"2003-01-31","2003Jan","213684.00"
"2003-02-28","2003Feb","216018.00"
"2003-03-31","2003Mar","218330.00"
"2003-04-30","2003Apr","215564.00"
"2003-05-31","2003May","215709.00"
"2003-06-30","2003Jun","218341.00"
"2003-07-31","2003Jul","221601.00"
"2003-08-31","2003Aug","219953.00"
"2003-09-30","2003Sep","221652.00"
"2003-10-31","2003Oct","223650.00"
"2003-11-30","2003Nov","230685.00"
"2003-12-31","2003Dec","229057.00"
"2004-01-31","2004Jan","231820.00"
"2004-02-29","2004Feb","232648.00"
"2004-03-31","2004Mar","232594.00"
"2004-04-30","2004Apr","236720.00"
"2004-05-31","2004May","238053.00"
"2004-06-30","2004Jun","243271.00"
"2004-07-31","2004Jul","244374.00"
"2004-08-31","2004Aug","242647.00"
"2004-09-30","2004Sep","244953.00"
"2004-10-31","2004Oct","244761.00"
"2004-11-30","2004Nov","249075.00"
"2004-12-31","2004Dec","246004.00"
"2005-01-31","2005Jan","251555.00"
"2005-02-28","2005Feb","255809.00"
"2005-03-31","2005Mar","255945.00"
"2005-04-30","2005Apr","256888.00"
"2005-05-31","2005May","261551.00"
"2005-06-30","2005Jun","265578.00"
"2005-07-31","2005Jul","267626.00"
"2005-08-31","2005Aug","270024.00"
"2005-09-30","2005Sep","277129.00"
"2005-10-31","2005Oct","278579.00"
"2005-11-30","2005Nov","282835.00"
"2005-12-31","2005Dec","286045.00"
"2006-01-31","2006Jan","284175.00"
"2006-02-28","2006Feb","287859.00"
"2006-03-31","2006Mar","291806.00"
"2006-04-30","2006Apr","291740.00"
"2006-05-31","2006May","296917.00"
"2006-06-30","2006Jun","300477.00"
"2006-07-31","2006Jul","303888.00"
"2006-08-31","2006Aug","304746.00"
"2006-09-30","2006Sep","311775.00"
"2006-10-31","2006Oct","311027.00"
"2006-11-30","2006Nov","314578.00"
"2006-12-31","2006Dec","321409.00"
"2007-01-31","2007Jan","322169.00"
"2007-02-28","2007Feb","329195.00"
"2007-03-31","2007Mar","338390.00"
"2007-04-30","2007Apr","338027.00"
"2007-05-31","2007May","346298.00"
"2007-06-30","2007Jun","353370.00"
"2007-07-31","2007Jul","354943.00"
"2007-08-31","2007Aug","354064.00"
"2007-09-30","2007Sep","362289.00"
"2007-10-31","2007Oct","365288.00"
"2007-11-30","2007Nov","374634.00"
"2007-12-31","2007Dec","391504.00"
"2008-01-31","2008Jan","387754.00"
"2008-02-29","2008Feb","393220.00"
"2008-03-31","2008Mar","403715.00"
"2008-04-30","2008Apr","408244.00"
"2008-05-31","2008May","417524.00"
"2008-06-30","2008Jun","424668.00"
"2008-07-31","2008Jul","428458.00"
"2008-08-31","2008Aug","435362.00"
"2008-09-30","2008Sep","441883.00"
"2008-10-31","2008Oct","453502.00"
"2008-11-30","2008Nov","456611.00"
"2008-12-31","2008Dec","464746.00"
"2009-01-31","2009Jan","459253.00"
"2009-02-28","2009Feb","463165.00"
"2009-03-31","2009Mar","473103.00"
"2009-04-30","2009Apr","476347.00"
"2009-05-31","2009May","472303.00"
"2009-06-30","2009Jun","491205.00"
"2009-07-31","2009Jul","483623.00"
"2009-08-31","2009Aug","478947.00"
"2009-09-30","2009Sep","481901.00"
"2009-10-31","2009Oct","485483.00"
"2009-11-30","2009Nov","485082.00"
"2009-12-31","2009Dec","492608.00"
"2010-01-31","2010Jan","488536.00"
"2010-02-28","2010Feb","498350.00"
"2010-03-31","2010Mar","503379.00"
"2010-04-30","2010Apr","506633.00"
"2010-05-31","2010May","509157.00"
"2010-06-30","2010Jun","544676.00"
"2010-07-31","2010Jul","537706.00"
"2010-08-31","2010Aug","524165.00"
"2010-09-30","2010Sep","528736.00"
"2010-10-31","2010Oct","518768.00"
"2010-11-30","2010Nov","518587.00"
"2010-12-31","2010Dec","514966.00"
"2011-01-31","2011Jan","506108.00"
"2011-02-28","2011Feb","504517.00"
"2011-03-31","2011Mar","498019.00"
"2011-04-30","2011Apr","489585.00"
"2011-05-31","2011May","491227.00"
"2011-06-30","2011Jun","502525.00"
"2011-07-31","2011Jul","500856.00"
"2011-08-31","2011Aug","489295.00"
"2011-09-30","2011Sep","490295.00"
"2011-10-31","2011Oct","483541.00"
"2011-11-30","2011Nov","480843.00"
"2011-12-31","2011Dec","476911.00"
"2012-01-31","2012Jan","466696.00"
"2012-02-29","2012Feb","490213.00"
"2012-03-31","2012Mar","435211.00"
"2012-04-30","2012Apr","429391.00"
"2012-05-31","2012May","444048.00"
"2012-06-30","2012Jun","437581.00"
"2012-07-31","2012Jul","438364.00"
"2012-08-31","2012Aug","438527.00"
"2012-09-30","2012Sep","437034.00"
"2012-10-31","2012Oct","436549.00"
"2012-11-30","2012Nov","436796.00"
"2012-12-31","2012Dec","442214.00"
"2013-01-31","2013Jan","434819.00"
"2013-02-28","2013Feb","430236.00"
"2013-03-31","2013Mar","427036.00"
"2013-04-30","2013Apr","424670.00"
"2013-05-31","2013May","422889.00"
"2013-06-30","2013Jun","419075.00"
"2013-07-31","2013Jul","417524.00"
"2013-08-31","2013Aug","416877.00"
"2013-09-30","2013Sep","420702.00"
"2013-10-31","2013Oct","418672.00"
"2013-11-30","2013Nov","418218.00"
"2013-12-31","2013Dec","407407.00"
"2014-01-31","2014Jan","406263.00"
"2014-02-28","2014Feb","405483.00"
"2014-03-31","2014Mar","404716.00"
"2014-04-30","2014Apr","402367.00"
"2014-05-31","2014May","398817.00"
"2014-06-30","2014Jun","397317.00"
"2014-07-31","2014Jul","395600.00"
"2014-08-31","2014Aug","396496.00"
"2014-09-30","2014Sep","394698.00"
"2014-10-31","2014Oct","394374.00"
"2014-11-30","2014Nov","396260.00"
"2014-12-31","2014Dec","397801.00"
"2015-01-31","2015Jan","400450.00"
"2015-02-28","2015Feb","396837.00"
"2015-03-31","2015Mar","395410.00"
"2015-04-30","2015Apr","394952.00"
