"DATE","TIME PERIOD","Total assets of MFIs excluding NCB, Stocks (BSI.M.IE.N.A.T00.A.1.Z5.0000.Z01.E)"
"1997-09-30","1997Sep","159843.51"
"1997-10-31","1997Oct","164065.40"
"1997-11-30","1997Nov","169724.62"
"1997-12-31","1997Dec","184807.84"
"1998-01-31","1998Jan","191354.60"
"1998-02-28","1998Feb","194986.06"
"1998-03-31","1998Mar","200919.55"
"1998-04-30","1998Apr","199351.42"
"1998-05-31","1998May","203799.34"
"1998-06-30","1998Jun","210986.03"
"1998-07-31","1998Jul","214871.44"
"1998-08-31","1998Aug","223619.92"
"1998-09-30","1998Sep","226799.36"
"1998-10-31","1998Oct","232127.17"
"1998-11-30","1998Nov","237716.55"
"1998-12-31","1998Dec","234637.45"
"1999-01-31","1999Jan","241952.00"
"1999-02-28","1999Feb","244284.00"
"1999-03-31","1999Mar","252809.00"
"1999-04-30","1999Apr","259999.00"
"1999-05-31","1999May","267011.00"
"1999-06-30","1999Jun","268486.00"
"1999-07-31","1999Jul","270947.00"
"1999-08-31","1999Aug","281072.00"
"1999-09-30","1999Sep","286117.00"
"1999-10-31","1999Oct","294140.00"
"1999-11-30","1999Nov","301458.00"
"1999-12-31","1999Dec","302753.00"
"2000-01-31","2000Jan","311092.00"
"2000-02-29","2000Feb","316208.00"
"2000-03-31","2000Mar","326506.00"
"2000-04-30","2000Apr","384077.00"
"2000-05-31","2000May","381740.00"
"2000-06-30","2000Jun","390631.00"
"2000-07-31","2000Jul","392769.00"
"2000-08-31","2000Aug","415370.00"
"2000-09-30","2000Sep","419720.00"
"2000-10-31","2000Oct","425957.00"
"2000-11-30","2000Nov","435416.00"
"2000-12-31","2000Dec","418019.00"
"2001-01-31","2001Jan","434561.00"
"2001-02-28","2001Feb","442319.00"
"2001-03-31","2001Mar","463778.00"
"2001-04-30","2001Apr","467061.00"
"2001-05-31","2001May","481773.00"
"2001-06-30","2001Jun","487889.00"
"2001-07-31","2001Jul","488640.00"
"2001-08-31","2001Aug","483339.00"
"2001-09-30","2001Sep","498588.00"
"2001-10-31","2001Oct","514768.00"
"2001-11-30","2001Nov","530090.00"
"2001-12-31","2001Dec","531899.00"
"2002-01-31","2002Jan","549399.00"
"2002-02-28","2002Feb","559301.00"
"2002-03-31","2002Mar","561020.00"
"2002-04-30","2002Apr","563812.00"
"2002-05-31","2002May","559344.00"
"2002-06-30","2002Jun","554001.00"
"2002-07-31","2002Jul","576357.00"
"2002-08-31","2002Aug","583725.00"
"2002-09-30","2002Sep","599783.00"
"2002-10-31","2002Oct","602731.00"
"2002-11-30","2002Nov","613469.00"
"2002-12-31","2002Dec","615932.00"
"2003-01-31","2003Jan","625682.00"
"2003-02-28","2003Feb","638405.00"
"2003-03-31","2003Mar","631867.00"
"2003-04-30","2003Apr","635473.00"
"2003-05-31","2003May","640666.00"
"2003-06-30","2003Jun","664592.00"
"2003-07-31","2003Jul","677346.00"
"2003-08-31","2003Aug","687659.00"
"2003-09-30","2003Sep","696876.00"
"2003-10-31","2003Oct","707829.00"
"2003-11-30","2003Nov","707099.00"
"2003-12-31","2003Dec","725296.00"
"2004-01-31","2004Jan","741094.00"
"2004-02-29","2004Feb","761385.00"
"2004-03-31","2004Mar","795367.00"
"2004-04-30","2004Apr","803374.00"
"2004-05-31","2004May","815030.00"
"2004-06-30","2004Jun","823656.00"
"2004-07-31","2004Jul","845672.00"
"2004-08-31","2004Aug","852371.00"
"2004-09-30","2004Sep","864686.00"
"2004-10-31","2004Oct","873972.00"
"2004-11-30","2004Nov","877943.00"
"2004-12-31","2004Dec","898027.00"
"2005-01-31","2005Jan","929565.00"
"2005-02-28","2005Feb","932964.00"
"2005-03-31","2005Mar","960572.00"
"2005-04-30","2005Apr","983320.00"
"2005-05-31","2005May","1022980.00"
"2005-06-30","2005Jun","1053405.00"
"2005-07-31","2005Jul","1056153.00"
"2005-08-31","2005Aug","1071692.00"
"2005-09-30","2005Sep","1087385.00"
"2005-10-31","2005Oct","1117395.00"
"2005-11-30","2005Nov","1126200.00"
"2005-12-31","2005Dec","1155083.00"
"2006-01-31","2006Jan","1152931.00"
"2006-02-28","2006Feb","1194027.00"
"2006-03-31","2006Mar","1211928.00"
"2006-04-30","2006Apr","1234981.00"
"2006-05-31","2006May","1246743.00"
"2006-06-30","2006Jun","1279614.00"
"2006-07-31","2006Jul","1294602.00"
"2006-08-31","2006Aug","1312770.00"
"2006-09-30","2006Sep","1350451.00"
"2006-10-31","2006Oct","1387541.00"
"2006-11-30","2006Nov","1421936.00"
"2006-12-31","2006Dec","1454199.00"
"2007-01-31","2007Jan","1475163.00"
"2007-02-28","2007Feb","1475063.00"
"2007-03-31","2007Mar","1512177.00"
"2007-04-30","2007Apr","1537214.00"
"2007-05-31","2007May","1570544.00"
"2007-06-30","2007Jun","1603828.00"
"2007-07-31","2007Jul","1607609.00"
"2007-08-31","2007Aug","1577703.00"
"2007-09-30","2007Sep","1589230.00"
"2007-10-31","2007Oct","1618974.00"
"2007-11-30","2007Nov","1651696.00"
"2007-12-31","2007Dec","1663528.00"
"2008-01-31","2008Jan","1757982.00"
"2008-02-29","2008Feb","1759844.00"
"2008-03-31","2008Mar","1749542.00"
"2008-04-30","2008Apr","1750732.00"
"2008-05-31","2008May","1810904.00"
"2008-06-30","2008Jun","1786740.00"
"2008-07-31","2008Jul","1757519.00"
"2008-08-31","2008Aug","1817875.00"
"2008-09-30","2008Sep","1779291.00"
"2008-10-31","2008Oct","1780407.00"
"2008-11-30","2008Nov","1806777.00"
"2008-12-31","2008Dec","1731538.00"
"2009-01-31","2009Jan","1755016.00"
"2009-02-28","2009Feb","1749961.00"
"2009-03-31","2009Mar","1712792.00"
"2009-04-30","2009Apr","1726068.00"
"2009-05-31","2009May","1721275.00"
"2009-06-30","2009Jun","1712770.00"
"2009-07-31","2009Jul","1710850.00"
"2009-08-31","2009Aug","1695962.00"
"2009-09-30","2009Sep","1649900.00"
"2009-10-31","2009Oct","1643060.00"
"2009-11-30","2009Nov","1623900.00"
"2009-12-31","2009Dec","1634010.00"
"2010-01-31","2010Jan","1655441.00"
"2010-02-28","2010Feb","1631279.00"
"2010-03-31","2010Mar","1640449.00"
"2010-04-30","2010Apr","1636514.00"
"2010-05-31","2010May","1686399.00"
"2010-06-30","2010Jun","1689958.00"
"2010-07-31","2010Jul","1656518.00"
"2010-08-31","2010Aug","1702785.00"
"2010-09-30","2010Sep","1658808.00"
"2010-10-31","2010Oct","1599166.00"
"2010-11-30","2010Nov","1607704.00"
"2010-12-31","2010Dec","1527022.00"
"2011-01-31","2011Jan","1481435.00"
"2011-02-28","2011Feb","1474805.00"
"2011-03-31","2011Mar","1432549.00"
"2011-04-30","2011Apr","1402544.00"
"2011-05-31","2011May","1401667.00"
"2011-06-30","2011Jun","1374678.00"
"2011-07-31","2011Jul","1376770.00"
"2011-08-31","2011Aug","1382917.00"
"2011-09-30","2011Sep","1413475.00"
"2011-10-31","2011Oct","1398794.00"
"2011-11-30","2011Nov","1411024.00"
"2011-12-31","2011Dec","1313506.00"
"2012-01-31","2012Jan","1299386.00"
"2012-02-29","2012Feb","1260936.00"
"2012-03-31","2012Mar","1250195.00"
"2012-04-30","2012Apr","1245211.00"
"2012-05-31","2012May","1271172.00"
"2012-06-30","2012Jun","1262768.00"
"2012-07-31","2012Jul","1238645.00"
"2012-08-31","2012Aug","1230472.00"
"2012-09-30","2012Sep","1224113.00"
"2012-10-31","2012Oct","1221735.00"
"2012-11-30","2012Nov","1206110.00"
"2012-12-31","2012Dec","1170002.00"
"2013-01-31","2013Jan","1150539.00"
"2013-02-28","2013Feb","1106263.00"
"2013-03-31","2013Mar","1099279.00"
"2013-04-30","2013Apr","1094277.00"
"2013-05-31","2013May","1093804.00"
"2013-06-30","2013Jun","1066868.00"
"2013-07-31","2013Jul","1047853.00"
"2013-08-31","2013Aug","1046443.00"
"2013-09-30","2013Sep","1049114.00"
"2013-10-31","2013Oct","1029087.00"
"2013-11-30","2013Nov","1033471.00"
"2013-12-31","2013Dec","1016950.00"
"2014-01-31","2014Jan","1063609.00"
"2014-02-28","2014Feb","1075034.00"
"2014-03-31","2014Mar","1060374.00"
"2014-04-30","2014Apr","1063283.00"
"2014-05-31","2014May","1074664.00"
"2014-06-30","2014Jun","1083809.00"
"2014-07-31","2014Jul","1078624.00"
"2014-08-31","2014Aug","1083111.00"
"2014-09-30","2014Sep","1093439.00"
"2014-10-31","2014Oct","1101598.00"
"2014-11-30","2014Nov","1076986.00"
"2014-12-31","2014Dec","1079591.00"
"2015-01-31","2015Jan","1108957.00"
"2015-02-28","2015Feb","1104327.00"
"2015-03-31","2015Mar","1127774.00"
"2015-04-30","2015Apr","1090966.00"
"2015-05-31","2015May","1088550.00"
"2015-06-30","2015Jun","1058393.00"
"2015-07-31","2015Jul","1058490.00"
"2015-08-31","2015Aug","1034236.00"
"2015-09-30","2015Sep","1053728.00"
"2015-10-31","2015Oct","1080864.00"
"2015-11-30","2015Nov","1116391.00"
"2015-12-31","2015Dec","1086843.00"
"2016-01-31","2016Jan","1061818.00"
"2016-02-29","2016Feb","1068899.00"
"2016-03-31","2016Mar","1043001.00"
"2016-04-30","2016Apr","1039597.00"
"2016-05-31","2016May","1066761.00"
"2016-06-30","2016Jun","1065215.00"
"2016-07-31","2016Jul","1048400.00"
"2016-08-31","2016Aug","1049664.00"
"2016-09-30","2016Sep","1047808.00"
"2016-10-31","2016Oct","1038859.00"
