"DATE","TIME PERIOD","Total assets of MFIs excluding NCB, Stocks (BSI.M.IT.N.A.T00.A.1.Z5.0000.Z01.E)"
"1997-09-30","1997Sep","1529056.00"
"1997-10-31","1997Oct","1533798.00"
"1997-11-30","1997Nov","1560877.00"
"1997-12-31","1997Dec","1606618.00"
"1998-01-31","1998Jan","1593327.00"
"1998-02-28","1998Feb","1591052.00"
"1998-03-31","1998Mar","1623083.00"
"1998-04-30","1998Apr","1617938.00"
"1998-05-31","1998May","1630946.00"
"1998-06-30","1998Jun","1569185.00"
"1998-07-31","1998Jul","1531018.00"
"1998-08-31","1998Aug","1521645.00"
"1998-09-30","1998Sep","1512999.00"
"1998-10-31","1998Oct","1514855.00"
"1998-11-30","1998Nov","1545891.00"
"1998-12-31","1998Dec","1535544.00"
"1999-01-31","1999Jan","1602984.00"
"1999-02-28","1999Feb","1577356.00"
"1999-03-31","1999Mar","1550179.00"
"1999-04-30","1999Apr","1564579.00"
"1999-05-31","1999May","1575418.00"
"1999-06-30","1999Jun","1618192.00"
"1999-07-31","1999Jul","1584100.00"
"1999-08-31","1999Aug","1566857.00"
"1999-09-30","1999Sep","1570493.00"
"1999-10-31","1999Oct","1589764.00"
"1999-11-30","1999Nov","1615932.00"
"1999-12-31","1999Dec","1641869.00"
"2000-01-31","2000Jan","1670938.00"
"2000-02-29","2000Feb","1674803.00"
"2000-03-31","2000Mar","1702195.00"
"2000-04-30","2000Apr","1714642.00"
"2000-05-31","2000May","1730600.00"
"2000-06-30","2000Jun","1740743.00"
"2000-07-31","2000Jul","1716337.00"
"2000-08-31","2000Aug","1696563.00"
"2000-09-30","2000Sep","1718102.00"
"2000-10-31","2000Oct","1760581.00"
"2000-11-30","2000Nov","1772107.00"
"2000-12-31","2000Dec","1781201.00"
"2001-01-31","2001Jan","1747249.00"
"2001-02-28","2001Feb","1740977.00"
"2001-03-31","2001Mar","1808740.00"
"2001-04-30","2001Apr","1806100.00"
"2001-05-31","2001May","1814586.00"
"2001-06-30","2001Jun","1836146.00"
"2001-07-31","2001Jul","1819020.00"
"2001-08-31","2001Aug","1792108.00"
"2001-09-30","2001Sep","1828409.00"
"2001-10-31","2001Oct","1838223.00"
"2001-11-30","2001Nov","1871333.00"
"2001-12-31","2001Dec","1878154.00"
"2002-01-31","2002Jan","1884078.00"
"2002-02-28","2002Feb","1864421.00"
"2002-03-31","2002Mar","1895689.00"
"2002-04-30","2002Apr","1910549.00"
"2002-05-31","2002May","1924806.00"
"2002-06-30","2002Jun","1919899.00"
"2002-07-31","2002Jul","1946335.00"
"2002-08-31","2002Aug","1925226.00"
"2002-09-30","2002Sep","1939977.00"
"2002-10-31","2002Oct","1963177.00"
"2002-11-30","2002Nov","1998044.00"
"2002-12-31","2002Dec","2066122.00"
"2003-01-31","2003Jan","2127440.00"
"2003-02-28","2003Feb","2146096.00"
"2003-03-31","2003Mar","2151628.00"
"2003-04-30","2003Apr","2154712.00"
"2003-05-31","2003May","2173932.00"
"2003-06-30","2003Jun","2192238.00"
"2003-07-31","2003Jul","2178913.00"
"2003-08-31","2003Aug","2161301.00"
"2003-09-30","2003Sep","2203823.00"
"2003-10-31","2003Oct","2191298.00"
"2003-11-30","2003Nov","2215813.00"
"2003-12-31","2003Dec","2246095.00"
"2004-01-31","2004Jan","2268600.00"
"2004-02-29","2004Feb","2255195.00"
"2004-03-31","2004Mar","2299065.00"
"2004-04-30","2004Apr","2287857.00"
"2004-05-31","2004May","2292086.00"
"2004-06-30","2004Jun","2299362.00"
"2004-07-31","2004Jul","2303327.00"
"2004-08-31","2004Aug","2293758.00"
"2004-09-30","2004Sep","2312057.00"
"2004-10-31","2004Oct","2328299.00"
"2004-11-30","2004Nov","2367393.00"
"2004-12-31","2004Dec","2379065.00"
"2005-01-31","2005Jan","2392795.00"
"2005-02-28","2005Feb","2393558.00"
"2005-03-31","2005Mar","2429602.00"
"2005-04-30","2005Apr","2455665.00"
"2005-05-31","2005May","2514885.00"
"2005-06-30","2005Jun","2541259.00"
"2005-07-31","2005Jul","2513555.00"
"2005-08-31","2005Aug","2506022.00"
"2005-09-30","2005Sep","2542345.00"
"2005-10-31","2005Oct","2570399.00"
"2005-11-30","2005Nov","2611552.00"
"2005-12-31","2005Dec","2599140.00"
"2006-01-31","2006Jan","2626463.00"
"2006-02-28","2006Feb","2599709.00"
"2006-03-31","2006Mar","2627201.00"
"2006-04-30","2006Apr","2655855.00"
"2006-05-31","2006May","2683732.00"
"2006-06-30","2006Jun","2671131.00"
"2006-07-31","2006Jul","2701924.00"
"2006-08-31","2006Aug","2697802.00"
"2006-09-30","2006Sep","2750393.00"
"2006-10-31","2006Oct","2772752.00"
"2006-11-30","2006Nov","2858007.00"
"2006-12-31","2006Dec","2870514.00"
"2007-01-31","2007Jan","2874167.00"
"2007-02-28","2007Feb","2891505.00"
"2007-03-31","2007Mar","2967701.00"
"2007-04-30","2007Apr","3012013.00"
"2007-05-31","2007May","3068532.00"
"2007-06-30","2007Jun","3091841.00"
"2007-07-31","2007Jul","3105793.00"
"2007-08-31","2007Aug","3080369.00"
"2007-09-30","2007Sep","3107520.00"
"2007-10-31","2007Oct","3377055.00"
"2007-11-30","2007Nov","3399937.00"
"2007-12-31","2007Dec","3407399.00"
"2008-01-31","2008Jan","3415396.00"
"2008-02-29","2008Feb","3444655.00"
"2008-03-31","2008Mar","3457346.00"
"2008-04-30","2008Apr","3492564.00"
"2008-05-31","2008May","3596363.00"
"2008-06-30","2008Jun","3583073.00"
"2008-07-31","2008Jul","3565225.00"
"2008-08-31","2008Aug","3571013.00"
"2008-09-30","2008Sep","3629345.00"
"2008-10-31","2008Oct","3880633.00"
"2008-11-30","2008Nov","3775740.00"
"2008-12-31","2008Dec","3693938.00"
"2009-01-31","2009Jan","3694883.00"
"2009-02-28","2009Feb","3713278.00"
"2009-03-31","2009Mar","3768166.00"
"2009-04-30","2009Apr","3749600.00"
"2009-05-31","2009May","3742993.00"
"2009-06-30","2009Jun","3751915.00"
"2009-07-31","2009Jul","3740732.00"
"2009-08-31","2009Aug","3711751.00"
"2009-09-30","2009Sep","3729660.00"
