"DATE","TIME PERIOD","Total assets of MFIs excluding NCB, Stocks (BSI.M.NL.N.A.T00.A.1.Z5.0000.Z01.E)"
"1997-09-30","1997Sep","693004.00"
"1997-10-31","1997Oct","699926.00"
"1997-11-30","1997Nov","717728.00"
"1997-12-31","1997Dec","769034.00"
"1998-01-31","1998Jan","801983.00"
"1998-02-28","1998Feb","820910.00"
"1998-03-31","1998Mar","836153.00"
"1998-04-30","1998Apr","839920.00"
"1998-05-31","1998May","856595.00"
"1998-06-30","1998Jun","854508.00"
"1998-07-31","1998Jul","857887.00"
"1998-08-31","1998Aug","870596.00"
"1998-09-30","1998Sep","888834.00"
"1998-10-31","1998Oct","894973.00"
"1998-11-30","1998Nov","922829.00"
"1998-12-31","1998Dec","896155.00"
"1999-01-31","1999Jan","951386.00"
"1999-02-28","1999Feb","924160.00"
"1999-03-31","1999Mar","920863.00"
"1999-04-30","1999Apr","925820.00"
"1999-05-31","1999May","940899.00"
"1999-06-30","1999Jun","961324.00"
"1999-07-31","1999Jul","970777.00"
"1999-08-31","1999Aug","972918.00"
"1999-09-30","1999Sep","977324.00"
"1999-10-31","1999Oct","996286.00"
"1999-11-30","1999Nov","1033351.00"
"1999-12-31","1999Dec","983664.00"
"2000-01-31","2000Jan","999545.00"
"2000-02-29","2000Feb","1044766.00"
"2000-03-31","2000Mar","1097559.00"
"2000-04-30","2000Apr","1121715.00"
"2000-05-31","2000May","1140162.00"
"2000-06-30","2000Jun","1114100.00"
"2000-07-31","2000Jul","1131438.00"
"2000-08-31","2000Aug","1150807.00"
"2000-09-30","2000Sep","1170017.00"
"2000-10-31","2000Oct","1180152.00"
"2000-11-30","2000Nov","1197258.00"
"2000-12-31","2000Dec","1148942.00"
"2001-01-31","2001Jan","1199954.00"
"2001-02-28","2001Feb","1221168.00"
"2001-03-31","2001Mar","1276626.00"
"2001-04-30","2001Apr","1257747.00"
"2001-05-31","2001May","1261943.00"
"2001-06-30","2001Jun","1252801.00"
"2001-07-31","2001Jul","1229633.00"
"2001-08-31","2001Aug","1227202.00"
