"DATE","TIME PERIOD","Holdings of Debt securities issued by domestic General Government reported by MFIs excluding NCB, Stocks (BSI.M.ES.N.A.A30.A.1.U6.2100.Z01.E)"
"1997-09-30","1997Sep","111682.00"
"1997-10-31","1997Oct","112248.00"
"1997-11-30","1997Nov","112163.00"
"1997-12-31","1997Dec","107743.00"
"1998-01-31","1998Jan","110699.00"
"1998-02-28","1998Feb","114153.00"
"1998-03-31","1998Mar","114086.00"
"1998-04-30","1998Apr","110448.00"
"1998-05-31","1998May","110378.00"
"1998-06-30","1998Jun","109932.00"
"1998-07-31","1998Jul","107118.00"
"1998-08-31","1998Aug","104246.00"
"1998-09-30","1998Sep","105881.00"
"1998-10-31","1998Oct","110196.00"
"1998-11-30","1998Nov","105462.00"
"1998-12-31","1998Dec","101843.00"
"1999-01-31","1999Jan","113803.00"
"1999-02-28","1999Feb","117175.00"
"1999-03-31","1999Mar","107207.00"
"1999-04-30","1999Apr","106217.00"
"1999-05-31","1999May","104733.00"
"1999-06-30","1999Jun","104828.00"
"1999-07-31","1999Jul","100277.00"
"1999-08-31","1999Aug","101701.00"
"1999-09-30","1999Sep","100950.00"
"1999-10-31","1999Oct","103279.00"
"1999-11-30","1999Nov","102248.00"
"1999-12-31","1999Dec","104935.00"
"2000-01-31","2000Jan","104085.00"
"2000-02-29","2000Feb","102101.00"
"2000-03-31","2000Mar","99389.00"
"2000-04-30","2000Apr","96939.00"
"2000-05-31","2000May","99367.00"
"2000-06-30","2000Jun","98521.00"
"2000-07-31","2000Jul","96171.00"
"2000-08-31","2000Aug","93984.00"
"2000-09-30","2000Sep","94125.00"
"2000-10-31","2000Oct","90255.00"
"2000-11-30","2000Nov","91774.00"
"2000-12-31","2000Dec","92691.00"
"2001-01-31","2001Jan","93971.00"
"2001-02-28","2001Feb","94486.00"
"2001-03-31","2001Mar","95696.00"
"2001-04-30","2001Apr","99118.00"
"2001-05-31","2001May","99092.00"
"2001-06-30","2001Jun","100261.00"
"2001-07-31","2001Jul","98749.00"
"2001-08-31","2001Aug","97662.00"
"2001-09-30","2001Sep","99334.00"
"2001-10-31","2001Oct","95597.00"
"2001-11-30","2001Nov","99200.00"
"2001-12-31","2001Dec","100709.00"
"2002-01-31","2002Jan","100608.00"
"2002-02-28","2002Feb","98857.00"
"2002-03-31","2002Mar","101741.00"
"2002-04-30","2002Apr","102298.00"
"2002-05-31","2002May","105178.00"
"2002-06-30","2002Jun","105609.00"
"2002-07-31","2002Jul","102127.00"
"2002-08-31","2002Aug","100623.00"
"2002-09-30","2002Sep","103068.00"
"2002-10-31","2002Oct","102133.00"
"2002-11-30","2002Nov","102656.00"
"2002-12-31","2002Dec","105110.00"
"2003-01-31","2003Jan","107534.00"
