Date;Symbol;Indexvalue
01.01.2020;V2TX;20.3052
02.01.2020;V2TX;20.1866
03.01.2020;V2TX;20.1736
06.01.2020;V2TX;21.5998
07.01.2020;V2TX;22.1213
08.01.2020;V2TX;22.6773
09.01.2020;V2TX;24.3097
10.01.2020;V2TX;24.5404
13.01.2020;V2TX;24.6122
14.01.2020;V2TX;24.2047
15.01.2020;V2TX;23.9332
16.01.2020;V2TX;22.7049
17.01.2020;V2TX;23.1792
20.01.2020;V2TX;22.4190
21.01.2020;V2TX;22.9606
22.01.2020;V2TX;22.9348
23.01.2020;V2TX;23.0117
24.01.2020;V2TX;22.9862
27.01.2020;V2TX;23.8179
28.01.2020;V2TX;24.5436
29.01.2020;V2TX;24.5262
30.01.2020;V2TX;23.9868
31.01.2020;V2TX;24.5412
03.02.2020;V2TX;23.9564
04.02.2020;V2TX;23.0235
05.02.2020;V2TX;23.3225
06.02.2020;V2TX;24.0536
07.02.2020;V2TX;23.8105
10.02.2020;V2TX;24.0533
11.02.2020;V2TX;23.8038
12.02.2020;V2TX;24.2370
13.02.2020;V2TX;24.8941
14.02.2020;V2TX;24.7363
17.02.2020;V2TX;24.1198
18.02.2020;V2TX;23.2456
19.02.2020;V2TX;23.8010
20.02.2020;V2TX;23.1190
21.02.2020;V2TX;23.3422
24.02.2020;V2TX;23.8087
25.02.2020;V2TX;23.5079
26.02.2020;V2TX;23.4082
27.02.2020;V2TX;24.0076
28.02.2020;V2TX;23.5227
02.03.2020;V2TX;22.9769
03.03.2020;V2TX;22.8362
04.03.2020;V2TX;23.6030
05.03.2020;V2TX;24.5694
06.03.2020;V2TX;24.5102
09.03.2020;V2TX;24.0829
10.03.2020;V2TX;24.7213
11.03.2020;V2TX;23.7198
12.03.2020;V2TX;23.8683
13.03.2020;V2TX;23.8420
16.03.2020;V2TX;24.6183
17.03.2020;V2TX;25.4553
18.03.2020;V2TX;24.8898
19.03.2020;V2TX;24.9904
20.03.2020;V2TX;24.6480
23.03.2020;V2TX;24.4720
24.03.2020;V2TX;24.8425
25.03.2020;V2TX;24.6415
26.03.2020;V2TX;24.7579
27.03.2020;V2TX;25.3322
30.03.2020;V2TX;26.2413
