,AT,BE,FI,FR,DE,GR,IE,IT,NL,ES,PT,OIS
2005-09,3.12,3.145,3.04,3.1317,3.067727273,3.3,3.04,3.28701,3.116,3.08836363636364,3.4255555555666666,3.155054763940739
2005-10,3.27,3.299,3.19,3.2972,3.238571429,3.45,3.19,3.44443,3.279,3.2725238095238094,3.4766666667,3.4042957876968587
2005-11,3.48,3.493,3.4,3.4915,3.448181818,3.67,3.4,3.65516,3.478,3.47659090909091,3.5200000000333334,3.459306259290632
2005-12,3.36,3.39,3.3,3.3703,3.337619048,3.57,3.36,3.55319,3.353,3.36857142857143,3.5633333333666664,3.205642604325635
2006-01,3.33,3.372,3.28,3.3465,3.321363636,3.6,3.32,3.54353,3.327,3.33059090909091,3.6066666667,3.4705925077828605
2006-02,3.48,3.538,3.44,3.509,3.4725,3.77,3.47,3.69735,3.476,3.4829,3.760000000033333,3.480539384574989
2006-03,3.65,3.702,3.62,3.6887,3.637391304,3.95,3.65,3.92284,3.656,3.64891304347826,3.9133333333666664,3.778158816444735
2006-04,3.92,3.956,3.88,3.9528,3.895,4.23,3.9,4.22184,3.921,3.9188888888888895,4.0666666667,3.972634097925251
2006-05,4.03,4.027,3.94,4.0035,3.962727273,4.3,3.96,4.28469,3.964,3.98631818181818,4.058888888899999,3.963983616384752
2006-06,4.03,4.016,4.02,4.0088,3.960454545,4.31,3.98,4.29471,3.973,3.98818181818182,4.0511111111,4.061454843182179
2006-07,4.05,4.042,4.06,4.021,4.01,4.33,4.0,4.30648,3.994,4.02390476190476,4.0433333333,3.912681817843231
2006-08,3.92,3.915,3.94,3.8926,3.883913043,4.19,3.88,4.1707,3.903,3.8925652173913,4.0099999999666665,3.7435062990588728
2006-09,3.79,3.789,3.8,3.7623,3.753809524,4.06,3.76,4.03582,3.778,3.7632857142857103,3.9766666666333332,3.663616955296377
2006-10,3.83,3.835,3.84,3.811,3.787727273,4.08,3.78,4.06997,3.82,3.8129090909090895,3.9433333333,3.7216775880939
2006-11,3.76,3.76,3.75,3.7395,3.714090909,3.98,3.72,3.97009,3.749,3.747,4.014444444433333,3.6637217230048154
2006-12,3.81,3.82,3.82,3.8273,3.770526316,4.04,3.76,4.0376,3.819,3.81626315789474,4.085555555566667,3.911844621792944
2007-01,4.06,4.064,4.05,4.0711,4.016818182,4.28,4.04,4.2628,4.052,4.07245454545455,4.1566666667,4.064024401163083
2007-02,4.09,4.108,4.08,4.0935,4.049,4.3,4.07,4.28009,4.074,4.1108,4.268888888899999,3.9182043078385846
2007-03,3.99,4.009,3.98,3.9995,3.940909091,4.2,3.97,4.17622,3.978,4.00868181818182,4.3811111111,4.024396425537575
2007-04,4.21,4.222,4.2,4.214,4.152105263,4.4,4.19,4.37021,4.194,4.20873684210526,4.4933333333,4.131063402188547
2007-05,4.33,4.345,4.33,4.3425,4.279047619,4.51,4.32,4.48971,4.328,4.336285714285712,4.526666666633333,4.368948524699516
2007-06,4.63,4.638,4.62,4.6192,4.56047619,4.8,4.62,4.77197,4.614,4.620285714285711,4.559999999966667,4.509835721430611
2007-07,4.59,4.617,4.59,4.5816,4.505,4.79,4.59,4.76033,4.564,4.596227272727271,4.5933333333,4.356365348414947
2007-08,4.38,4.437,4.39,4.3836,4.296521739,4.62,4.4,4.58355,4.383,4.39813043478261,4.545555555533333,4.322620136030987
2007-09,4.33,4.392,4.34,4.3615,4.226,4.56,4.32,4.57357,4.343,4.354,4.497777777766667,4.378139363812401
2007-10,4.4,4.423,4.38,4.3974,4.282608696,4.58,4.39,4.59088,4.376,4.37834782608696,4.45,4.288441367448606
2007-11,4.21,4.28,4.22,4.2279,4.089090909,4.43,4.31,4.44929,4.209,4.24786363636364,4.4044444444333335,4.214501049173749
