iso3,country,vintage,forecast_year,debt_gdp
AUT,Austria,2005-Oct,2005,63.9
AUT,Austria,2005-Oct,2006,64.4
AUT,Austria,2005-Oct,2007,64.3
AUT,Austria,2006-Oct,2006,62.9
AUT,Austria,2006-Oct,2007,62.7
AUT,Austria,2006-Oct,2008,62.5
AUT,Austria,2007-Oct,2007,60.4
AUT,Austria,2007-Oct,2008,59.4
AUT,Austria,2007-Oct,2009,58.0
AUT,Austria,2008-Oct,2008,60.2
AUT,Austria,2008-Oct,2009,62.4
AUT,Austria,2008-Oct,2010,65.3
AUT,Austria,2009-Oct,2009,69.3
AUT,Austria,2009-Oct,2010,74.2
AUT,Austria,2009-Oct,2011,78.8
BEL,Belgium,2005-Oct,2005,94.3
BEL,Belgium,2005-Oct,2006,91.6
BEL,Belgium,2005-Oct,2007,89.5
BEL,Belgium,2006-Oct,2006,89.2
BEL,Belgium,2006-Oct,2007,86.3
BEL,Belgium,2006-Oct,2008,83.7
BEL,Belgium,2007-Oct,2007,85.3
BEL,Belgium,2007-Oct,2008,82.9
BEL,Belgium,2007-Oct,2009,80.7
BEL,Belgium,2008-Oct,2008,88.5
BEL,Belgium,2008-Oct,2009,88.6
BEL,Belgium,2008-Oct,2010,88.4
BEL,Belgium,2009-Oct,2009,97.6
BEL,Belgium,2009-Oct,2010,101.7
BEL,Belgium,2009-Oct,2011,104.9
DEU,Germany,2005-Oct,2005,67.7
DEU,Germany,2005-Oct,2006,69.2
DEU,Germany,2005-Oct,2007,70.2
DEU,Germany,2006-Oct,2006,68.2
DEU,Germany,2006-Oct,2007,66.8
DEU,Germany,2006-Oct,2008,66.2
DEU,Germany,2007-Oct,2007,64.5
DEU,Germany,2007-Oct,2008,62.8
DEU,Germany,2007-Oct,2009,60.9
DEU,Germany,2008-Oct,2008,64.4
DEU,Germany,2008-Oct,2009,65.8
DEU,Germany,2008-Oct,2010,65.9
DEU,Germany,2009-Oct,2009,74.4
DEU,Germany,2009-Oct,2010,79.1
DEU,Germany,2009-Oct,2011,82.5
ESP,Spain,2005-Oct,2005,43.7
ESP,Spain,2005-Oct,2006,41.1
ESP,Spain,2005-Oct,2007,39.0
ESP,Spain,2006-Oct,2006,39.8
ESP,Spain,2006-Oct,2007,37.0
ESP,Spain,2006-Oct,2008,34.3
ESP,Spain,2007-Oct,2007,35.8
ESP,Spain,2007-Oct,2008,32.9
ESP,Spain,2007-Oct,2009,30.4
ESP,Spain,2008-Oct,2008,37.8
ESP,Spain,2008-Oct,2009,41.3
ESP,Spain,2008-Oct,2010,45.3
ESP,Spain,2009-Oct,2009,52.0
ESP,Spain,2009-Oct,2010,60.1
ESP,Spain,2009-Oct,2011,66.9
FIN,Finland,2005-Oct,2005,45.8
FIN,Finland,2005-Oct,2006,47.5
FIN,Finland,2005-Oct,2007,47.7
FIN,Finland,2006-Oct,2006,41.3
FIN,Finland,2006-Oct,2007,42.3
FIN,Finland,2006-Oct,2008,42.6
FIN,Finland,2007-Oct,2007,36.8
FIN,Finland,2007-Oct,2008,35.2
FIN,Finland,2007-Oct,2009,32.2
FIN,Finland,2008-Oct,2008,33.3
FIN,Finland,2008-Oct,2009,32.6
FIN,Finland,2008-Oct,2010,32.9
FIN,Finland,2009-Oct,2009,37.0
FIN,Finland,2009-Oct,2010,45.6
FIN,Finland,2009-Oct,2011,55.1
FRA,France,2005-Oct,2005,66.9
FRA,France,2005-Oct,2006,67.7
