vintage,vintage_year,vintage_month,forecast_year,iso3,country,subject_code,subject_descriptor,units,value
1990-Apr,1990,Apr,1991,AUT,Austria,BCA_GDP_BP6,Current account balance,Percent of GDP,-0.38415127862008347
1990-Apr,1990,Apr,1991,BEL,Belgium,BCA_GDP_BP6,Current account balance,Percent of GDP,2.1330260733720454
1990-Apr,1990,Apr,1991,DEU,Germany,BCA_GDP_BP6,Current account balance,Percent of GDP,4.470383288858084
1990-Apr,1990,Apr,1991,ESP,Spain,BCA_GDP_BP6,Current account balance,Percent of GDP,-4.149385155896058
1990-Apr,1990,Apr,1991,FIN,Finland,BCA_GDP_BP6,Current account balance,Percent of GDP,-4.1721432182123985
1990-Apr,1990,Apr,1991,FRA,France,BCA_GDP_BP6,Current account balance,Percent of GDP,-0.25839471333382485
1990-Apr,1990,Apr,1991,GRC,Greece,BCA_GDP_BP6,Current account balance,Percent of GDP,-2.2566090699814785
1990-Apr,1990,Apr,1991,IRL,Ireland,BCA_GDP_BP6,Current account balance,Percent of GDP,1.0252220365993303
1990-Apr,1990,Apr,1991,ITA,Italy,BCA_GDP_BP6,Current account balance,Percent of GDP,-1.019071698533241
1990-Apr,1990,Apr,1991,LUX,Luxembourg,BCA_GDP_BP6,Current account balance,Percent of GDP,
1990-Apr,1990,Apr,1991,NLD,Netherlands,BCA_GDP_BP6,Current account balance,Percent of GDP,2.335276364189394
1990-Apr,1990,Apr,1991,PRT,Portugal,BCA_GDP_BP6,Current account balance,Percent of GDP,-3.603541741534645
1990-Oct,1990,Oct,1991,AUT,Austria,BCA_GDP_BP6,Current account balance,Percent of GDP,-0.20886582071543203
1990-Oct,1990,Oct,1991,BEL,Belgium,BCA_GDP_BP6,Current account balance,Percent of GDP,1.8762205194732842
1990-Oct,1990,Oct,1991,DEU,Germany,BCA_GDP_BP6,Current account balance,Percent of GDP,2.3363297009057855
1990-Oct,1990,Oct,1991,ESP,Spain,BCA_GDP_BP6,Current account balance,Percent of GDP,-4.276251108365695
1990-Oct,1990,Oct,1991,FIN,Finland,BCA_GDP_BP6,Current account balance,Percent of GDP,-4.415383565430359
1990-Oct,1990,Oct,1991,FRA,France,BCA_GDP_BP6,Current account balance,Percent of GDP,-0.3686348434015925
1990-Oct,1990,Oct,1991,GRC,Greece,BCA_GDP_BP6,Current account balance,Percent of GDP,-4.269443187375673
1990-Oct,1990,Oct,1991,IRL,Ireland,BCA_GDP_BP6,Current account balance,Percent of GDP,1.3920081836529734
1990-Oct,1990,Oct,1991,ITA,Italy,BCA_GDP_BP6,Current account balance,Percent of GDP,-0.972719711754867
1990-Oct,1990,Oct,1991,LUX,Luxembourg,BCA_GDP_BP6,Current account balance,Percent of GDP,
1990-Oct,1990,Oct,1991,NLD,Netherlands,BCA_GDP_BP6,Current account balance,Percent of GDP,3.050812003850845
