country,DATE,TIME PERIOD,holdings,total_assets,nexus
Austria,1997-09-30,1997Sep,26143.0,415054.0,0.06298698482607082
Austria,1997-10-31,1997Oct,26153.0,410533.0,0.06370498839313771
Austria,1997-11-30,1997Nov,26011.0,410001.0,0.06344130867973492
Austria,1997-12-31,1997Dec,26292.0,411520.0,0.06388996889580094
Austria,1998-01-31,1998Jan,27819.0,418188.0,0.06652271227294901
Austria,1998-02-28,1998Feb,26878.0,420176.0,0.06396843227599863
Austria,1998-03-31,1998Mar,27251.0,426612.0,0.06387771558230898
Austria,1998-04-30,1998Apr,27059.0,426999.0,0.0633701718271003
Austria,1998-05-31,1998May,26588.0,429170.0,0.06195214017755202
Austria,1998-06-30,1998Jun,27003.0,434129.0,0.06220040587014459
Austria,1998-07-31,1998Jul,27515.0,429002.0,0.06413723012946326
Austria,1998-08-31,1998Aug,26631.0,433001.0,0.06150332216322826
Austria,1998-09-30,1998Sep,26025.0,439427.0,0.05922485418510925
Austria,1998-10-31,1998Oct,27154.0,445063.0,0.0610115871236207
Austria,1998-11-30,1998Nov,25899.0,444667.0,0.05824358452504908
Austria,1998-12-31,1998Dec,24278.0,452235.0,0.05368447820270435
Austria,1999-01-31,1999Jan,26073.0,461136.0,0.05654080358072239
Austria,1999-02-28,1999Feb,25106.0,460593.0,0.05450799295690555
Austria,1999-03-31,1999Mar,24073.0,460923.0,0.05222781245457484
Austria,1999-04-30,1999Apr,23583.0,461107.0,0.05114431140711375
Austria,1999-05-31,1999May,23818.0,462769.0,0.05146844321897102
Austria,1999-06-30,1999Jun,23271.0,467667.0,0.04975976496096582
Austria,1999-07-31,1999Jul,23327.0,466972.0,0.04995374454999443
Austria,1999-08-31,1999Aug,22741.0,470758.0,0.048307198178257196
Austria,1999-09-30,1999Sep,22179.0,481000.0,0.04611018711018711
Austria,1999-10-31,1999Oct,21687.0,487230.0,0.04451080598485315
Austria,1999-11-30,1999Nov,22224.0,494867.0,0.04490903616527269
Austria,1999-12-31,1999Dec,20742.0,486709.0,0.04261684086384267
Austria,2000-01-31,2000Jan,21719.0,498269.0,0.04358890478837736
Austria,2000-02-29,2000Feb,20926.0,494000.0,0.04236032388663968
Austria,2000-03-31,2000Mar,21644.0,506698.0,0.04271577941890436
Austria,2000-04-30,2000Apr,22120.0,513524.0,0.04307490983868329
Austria,2000-05-31,2000May,21192.0,515477.0,0.041111436591739305
Austria,2000-06-30,2000Jun,21216.0,521880.0,0.040653023683605426
Austria,2000-07-31,2000Jul,20787.0,528641.0,0.039321581186476266
Austria,2000-08-31,2000Aug,20365.0,532201.0,0.03826561768955714
Austria,2000-09-30,2000Sep,20566.0,536549.0,0.03833014319288639
Austria,2000-10-31,2000Oct,20406.0,543946.0,0.03751475330271755
Austria,2000-11-30,2000Nov,20648.0,535586.0,0.03855216529184855
Austria,2000-12-31,2000Dec,18703.0,527933.0,0.0354268439366359
Austria,2001-01-31,2001Jan,20768.0,533083.0,0.03895828604551261
Austria,2001-02-28,2001Feb,19908.0,535746.0,0.03715940016351032
Austria,2001-03-31,2001Mar,19231.0,544023.0,0.03534960838052803
Austria,2001-04-30,2001Apr,19003.0,540193.0,0.03517816780298893
Austria,2001-05-31,2001May,18570.0,545913.0,0.03401640920806062
Austria,2001-06-30,2001Jun,18804.0,552005.0,0.034064908832347536
Austria,2001-07-31,2001Jul,18329.0,548196.0,0.03343512174477742
Austria,2001-08-31,2001Aug,18142.0,546015.0,0.0332261934195947
Austria,2001-09-30,2001Sep,17600.0,554899.0,0.03171748372226297
Austria,2001-10-31,2001Oct,18219.0,557584.0,0.03267489741455996
Austria,2001-11-30,2001Nov,17702.0,563920.0,0.031390977443609025
Austria,2001-12-31,2001Dec,15708.0,573384.0,0.027395253442719016
Austria,2002-01-31,2002Jan,17426.0,573435.0,0.03038879733535623
Austria,2002-02-28,2002Feb,16383.0,570555.0,0.028714146751846886
Austria,2002-03-31,2002Mar,15701.0,573812.0,0.0273626205098534
Austria,2002-04-30,2002Apr,15649.0,568758.0,0.027514338259857444
Austria,2002-05-31,2002May,14639.0,569552.0,0.02570265752731972
Austria,2002-06-30,2002Jun,14473.0,572943.0,0.025260802558020604
Austria,2002-07-31,2002Jul,14593.0,570733.0,0.025568873711525355
Austria,2002-08-31,2002Aug,15023.0,555296.0,0.027054039647323228
Austria,2002-09-30,2002Sep,14790.0,562110.0,0.026311576026044725
Austria,2002-10-31,2002Oct,14431.0,560067.0,0.025766560072277067
