iso3,country,vintage,forecast_year,debt_gdp
AUT,Austria,2005-Oct,2005,63.9
AUT,Austria,2005-Oct,2006,64.4
AUT,Austria,2005-Oct,2007,64.3
AUT,Austria,2006-Oct,2006,62.9
AUT,Austria,2006-Oct,2007,62.7
AUT,Austria,2006-Oct,2008,62.5
AUT,Austria,2007-Oct,2007,60.4
AUT,Austria,2007-Oct,2008,59.4
AUT,Austria,2007-Oct,2009,58.0
AUT,Austria,2008-Oct,2008,60.2
AUT,Austria,2008-Oct,2009,62.4
AUT,Austria,2008-Oct,2010,65.3
AUT,Austria,2009-Oct,2009,69.3
AUT,Austria,2009-Oct,2010,74.2
AUT,Austria,2009-Oct,2011,78.8
AUT,Austria,2010-Oct,2010,70.014
AUT,Austria,2010-Oct,2011,72.352
AUT,Austria,2010-Oct,2012,74.021
AUT,Austria,2011-Oct,2011,72.331
AUT,Austria,2011-Oct,2012,73.875
AUT,Austria,2011-Oct,2013,74.135
AUT,Austria,2012-Oct,2012,74.336
AUT,Austria,2012-Oct,2013,74.94
AUT,Austria,2012-Oct,2014,74.356
AUT,Austria,2013-Oct,2013,74.42
AUT,Austria,2013-Oct,2014,74.789
AUT,Austria,2013-Oct,2015,74.236
AUT,Austria,2014-Oct,2014,80.113
AUT,Austria,2014-Oct,2015,78.616
AUT,Austria,2014-Oct,2016,76.917
AUT,Austria,2015-Oct,2015,86.712
AUT,Austria,2015-Oct,2016,85.558
AUT,Austria,2015-Oct,2017,84.103
AUT,Austria,2016-Oct,2016,84.87
AUT,Austria,2016-Oct,2017,83.713
AUT,Austria,2016-Oct,2018,82.277
AUT,Austria,2017-Oct,2017,80.217
AUT,Austria,2017-Oct,2018,77.545
AUT,Austria,2017-Oct,2019,74.818
AUT,Austria,2018-Oct,2018,74.237
AUT,Austria,2018-Oct,2019,71.322
AUT,Austria,2018-Oct,2020,68.082
AUT,Austria,2019-Oct,2019,70.733
AUT,Austria,2019-Oct,2020,67.734
AUT,Austria,2019-Oct,2021,65.056
AUT,Austria,2020-Oct,2020,84.757
AUT,Austria,2020-Oct,2021,84.281
AUT,Austria,2020-Oct,2022,82.442
AUT,Austria,2021-Oct,2021,84.202
AUT,Austria,2021-Oct,2022,81.051
AUT,Austria,2021-Oct,2023,79.797
AUT,Austria,2022-Oct,2022,78.532
AUT,Austria,2022-Oct,2023,77.25
AUT,Austria,2022-Oct,2024,75.609
AUT,Austria,2023-Oct,2023,74.761
AUT,Austria,2023-Oct,2024,73.999
AUT,Austria,2023-Oct,2025,71.671
AUT,Austria,2024-Oct,2024,78.734
AUT,Austria,2024-Oct,2025,79.6
AUT,Austria,2024-Oct,2026,79.68
BEL,Belgium,2005-Oct,2005,94.3
BEL,Belgium,2005-Oct,2006,91.6
BEL,Belgium,2005-Oct,2007,89.5
BEL,Belgium,2006-Oct,2006,89.2
BEL,Belgium,2006-Oct,2007,86.3
BEL,Belgium,2006-Oct,2008,83.7
BEL,Belgium,2007-Oct,2007,85.3
BEL,Belgium,2007-Oct,2008,82.9
BEL,Belgium,2007-Oct,2009,80.7
BEL,Belgium,2008-Oct,2008,88.5
BEL,Belgium,2008-Oct,2009,88.6
BEL,Belgium,2008-Oct,2010,88.4
BEL,Belgium,2009-Oct,2009,97.6
BEL,Belgium,2009-Oct,2010,101.7
BEL,Belgium,2009-Oct,2011,104.9
BEL,Belgium,2010-Oct,2010,100.2
BEL,Belgium,2010-Oct,2011,103.1
