iso3,country,vintage,forecast_year,gdp_growth,cpi,current_account,debt_gdp
AUT,Austria,1990-Apr,1991,2.5040069006409205,2.545879751532598,-0.3841512786200834,
AUT,Austria,1990-Oct,1991,2.937743365907064,2.7501644586525043,-0.208865820715432,
AUT,Austria,1991-Apr,1992,2.91411692477217,2.54446284508163,-0.2212886623659446,
AUT,Austria,1991-Oct,1992,3.089003656098277,4.441030708743976,-0.4350928342429871,
AUT,Austria,1992-Apr,1993,3.088998440200341,4.066429218946621,-0.5623807043913661,
AUT,Austria,1992-Oct,1993,3.0889905308661536,3.600000408071957,-0.5623807043913661,
AUT,Austria,1993-Apr,1994,1.799992991591215,2.2999971233939487,-0.8403436772200084,
AUT,Austria,1993-Oct,1994,1.2999847073114967,2.499994526033777,-0.8403436772200084,
AUT,Austria,1994-Apr,1995,2.399997883090621,2.300004541588208,0.2299680239376781,
AUT,Austria,1994-Oct,1995,2.940003181517792,2.499993351753238,-0.6250566520603353,
AUT,Austria,1995-Apr,1996,2.7999957972422163,2.700000344044206,-0.5178781774378854,
AUT,Austria,1995-Oct,1996,2.488584101962177,2.5000034013558325,-1.0689436482564425,
AUT,Austria,1996-Apr,1997,1.4170414851800484,1.899999312913048,-0.7844410657608054,
AUT,Austria,1996-Oct,1997,0.9825901012518568,1.8999983006523944,-0.8465932576620699,
AUT,Austria,1997-Apr,1998,2.7540032622822785,1.9000034400375787,-1.409919862473917,
AUT,Austria,1997-Oct,1998,2.697199149491114,1.5999953197199934,-1.356471913714944,
AUT,Austria,1998-Apr,1999,2.740666307688988,1.4999988184917434,-1.458655170628874,
AUT,Austria,1998-Oct,1999,2.613474232181767,1.300003760859347,-0.586505603889137,
AUT,Austria,1999-Apr,2000,2.522501459065829,1.2999986886627513,-1.3155862754087015,
AUT,Austria,1999-Oct,2000,2.522501459065829,0.9462676380851408,-1.5289251212290045,
AUT,Austria,2000-Apr,2001,3.279850085785485,1.0457418242028504,-1.0109113990255132,
AUT,Austria,2000-Oct,2001,2.910636202456307,2.064777679999064,-1.7953592908894185,
AUT,Austria,2001-Apr,2002,2.599999999999847,1.599999999999624,-2.2501063082965143,
AUT,Austria,2001-Oct,2002,2.59999999999998,1.9999999999998683,-2.551716512305825,
AUT,Austria,2002-Apr,2003,2.9000000000001247,1.5999999999998682,-1.4261240211120456,
AUT,Austria,2002-Oct,2003,2.2500000000000187,1.5999999999996684,-2.276323270349068,
AUT,Austria,2003-Apr,2004,2.38000000000016,1.3999999999996904,-1.055529141734181,
AUT,Austria,2003-Oct,2004,1.5496516400941296,1.1599900000010432,-0.1535528950207191,
AUT,Austria,2004-Apr,2005,2.408680434803512,1.3000000000005674,-0.4533361084524965,
AUT,Austria,2004-Oct,2005,2.404275819394286,1.560000000000228,-1.1148090942310338,
AUT,Austria,2005-Apr,2006,2.345395491339453,1.7599999999999394,-1.1297518615610749,61.0
AUT,Austria,2005-Oct,2006,2.172824451386424,1.7999999999997571,-0.3070895080492336,64.4
AUT,Austria,2006-Apr,2007,2.084155959453416,1.6999999999999016,0.9380648591089368,63.2
AUT,Austria,2006-Oct,2007,2.257040710520464,1.720177991276728,1.7369673271753798,62.7
AUT,Austria,2007-Apr,2008,2.421641427052057,1.7124042811722973,1.6475140718873744,59.5
AUT,Austria,2007-Oct,2008,2.485614359375532,1.894656758751512,3.664037208559405,59.4
AUT,Austria,2008-Apr,2009,1.6700746373479405,1.9207762321654664,2.903472283733755,57.8
AUT,Austria,2008-Oct,2009,0.7596235572215004,2.255409910027839,2.4184740283385797,62.4
AUT,Austria,2009-Apr,2010,0.1814646623101268,1.3000000000001457,1.3084967011547697,76.0
AUT,Austria,2009-Oct,2010,0.3034605991579786,1.0000000000000897,1.9696204627992195,74.2
AUT,Austria,2010-Apr,2011,1.7077577604523997,1.5000000000000346,1.66850672121704,73.5
AUT,Austria,2010-Oct,2011,1.6392848994248643,1.7400000000000082,2.39715166472944,72.352
AUT,Austria,2011-Apr,2012,2.259999999999996,2.0000000000000018,3.10905629991147,70.747
AUT,Austria,2011-Oct,2012,1.639999999999664,2.200000000000002,2.73606284278825,73.875
AUT,Austria,2012-Apr,2013,1.8282517988141624,1.8999999999999904,1.36824725217964,74.275
AUT,Austria,2012-Oct,2013,1.0578599323190607,1.8999999999999904,1.62874628517818,74.94
AUT,Austria,2013-Apr,2014,1.6460686218364051,1.8999999999999904,2.28662154784546,73.657
AUT,Austria,2013-Oct,2014,1.6382903094164014,1.8000000000000016,2.43582137919989,74.789
AUT,Austria,2014-Apr,2015,1.7457491455488583,1.6999999999996351,3.54173061396176,78.21
AUT,Austria,2014-Oct,2015,1.8550951210670965,1.700000000000168,3.19450064393165,78.616
