iso3,country,forecast_year,debt_gdp_forecast
AUT,Austria,2006,61.0
BEL,Belgium,2006,92.5
FIN,Finland,2006,48.4
FRA,France,2006,66.4
DEU,Germany,2006,68.7
GRC,Greece,2006,105.7
IRL,Ireland,2006,29.8
ITA,Italy,2006,109.1
NLD,Netherlands,2006,56.3
PRT,Portugal,2006,71.4
ESP,Spain,2006,43.5
iso3,country,forecast_year,debt_gdp_forecast
AUT,Austria,2006,64.4
BEL,Belgium,2006,91.6
FIN,Finland,2006,47.5
FRA,France,2006,67.7
DEU,Germany,2006,69.2
GRC,Greece,2006,106.1
IRL,Ireland,2006,29.8
ITA,Italy,2006,110.4
NLD,Netherlands,2006,54.9
PRT,Portugal,2006,69.8
ESP,Spain,2006,41.1
iso3,country,forecast_year,debt_gdp_forecast
AUT,Austria,2007,63.2
BEL,Belgium,2007,85.6
FIN,Finland,2007,42.5
FRA,France,2007,65.9
DEU,Germany,2007,69.3
GRC,Greece,2007,103.3
IRL,Ireland,2007,27.5
ITA,Italy,2007,108.4
NLD,Netherlands,2007,52.3
PRT,Portugal,2007,68.3
ESP,Spain,2007,38.3
iso3,country,forecast_year,debt_gdp_forecast
AUT,Austria,2007,62.7
BEL,Belgium,2007,86.3
FIN,Finland,2007,42.3
FRA,France,2007,65.1
DEU,Germany,2007,66.8
GRC,Greece,2007,100.9
IRL,Ireland,2007,27.4
ITA,Italy,2007,107.2
NLD,Netherlands,2007,48.6
PRT,Portugal,2007,66.4
ESP,Spain,2007,37.0
so3,country,forecast_year,debt_gdp_forecast
AUT,Austria,2008,59.5
BEL,Belgium,2008,82.8
FIN,Finland,2008,43.3
FRA,France,2008,61.2
DEU,Germany,2008,64.0
GRC,Greece,2008,78.5
IRL,Ireland,2008,23.9
ITA,Italy,2008,105.0
NLD,Netherlands,2008,46.6
PRT,Portugal,2008,65.9
ESP,Spain,2008,32.4
iso3,country,forecast_year,debt_gdp_forecast
AUT,Austria,2008,59.4
BEL,Belgium,2008,82.9
FIN,Finland,2008,35.2
FRA,France,2008,66.2
DEU,Germany,2008,62.8
GRC,Greece,2008,90.3
IRL,Ireland,2008,24.9
ITA,Italy,2008,104.2
NLD,Netherlands,2008,44.7
PRT,Portugal,2008,65.8
ESP,Spain,2008,32.9
iso3,country,forecast_year,debt_gdp_forecast
AUT,Austria,2009,57.8
BEL,Belgium,2009,81.1
FIN,Finland,2009,33.3
FRA,France,2009,67.1
DEU,Germany,2009,62.6
GRC,Greece,2009,89.8
IRL,Ireland,2009,30.1
ITA,Italy,2009,104.0
NLD,Netherlands,2009,41.4
PRT,Portugal,2009,64.3
ESP,Spain,2009,34.1
iso3,country,forecast_year,debt_gdp_forecast
AUT,Austria,2009,62.4
BEL,Belgium,2009,88.6
FIN,Finland,2009,32.6
FRA,France,2009,69.7
DEU,Germany,2009,65.8
GRC,Greece,2009,91.9
IRL,Ireland,2009,37.6
ITA,Italy,2009,105.3
NLD,Netherlands,2009,48.3
PRT,Portugal,2009,66.4
ESP,Spain,2009,41.3
iso3,country,forecast_year,debt_gdp_forecast
AUT,Austria,2010,76.0
BEL,Belgium,2010,102.9
FIN,Finland,2010,45.0
FRA,France,2010,86.1
DEU,Germany,2010,81.1
GRC,Greece,2010,108.3
IRL,Ireland,2010,75.9
ITA,Italy,2010,118.6
NLD,Netherlands,2010,70.3
PRT,Portugal,2010,81.3
ESP,Spain,2010,60.9
Claude responded: iso3,country,forecastyear,debtgdp_forecastiso3,country,forecast_year,debt_gdp_forecast
AUT,Austria,2010,74.2
BEL,Belgium,2010,101.7
FIN,Finland,2010,45.6
FRA,France,2010,84.2
DEU,Germany,2010,79.1
GRC,Greece,2010,119.9
IRL,Ireland,2010,76.7
ITA,Italy,2010,118.3
NLD,Netherlands,2010,69.4
PRT,Portugal,2010,82.0
ESP,Spain,2010,60.1
Claude responded: iso3,country,forecastyear,debtgdp_forecastiso3,country,forecast_year,debt_gdp_forecast
AUT,Austria,2011,73.5
BEL,Belgium,2011,101.1
FIN,Finland,2011,60.1
FRA,France,2011,90.6
DEU,Germany,2011,81.3
GRC,Greece,2011,134.8
IRL,Ireland,2011,85.8
ITA,Italy,2011,121.7
NLD,Netherlands,2011,71.5
PRT,Portugal,2011,88.5
ESP,Spain,2011,69.0
iso3,country,forecast_year,debt_gdp_forecast
AUT,Austria,2011,73.0
BEL,Belgium,2011,100.2
FIN,Finland,2011,53.8
FRA,France,2011,88.0
DEU,Germany,2011,78.3
GRC,Greece,2011,133.5
IRL,Ireland,2011,105.0
ITA,Italy,2011,120.9
NLD,Netherlands,2011,68.9
PRT,Portugal,2011,88.5
ESP,Spain,2011,68.9
