publication_date,kind,value,source_url,weekly_net_purchase_eur_bn,reference_friday,month
2010-05-18,flow,16.3,https://www.ecb.europa.eu/press/annual-reports-financial-statements/wfs/2010/html/fs100518.en.html,16.3,2010-05-14,2010-05-01
2010-05-25,flow,10.4,https://www.ecb.europa.eu/press/annual-reports-financial-statements/wfs/2010/html/fs100525.en.html,10.4,2010-05-21,2010-05-01
2010-06-01,flow,8.8,https://www.ecb.europa.eu/press/annual-reports-financial-statements/wfs/2010/html/fs100601.en.html,8.8,2010-05-28,2010-05-01
2010-06-08,flow,4.9,https://www.ecb.europa.eu/press/annual-reports-financial-statements/wfs/2010/html/fs100608.en.html,4.9,2010-06-04,2010-06-01
2010-06-15,flow,6.7,https://www.ecb.europa.eu/press/annual-reports-financial-statements/wfs/2010/html/fs100615.en.html,6.7,2010-06-11,2010-06-01
2010-06-22,flow,4.0,https://www.ecb.europa.eu/press/annual-reports-financial-statements/wfs/2010/html/fs100622.en.html,4.0,2010-06-18,2010-06-01
2010-06-29,flow,4.2,https://www.ecb.europa.eu/press/annual-reports-financial-statements/wfs/2010/html/fs100629.en.html,4.2,2010-06-25,2010-06-01
2010-07-07,flow,3.7,https://www.ecb.europa.eu/press/annual-reports-financial-statements/wfs/2010/html/fs100707.en.html,3.7,2010-07-03,2010-07-01
2010-07-13,flow,0.7965,https://www.ecb.europa.eu/press/annual-reports-financial-statements/wfs/2010/html/fs100713.en.html,0.7965,2010-07-09,2010-07-01
2010-07-20,flow,0.302,https://www.ecb.europa.eu/press/annual-reports-financial-statements/wfs/2010/html/fs100720.en.html,0.302,2010-07-16,2010-07-01
2010-07-27,flow,0.176,https://www.ecb.europa.eu/press/annual-reports-financial-statements/wfs/2010/html/fs100727.en.html,0.176,2010-07-23,2010-07-01
2010-08-03,flow,0.081,https://www.ecb.europa.eu/press/annual-reports-financial-statements/wfs/2010/html/fs100803.en.html,0.081,2010-07-30,2010-07-01
2010-08-10,flow,0.009,MANUAL OVERRIDE: Manually verified: 'increased by EUR 9 million as a result of purchases settled under the Securities Markets Programme'.,0.009,2010-08-06,2010-08-01
2010-08-17,flow,0.01,MANUAL OVERRIDE: Manually verified: 'increased by EUR 10 million as a result of purchases settled under the Securities Markets Programme'.,0.01,2010-08-13,2010-08-01
2010-08-24,flow,0.338,"MANUAL OVERRIDE: Manually verified: 'settled purchases of nearly EUR 338 million under the Securities Markets Programme which more than offset maturing bonds of EUR 10 million... under the covered bond purchase programme'. Used the EUR 338m SMP-only figure, not the EUR 327m net item 7.1 change.",0.338,2010-08-20,2010-08-01
2010-08-31,flow,0.142,https://www.ecb.europa.eu/press/annual-reports-financial-statements/wfs/2010/html/fs100831.en.html,0.142,2010-08-27,2010-08-01
2010-09-07,flow,0.173,https://www.ecb.europa.eu/press/annual-reports-financial-statements/wfs/2010/html/fs100907.en.html,0.173,2010-09-03,2010-09-01
2010-09-14,flow,0.237,https://www.ecb.europa.eu/press/annual-reports-financial-statements/wfs/2010/html/fs100914.en.html,0.237,2010-09-10,2010-09-01
2010-09-21,flow,0.323,https://www.ecb.europa.eu/press/annual-reports-financial-statements/wfs/2010/html/fs100921.en.html,0.323,2010-09-17,2010-09-01
2010-09-28,flow,0.134,https://www.ecb.europa.eu/press/annual-reports-financial-statements/wfs/2010/html/fs100928.en.html,0.134,2010-09-24,2010-09-01
2010-10-06,flow,1.384,"MANUAL OVERRIDE: Manually verified: week ending 1 Oct 2010, 'settled purchases of EUR 1,384 million under the Securities Markets Programme'. Cross-checked: cumulative total stated same week (EUR 63.3bn) matches the already-confirmed 8 Oct 2010 figure.",1.384,2010-10-02,2010-10-01
2010-10-12,cumulative,63.3,https://www.ecb.europa.eu/press/annual-reports-financial-statements/wfs/2010/html/fs101012.en.html,0.19449999999997658,2010-10-08,2010-10-01
2010-10-19,cumulative,63.3,https://www.ecb.europa.eu/press/annual-reports-financial-statements/wfs/2010/html/fs101019.en.html,0.0,2010-10-15,2010-10-01
2010-10-26,cumulative,63.3,https://www.ecb.europa.eu/press/annual-reports-financial-statements/wfs/2010/html/fs101026.en.html,0.0,2010-10-22,2010-10-01
2010-11-02,cumulative,63.3,https://www.ecb.europa.eu/press/annual-reports-financial-statements/wfs/2010/html/fs101102.en.html,0.0,2010-10-29,2010-10-01
2010-11-09,cumulative,64.0,https://www.ecb.europa.eu/press/annual-reports-financial-statements/wfs/2010/html/fs101109.en.html,0.7000000000000028,2010-11-05,2010-11-01
