model,window,programme,n_pre,mean_pre,n_post,mean_post,diff,t_stat,p_value,stars,direction
rolling,"[-1, +3]",SMP,0,NA,1,NA,NA,NA,NA,n.a.,NA
rolling,"[-1, +3]",OMT,2,-0.6901,3,-0.8445,-0.1544,-0.385,0.756,,compressed
rolling,"[-1, +3]",PSPP,2,2.6629,3,2.4944,-0.1684,-0.874,0.5008,,compressed
rolling,"[-1, +3]",PEPP,2,0.2944,3,0.5398,0.2453,1.117,0.3777,,elevated
rolling,"[-1, +3]",TPI,2,-0.1586,3,-0.2908,-0.1322,-0.426,0.7109,,compressed
rolling,"[-1, +3]",All (pooled),8,0.5271,13,0.5203,-0.0069,-0.011,0.9912,,compressed
rolling,"[-1, +6]",SMP,0,NA,4,NA,NA,NA,NA,n.a.,NA
rolling,"[-1, +6]",OMT,2,-0.6901,6,-0.7417,-0.0516,-0.126,0.9159,,compressed
rolling,"[-1, +6]",PSPP,2,2.6629,6,1.6027,-1.0602,-2.319,0.0597,*,compressed
rolling,"[-1, +6]",PEPP,2,0.2944,6,0.6043,0.3098,1.627,0.3042,,elevated
rolling,"[-1, +6]",TPI,2,-0.1586,6,-0.176,-0.0174,-0.115,0.9125,,compressed
rolling,"[-1, +6]",All (pooled),8,0.5271,28,0.3487,-0.1785,-0.339,0.742,,compressed
fixed,"[-1, +3]",SMP,2,0.7759,3,-0.0478,-0.8237,-4.91,0.0203,**,compressed
fixed,"[-1, +3]",OMT,2,2.727,3,0.0382,-2.6889,-4.672,0.0552,*,compressed
fixed,"[-1, +3]",PSPP,2,0.8516,3,1.6969,0.8453,2.129,0.1369,,elevated
fixed,"[-1, +3]",PEPP,2,0.0912,3,-1.4375,-1.5287,-5.704,0.0292,**,compressed
fixed,"[-1, +3]",TPI,2,0.4626,3,0.379,-0.0836,-0.341,0.7685,,compressed
fixed,"[-1, +3]",All (pooled),10,0.9817,15,0.1257,-0.8559,-2.013,0.0573,*,compressed
fixed,"[-1, +6]",SMP,2,0.7759,6,0.2364,-0.5395,-2.959,0.0254,**,compressed
fixed,"[-1, +6]",OMT,2,2.727,6,-0.3119,-3.0389,-5.586,0.0577,*,compressed
fixed,"[-1, +6]",PSPP,2,0.8516,6,1.5692,0.7176,2.889,0.0386,**,elevated
fixed,"[-1, +6]",PEPP,2,0.0912,6,-1.075,-1.1661,-3.825,0.0123,**,compressed
fixed,"[-1, +6]",TPI,2,0.4626,6,0.3025,-0.16,-0.73,0.578,,compressed
fixed,"[-1, +6]",All (pooled),10,0.9817,30,0.1443,-0.8374,-2.296,0.036,**,compressed
