window,programme,n,mean_dev,t_stat,p_value,stars
"[−1, +3]",SMP,1,NA,NA,NA,n.a.
"[−1, +3]",OMT,5,-0.7828,-5.427,0.0056,***
"[−1, +3]",PSPP,5,2.5618,31.002,0,***
"[−1, +3]",PEPP,5,0.4416,4.07,0.0152,**
"[−1, +3]",TPI,5,-0.2379,-1.379,0.24,
"[−1, +3]",All (pooled),21,0.5229,1.84,0.0807,*
"[−1, +6]",SMP,4,0.5069,2.646,0.0772,*
"[−1, +6]",OMT,8,-0.7288,-5.479,9e-4,***
"[−1, +6]",PSPP,8,1.8677,5.241,0.0012,***
"[−1, +6]",PEPP,8,0.5268,6.68,3e-4,***
"[−1, +6]",TPI,8,-0.1717,-1.578,0.1586,
"[−1, +6]",All (pooled),36,0.3883,2.186,0.0356,**
Full sample,Cross-check,182,0.4252,6.719,0,***
